seq,id,ra,dec,mag,tile,euclid_vis_png,euclid_nisp_png
1,37,149.491206,2.502291,21.39,101545694,sn_acs_only_0001_euclid_vis.png,sn_acs_only_0001_euclid_nisp.png
2,37,149.504177,1.952049,23.30,101542815,sn_acs_only_0002_euclid_vis.png,sn_acs_only_0002_euclid_nisp.png
3,23,149.511402,1.682719,21.36,101541375,sn_acs_only_0003_euclid_vis.png,sn_acs_only_0003_euclid_nisp.png
4,139,149.495240,2.304496,24.13,101544255,sn_acs_only_0004_euclid_vis.png,sn_acs_only_0004_euclid_nisp.png
5,156,149.499461,1.741627,23.62,101541375,sn_acs_only_0005_euclid_vis.png,sn_acs_only_0005_euclid_nisp.png
6,81,149.508037,2.624817,22.97,101545695,sn_acs_only_0006_euclid_vis.png,sn_acs_only_0006_euclid_nisp.png
7,127,149.504806,2.372326,20.91,101544255,sn_acs_only_0007_euclid_vis.png,sn_acs_only_0007_euclid_nisp.png
8,77,149.515661,2.669828,23.04,101547133,sn_acs_only_0008_euclid_vis.png,sn_acs_only_0008_euclid_nisp.png
9,31,149.525183,2.069643,22.33,101542815,sn_acs_only_0009_euclid_vis.png,sn_acs_only_0009_euclid_nisp.png
10,109,149.523268,2.742754,21.93,101547133,sn_acs_only_0010_euclid_vis.png,sn_acs_only_0010_euclid_nisp.png
11,142,149.521785,1.887323,22.60,101541375,sn_acs_only_0011_euclid_vis.png,sn_acs_only_0011_euclid_nisp.png
12,180,149.518007,2.182254,19.61,101544255,sn_acs_only_0012_euclid_vis.png,sn_acs_only_0012_euclid_nisp.png
13,328,149.497577,2.512339,24.05,101545694,sn_acs_only_0013_euclid_vis.png,sn_acs_only_0013_euclid_nisp.png
14,329,149.497166,2.510264,23.38,101545694,sn_acs_only_0014_euclid_vis.png,sn_acs_only_0014_euclid_nisp.png
15,264,149.526616,1.955244,20.29,101542815,sn_acs_only_0015_euclid_vis.png,sn_acs_only_0015_euclid_nisp.png
16,105,149.526535,1.645460,19.96,101541375,sn_acs_only_0016_euclid_vis.png,sn_acs_only_0016_euclid_nisp.png
17,10,149.510508,2.581033,21.88,101545695,sn_acs_only_0017_euclid_vis.png,sn_acs_only_0017_euclid_nisp.png
18,151,149.551438,2.632606,23.60,101545695,sn_acs_only_0018_euclid_vis.png,sn_acs_only_0018_euclid_nisp.png
19,165,149.553119,2.615981,18.32,101545695,sn_acs_only_0019_euclid_vis.png,sn_acs_only_0019_euclid_nisp.png
20,57,149.531163,1.717499,23.94,101541375,sn_acs_only_0020_euclid_vis.png,sn_acs_only_0020_euclid_nisp.png
21,102,149.539280,2.041887,20.25,101542815,sn_acs_only_0021_euclid_vis.png,sn_acs_only_0021_euclid_nisp.png
22,130,149.545124,2.039414,19.04,101542815,sn_acs_only_0022_euclid_vis.png,sn_acs_only_0022_euclid_nisp.png
23,306,149.575994,2.045372,21.98,101542815,sn_acs_only_0023_euclid_vis.png,sn_acs_only_0023_euclid_nisp.png
24,204,149.576388,1.767194,23.07,101541375,sn_acs_only_0024_euclid_vis.png,sn_acs_only_0024_euclid_nisp.png
