seq,id,ra,dec,mag,tile,hstpng
1,37,149.491206,2.502291,21.39,093,sn_acs_only_0001_hst.png
2,37,149.504177,1.952049,23.30,045,sn_acs_only_0002_hst.png
3,23,149.511402,1.682719,21.36,033,sn_acs_only_0003_hst.png
4,139,149.495240,2.304496,24.13,081,sn_acs_only_0004_hst.png
5,156,149.499461,1.741627,23.62,033,sn_acs_only_0005_hst.png
6,81,149.508037,2.624817,22.97,093,sn_acs_only_0006_hst.png
7,127,149.504806,2.372326,20.91,081,sn_acs_only_0007_hst.png
8,77,149.515661,2.669828,23.04,105,sn_acs_only_0008_hst.png
9,31,149.525183,2.069643,22.33,057,sn_acs_only_0009_hst.png
10,109,149.523268,2.742754,21.93,105,sn_acs_only_0010_hst.png
11,142,149.521785,1.887323,22.60,045,sn_acs_only_0011_hst.png
12,180,149.518007,2.182254,19.61,069,sn_acs_only_0012_hst.png
13,328,149.497577,2.512339,24.05,093,sn_acs_only_0013_hst.png
14,329,149.497166,2.510264,23.38,093,sn_acs_only_0014_hst.png
15,264,149.526616,1.955244,20.29,045,sn_acs_only_0015_hst.png
16,105,149.526535,1.645460,19.96,033,sn_acs_only_0016_hst.png
17,10,149.510508,2.581033,21.88,093,sn_acs_only_0017_hst.png
18,151,149.551438,2.632606,23.60,105,sn_acs_only_0018_hst.png
19,165,149.553119,2.615981,18.32,093,sn_acs_only_0019_hst.png
20,57,149.531163,1.717499,23.94,033,sn_acs_only_0020_hst.png
21,102,149.539280,2.041887,20.25,057,sn_acs_only_0021_hst.png
22,130,149.545124,2.039414,19.04,057,sn_acs_only_0022_hst.png
23,306,149.575994,2.045372,21.98,056,sn_acs_only_0023_hst.png
24,204,149.576388,1.767194,23.07,032,sn_acs_only_0024_hst.png
25,87,149.579568,2.106608,23.11,056,sn_acs_only_0025_hst.png
26,141,149.567163,2.088457,19.28,056,sn_acs_only_0026_hst.png
27,195,149.573202,2.676831,20.26,104,sn_acs_only_0027_hst.png
28,206,149.574422,2.658217,22.94,104,sn_acs_only_0028_hst.png
29,231,149.552275,2.726166,20.34,105,sn_acs_only_0029_hst.png
30,282,149.556585,1.845741,20.72,045,sn_acs_only_0030_hst.png
31,176,149.578783,2.212536,22.23,068,sn_acs_only_0031_hst.png
32,179,149.577626,1.900211,22.96,044,sn_acs_only_0032_hst.png
33,225,149.575002,1.919711,23.15,044,sn_acs_only_0033_hst.png
34,58,149.571953,2.263892,23.27,068,sn_acs_only_0034_hst.png
35,71,149.572943,2.261316,24.05,068,sn_acs_only_0035_hst.png
36,89,149.583475,1.659349,23.06,032,sn_acs_only_0036_hst.png
37,141,149.595678,2.280061,21.31,068,sn_acs_only_0037_hst.png
38,255,149.620030,1.677018,21.98,032,sn_acs_only_0038_hst.png
39,91,149.613597,2.631816,23.98,104,sn_acs_only_0039_hst.png
40,110,149.614154,2.019891,23.57,056,sn_acs_only_0040_hst.png
41,346,149.576881,2.329895,20.72,080,sn_acs_only_0041_hst.png
42,170,149.620837,1.738571,18.75,032,sn_acs_only_0042_hst.png
43,222,149.632682,1.742723,23.18,032,sn_acs_only_0043_hst.png
44,36,149.627355,2.663178,20.85,104,sn_acs_only_0044_hst.png
45,42,149.626933,2.671957,19.21,104,sn_acs_only_0045_hst.png
46,320,149.605132,2.052300,23.13,056,sn_acs_only_0046_hst.png
47,365,149.587452,2.390106,19.03,080,sn_acs_only_0047_hst.png
48,372,149.590515,2.413963,22.84,080,sn_acs_only_0048_hst.png
49,99,149.622567,2.705303,20.75,104,sn_acs_only_0049_hst.png
50,283,149.610591,2.463076,23.60,092,sn_acs_only_0050_hst.png
51,318,149.607177,2.468307,21.02,092,sn_acs_only_0051_hst.png
52,323,149.608739,2.480152,21.11,092,sn_acs_only_0052_hst.png
53,186,149.635288,2.521366,20.93,092,sn_acs_only_0053_hst.png
54,283,149.611931,2.484856,21.92,092,sn_acs_only_0054_hst.png
55,299,149.626749,1.930672,24.24,044,sn_acs_only_0055_hst.png
56,301,149.620655,1.896760,21.31,044,sn_acs_only_0056_hst.png
57,277,149.624189,1.671270,19.15,032,sn_acs_only_0057_hst.png
58,385,149.620933,2.226640,21.40,068,sn_acs_only_0058_hst.png
59,305,149.610151,2.538880,22.80,092,sn_acs_only_0059_hst.png
60,151,149.654714,2.297011,22.43,080,sn_acs_only_0060_hst.png
61,156,149.656910,2.311620,20.99,080,sn_acs_only_0061_hst.png
62,80,149.637518,1.721075,19.65,032,sn_acs_only_0062_hst.png
63,314,149.643340,2.348571,22.93,080,sn_acs_only_0063_hst.png
64,167,149.663806,2.058648,22.04,056,sn_acs_only_0064_hst.png
65,355,149.650635,2.379375,23.48,080,sn_acs_only_0065_hst.png
66,314,149.637532,1.778605,21.71,032,sn_acs_only_0066_hst.png
67,127,149.674731,2.144070,18.28,068,sn_acs_only_0067_hst.png
68,160,149.675249,2.423879,19.98,080,sn_acs_only_0068_hst.png
69,361,149.654429,2.457840,23.40,080,sn_acs_only_0069_hst.png
70,378,149.653551,2.460404,20.13,080,sn_acs_only_0070_hst.png
71,385,149.671221,1.910474,23.90,044,sn_acs_only_0071_hst.png
72,350,149.665452,2.488684,20.49,092,sn_acs_only_0072_hst.png
73,154,149.698113,2.209170,23.47,068,sn_acs_only_0073_hst.png
74,185,149.693612,1.673795,23.96,032,sn_acs_only_0074_hst.png
75,194,149.692415,1.672475,23.57,032,sn_acs_only_0075_hst.png
76,548,149.724604,2.256133,23.33,068,sn_acs_only_0076_hst.png
77,171,149.724562,2.622921,22.77,092,sn_acs_only_0077_hst.png
78,201,149.717824,2.321182,19.54,080,sn_acs_only_0078_hst.png
79,36,149.744500,2.385351,20.09,079,sn_acs_only_0079_hst.png
80,163,149.732779,2.402211,21.17,079,sn_acs_only_0080_hst.png
81,80,149.707893,2.096226,20.04,056,sn_acs_only_0081_hst.png
82,334,149.701054,2.435527,23.65,080,sn_acs_only_0082_hst.png
83,283,149.710021,2.771000,23.86,104,sn_acs_only_0083_hst.png
84,258,149.733893,1.883631,23.99,043,sn_acs_only_0084_hst.png
85,251,149.726364,2.802693,18.77,115,sn_acs_only_0085_hst.png
86,315,149.716876,2.806753,23.05,116,sn_acs_only_0086_hst.png
87,105,149.761535,1.637210,19.63,031,sn_acs_only_0087_hst.png
88,114,149.761558,1.646621,18.59,031,sn_acs_only_0088_hst.png
89,201,149.756180,1.963669,23.42,055,sn_acs_only_0089_hst.png
90,485,149.728753,2.282807,23.26,067,sn_acs_only_0090_hst.png
91,281,149.738891,2.606380,22.86,091,sn_acs_only_0091_hst.png
92,98,149.776911,1.720664,21.12,031,sn_acs_only_0092_hst.png
93,147,149.765854,2.633570,22.61,103,sn_acs_only_0093_hst.png
94,81,149.797184,1.834839,24.19,043,sn_acs_only_0094_hst.png
95,213,149.763766,1.822232,20.58,043,sn_acs_only_0095_hst.png
96,277,149.804059,2.288125,23.72,067,sn_acs_only_0096_hst.png
97,411,149.778529,2.263980,22.01,067,sn_acs_only_0097_hst.png
98,37,149.846651,2.649557,24.13,103,sn_acs_only_0098_hst.png
99,143,149.822863,2.611570,21.13,091,sn_acs_only_0099_hst.png
100,340,149.796195,2.651452,21.09,103,sn_acs_only_0100_hst.png
101,53,149.836398,1.721225,22.01,031,sn_acs_only_0101_hst.png
102,71,149.836558,1.739585,23.16,031,sn_acs_only_0102_hst.png
103,91,149.823953,1.694923,21.87,031,sn_acs_only_0103_hst.png
104,92,149.828612,1.727201,22.27,031,sn_acs_only_0104_hst.png
105,115,149.823213,1.720174,22.51,031,sn_acs_only_0105_hst.png
106,89,149.838917,2.340479,24.24,079,sn_acs_only_0106_hst.png
107,229,149.818740,2.371116,22.29,079,sn_acs_only_0107_hst.png
108,112,149.840907,2.673259,22.36,103,sn_acs_only_0108_hst.png
109,237,149.836439,2.436896,24.05,079,sn_acs_only_0109_hst.png
110,286,149.813896,1.819493,22.07,043,sn_acs_only_0110_hst.png
111,210,149.845316,2.147477,18.75,067,sn_acs_only_0111_hst.png
112,278,149.841307,2.167771,24.08,067,sn_acs_only_0112_hst.png
113,57,149.863312,2.472636,19.02,091,sn_acs_only_0113_hst.png
114,137,149.871597,1.950453,23.87,043,sn_acs_only_0114_hst.png
115,213,149.854815,1.912343,20.56,043,sn_acs_only_0115_hst.png
116,237,149.853204,1.920462,22.69,043,sn_acs_only_0116_hst.png
117,109,149.869041,2.517280,23.68,091,sn_acs_only_0117_hst.png
