seq,id,ra,dec,mag,tile,jwst1_png,jwst2_png
1,37,149.491206,2.502291,21.39,,,
2,37,149.504177,1.952049,23.30,,,
3,23,149.511402,1.682719,21.36,,,
4,139,149.495240,2.304496,24.13,,,
5,156,149.499461,1.741627,23.62,,,
6,81,149.508037,2.624817,22.97,,,
7,127,149.504806,2.372326,20.91,,,
8,77,149.515661,2.669828,23.04,,,
9,31,149.525183,2.069643,22.33,,,
10,109,149.523268,2.742754,21.93,,,
11,142,149.521785,1.887323,22.60,,,
12,180,149.518007,2.182254,19.61,,,
13,328,149.497577,2.512339,24.05,,,
14,329,149.497166,2.510264,23.38,,,
15,264,149.526616,1.955244,20.29,,,
16,105,149.526535,1.645460,19.96,,,
17,10,149.510508,2.581033,21.88,,,
18,151,149.551438,2.632606,23.60,,,
19,165,149.553119,2.615981,18.32,,,
20,57,149.531163,1.717499,23.94,,,
21,102,149.539280,2.041887,20.25,,,
22,130,149.545124,2.039414,19.04,,,
23,306,149.575994,2.045372,21.98,,,
24,204,149.576388,1.767194,23.07,,,
25,87,149.579568,2.106608,23.11,,,
26,141,149.567163,2.088457,19.28,,,
27,195,149.573202,2.676831,20.26,,,
28,206,149.574422,2.658217,22.94,,,
29,231,149.552275,2.726166,20.34,,,
30,282,149.556585,1.845741,20.72,,,
31,176,149.578783,2.212536,22.23,,,
32,179,149.577626,1.900211,22.96,,,
33,225,149.575002,1.919711,23.15,,,
34,58,149.571953,2.263892,23.27,,,
35,71,149.572943,2.261316,24.05,,,
36,89,149.583475,1.659349,23.06,,,
37,141,149.595678,2.280061,21.31,,,
38,255,149.620030,1.677018,21.98,,,
39,91,149.613597,2.631816,23.98,,,
40,110,149.614154,2.019891,23.57,,,
41,346,149.576881,2.329895,20.72,,,
42,170,149.620837,1.738571,18.75,,,
43,222,149.632682,1.742723,23.18,,,
44,36,149.627355,2.663178,20.85,,,
45,42,149.626933,2.671957,19.21,,,
46,320,149.605132,2.052300,23.13,,,
47,365,149.587452,2.390106,19.03,,,
48,372,149.590515,2.413963,22.84,,,
49,99,149.622567,2.705303,20.75,,,
50,283,149.610591,2.463076,23.60,,,
51,318,149.607177,2.468307,21.02,,,
52,323,149.608739,2.480152,21.11,,,
53,186,149.635288,2.521366,20.93,,,
54,283,149.611931,2.484856,21.92,,,
55,299,149.626749,1.930672,24.24,,,
56,301,149.620655,1.896760,21.31,,,
57,277,149.624189,1.671270,19.15,,,
58,385,149.620933,2.226640,21.40,,,
59,305,149.610151,2.538880,22.80,,,
60,151,149.654714,2.297011,22.43,,,
61,156,149.656910,2.311620,20.99,,,
62,80,149.637518,1.721075,19.65,,,
63,314,149.643340,2.348571,22.93,,,
64,167,149.663806,2.058648,22.04,,,
65,355,149.650635,2.379375,23.48,,,
66,314,149.637532,1.778605,21.71,,,
67,127,149.674731,2.144070,18.28,,,
68,160,149.675249,2.423879,19.98,,,
69,361,149.654429,2.457840,23.40,,,
70,378,149.653551,2.460404,20.13,,,
71,385,149.671221,1.910474,23.90,,,
72,350,149.665452,2.488684,20.49,,,
73,154,149.698113,2.209170,23.47,,,
74,185,149.693612,1.673795,23.96,,,
75,194,149.692415,1.672475,23.57,,,
76,548,149.724604,2.256133,23.33,,,
77,171,149.724562,2.622921,22.77,,,
78,201,149.717824,2.321182,19.54,,,
79,36,149.744500,2.385351,20.09,,,
80,163,149.732779,2.402211,21.17,,,
81,80,149.707893,2.096226,20.04,A6,sn_acs_only_0081_jwst1.png,sn_acs_only_0081_jwst2.png
82,334,149.701054,2.435527,23.65,,,
83,283,149.710021,2.771000,23.86,,,
84,258,149.733893,1.883631,23.99,,,
85,251,149.726364,2.802693,18.77,,,
86,315,149.716876,2.806753,23.05,,,
87,105,149.761535,1.637210,19.63,,,
88,114,149.761558,1.646621,18.59,,,
89,201,149.756180,1.963669,23.42,A6,sn_acs_only_0089_jwst1.png,sn_acs_only_0089_jwst2.png
90,485,149.728753,2.282807,23.26,,,
91,281,149.738891,2.606380,22.86,,,
92,98,149.776911,1.720664,21.12,,,
93,147,149.765854,2.633570,22.61,,,
94,81,149.797184,1.834839,24.19,,,
95,213,149.763766,1.822232,20.58,,,
96,277,149.804059,2.288125,23.72,A1,sn_acs_only_0096_jwst1.png,sn_acs_only_0096_jwst2.png
97,411,149.778529,2.263980,22.01,A1,sn_acs_only_0097_jwst1.png,sn_acs_only_0097_jwst2.png
98,37,149.846651,2.649557,24.13,,,
99,143,149.822863,2.611570,21.13,,,
100,340,149.796195,2.651452,21.09,,,
101,53,149.836398,1.721225,22.01,,,
102,71,149.836558,1.739585,23.16,,,
103,91,149.823953,1.694923,21.87,,,
104,92,149.828612,1.727201,22.27,,,
105,115,149.823213,1.720174,22.51,,,
106,89,149.838917,2.340479,24.24,B6,sn_acs_only_0106_jwst1.png,sn_acs_only_0106_jwst2.png
107,229,149.818740,2.371116,22.29,B6,sn_acs_only_0107_jwst1.png,sn_acs_only_0107_jwst2.png
108,112,149.840907,2.673259,22.36,,,
109,237,149.836439,2.436896,24.05,B6,sn_acs_only_0109_jwst1.png,sn_acs_only_0109_jwst2.png
110,286,149.813896,1.819493,22.07,,,
111,210,149.845316,2.147477,18.75,A1,sn_acs_only_0111_jwst1.png,sn_acs_only_0111_jwst2.png
112,278,149.841307,2.167771,24.08,A1,sn_acs_only_0112_jwst1.png,sn_acs_only_0112_jwst2.png
113,57,149.863312,2.472636,19.02,B6,sn_acs_only_0113_jwst1.png,sn_acs_only_0113_jwst2.png
114,137,149.871597,1.950453,23.87,A7,sn_acs_only_0114_jwst1.png,sn_acs_only_0114_jwst2.png
115,213,149.854815,1.912343,20.56,A7,sn_acs_only_0115_jwst1.png,sn_acs_only_0115_jwst2.png
116,237,149.853204,1.920462,22.69,A7,sn_acs_only_0116_jwst1.png,sn_acs_only_0116_jwst2.png
117,109,149.869041,2.517280,23.68,B1,sn_acs_only_0117_jwst1.png,sn_acs_only_0117_jwst2.png
118,157,149.864604,2.528767,23.14,B1,sn_acs_only_0118_jwst1.png,sn_acs_only_0118_jwst2.png
119,295,149.845450,2.535173,18.97,,,
120,258,149.876369,1.648895,22.86,,,
121,85,149.879644,2.574191,21.56,B1,sn_acs_only_0121_jwst1.png,sn_acs_only_0121_jwst2.png
122,35,149.848571,1.732179,23.95,,,
123,163,149.871008,2.606871,22.85,,,
124,239,149.877679,2.401657,24.22,B6,sn_acs_only_0124_jwst1.png,sn_acs_only_0124_jwst2.png
125,110,149.895749,1.815954,18.79,,,
126,129,149.895169,1.825848,21.14,,,
127,158,149.885969,1.794781,20.39,,,
128,125,149.910609,2.153968,20.33,A2,sn_acs_only_0128_jwst1.png,sn_acs_only_0128_jwst2.png
129,178,149.892239,2.774477,19.50,,,
130,189,149.892247,2.766557,24.25,,,
131,147,149.909055,2.828647,22.01,,,
132,35,149.879294,2.226343,21.64,A1,sn_acs_only_0132_jwst1.png,sn_acs_only_0132_jwst2.png
133,143,149.925680,2.574380,19.16,B1,sn_acs_only_0133_jwst1.png,sn_acs_only_0133_jwst2.png
134,292,149.897913,2.000218,24.05,A7,sn_acs_only_0134_jwst1.png,sn_acs_only_0134_jwst2.png
135,295,149.897418,2.000810,20.74,A7,sn_acs_only_0135_jwst1.png,sn_acs_only_0135_jwst2.png
136,99,149.908476,1.696236,24.27,,,
137,148,149.920331,1.717322,23.78,,,
138,27,149.948852,2.619308,19.97,B1,sn_acs_only_0138_jwst1.png,sn_acs_only_0138_jwst2.png
139,93,149.938536,2.606994,24.00,B1,sn_acs_only_0139_jwst1.png,sn_acs_only_0139_jwst2.png
140,247,149.923307,2.607880,22.28,B1,sn_acs_only_0140_jwst1.png,sn_acs_only_0140_jwst2.png
141,148,149.934007,1.755586,21.42,,,
142,174,149.931819,1.773486,22.34,,,
143,204,149.921079,1.741840,22.26,,,
144,205,149.927477,1.778987,23.96,,,
145,209,149.918821,1.730092,21.19,,,
146,221,149.920078,1.746811,22.86,,,
147,217,149.936320,2.697426,24.00,,,
148,36,149.959075,1.779929,23.60,,,
149,71,149.952217,1.778044,20.65,,,
150,366,149.924267,2.149849,19.38,A2,sn_acs_only_0150_jwst1.png,sn_acs_only_0150_jwst2.png
151,136,149.950790,1.859981,23.10,A8,sn_acs_only_0151_jwst1.png,sn_acs_only_0151_jwst2.png
152,269,149.963951,2.783152,23.58,,,
153,302,149.967996,2.773302,24.22,,,
154,55,149.986962,2.540423,24.15,B1,sn_acs_only_0154_jwst1.png,sn_acs_only_0154_jwst2.png
155,327,149.960012,2.032405,21.61,A7,sn_acs_only_0155_jwst1.png,sn_acs_only_0155_jwst2.png
156,260,149.980365,2.335946,23.01,B7,sn_acs_only_0156_jwst1.png,sn_acs_only_0156_jwst2.png
157,281,149.972311,2.085910,24.01,A2,sn_acs_only_0157_jwst1.png,sn_acs_only_0157_jwst2.png
158,309,149.967729,2.082436,21.76,A2,sn_acs_only_0158_jwst1.png,sn_acs_only_0158_jwst2.png
159,21,150.016501,1.795426,21.25,,,
160,224,149.999739,2.450573,21.08,B1,sn_acs_only_0160_jwst1.png,sn_acs_only_0160_jwst2.png
