seq,id,ra,dec,mag,tile,hstpng
1,1502412945021404674,150.241295,2.140467,18.49,064,sn_euclid_only_0001_hst.png
2,1502284824022107202,150.228482,2.210720,16.00,064,sn_euclid_only_0002_hst.png
3,1502751773021247516,150.275177,2.124752,16.19,052,sn_euclid_only_0003_hst.png
4,1499545834025076897,149.954583,2.507690,19.89,090,sn_euclid_only_0004_hst.png
5,1504195695022570608,150.419570,2.257061,24.38,063,sn_euclid_only_0005_hst.png
6,1502855620022499167,150.285562,2.249917,17.66,064,sn_euclid_only_0006_hst.png
7,1504260480023144100,150.426048,2.314410,19.31,075,sn_euclid_only_0007_hst.png
8,1503760077022251505,150.376008,2.225151,25.16,064,sn_euclid_only_0008_hst.png
9,1503852332021991176,150.385233,2.199118,18.60,064,sn_euclid_only_0009_hst.png
10,1503101459023517346,150.310146,2.351735,17.92,076,sn_euclid_only_0010_hst.png
11,1503979616022617127,150.397962,2.261713,24.09,063,sn_euclid_only_0011_hst.png
12,1503906049022030267,150.390605,2.203027,17.48,064,sn_euclid_only_0012_hst.png
13,1503317475022074847,150.331748,2.207485,22.67,064,sn_euclid_only_0013_hst.png
14,1503502855022121842,150.350286,2.212184,25.10,064,sn_euclid_only_0014_hst.png
15,1502360459021813709,150.236046,2.181371,18.62,064,sn_euclid_only_0015_hst.png
16,1502458363022262775,150.245836,2.226278,17.83,064,sn_euclid_only_0016_hst.png
17,1503344112022152230,150.334411,2.215223,25.04,064,sn_euclid_only_0017_hst.png
18,1503344112022152230,150.334411,2.215223,25.08,064,sn_euclid_only_0018_hst.png
19,1503344112022152230,150.334411,2.215223,25.04,064,sn_euclid_only_0019_hst.png
20,1503344112022152230,150.334411,2.215223,25.08,064,sn_euclid_only_0020_hst.png
21,1502657469022371372,150.265747,2.237137,18.08,064,sn_euclid_only_0021_hst.png
22,1503800152023466810,150.380015,2.346681,17.87,076,sn_euclid_only_0022_hst.png
23,1502607833022857506,150.260783,2.285751,17.35,064,sn_euclid_only_0023_hst.png
24,1498997876025081932,149.899788,2.508193,22.95,090,sn_euclid_only_0024_hst.png
25,1504269314023124555,150.426931,2.312456,22.33,075,sn_euclid_only_0025_hst.png
26,1503239319023178015,150.323932,2.317802,17.85,076,sn_euclid_only_0026_hst.png
27,1503586838023172722,150.358684,2.317272,15.83,076,sn_euclid_only_0027_hst.png
28,1499454645024382204,149.945465,2.438220,18.27,078,sn_euclid_only_0028_hst.png
29,1502227490020841138,150.222749,2.084114,18.41,053,sn_euclid_only_0029_hst.png
30,1499865763025856399,149.986576,2.585640,17.67,090,sn_euclid_only_0030_hst.png
31,1499256383025740209,149.925638,2.574021,20.03,090,sn_euclid_only_0031_hst.png
32,1499101541024561910,149.910154,2.456191,17.66,078,sn_euclid_only_0032_hst.png
33,1499237768025766237,149.923777,2.576624,23.59,090,sn_euclid_only_0033_hst.png
34,1503510430020103119,150.351043,2.010312,17.74,052,sn_euclid_only_0034_hst.png
35,1503369403019306733,150.336940,1.930673,18.40,040,sn_euclid_only_0035_hst.png
36,1502174816019828537,150.217482,1.982854,18.42,053,sn_euclid_only_0036_hst.png
37,1503343673020614484,150.334367,2.061448,20.30,052,sn_euclid_only_0037_hst.png
38,1503063422020765336,150.306342,2.076534,17.91,052,sn_euclid_only_0038_hst.png
39,1503187708019899966,150.318771,1.989997,17.71,052,sn_euclid_only_0039_hst.png
40,1503843470021057029,150.384347,2.105703,17.67,052,sn_euclid_only_0040_hst.png
41,1503382642020941035,150.338264,2.094104,22.16,052,sn_euclid_only_0041_hst.png
42,1502297952019937969,150.229795,1.993797,18.24,052,sn_euclid_only_0042_hst.png
