seq,id,ra,dec,mag,tile,jwst1_png,jwst2_png
1,1502412945021404674,150.241295,2.140467,18.49,A4,sn_euclid_only_0001_jwst1.png,sn_euclid_only_0001_jwst2.png
2,1502284824022107202,150.228482,2.210720,16.00,B9,sn_euclid_only_0002_jwst1.png,sn_euclid_only_0002_jwst2.png
3,1502751773021247516,150.275177,2.124752,16.19,A4,sn_euclid_only_0003_jwst1.png,sn_euclid_only_0003_jwst2.png
4,1499545834025076897,149.954583,2.507690,19.89,B1,sn_euclid_only_0004_jwst1.png,sn_euclid_only_0004_jwst2.png
5,1504195695022570608,150.419570,2.257061,24.38,B10,sn_euclid_only_0005_jwst1.png,sn_euclid_only_0005_jwst2.png
6,1502855620022499167,150.285562,2.249917,17.66,B9,sn_euclid_only_0006_jwst1.png,sn_euclid_only_0006_jwst2.png
7,1504260480023144100,150.426048,2.314410,19.31,B5,sn_euclid_only_0007_jwst1.png,sn_euclid_only_0007_jwst2.png
8,1503760077022251505,150.376008,2.225151,25.16,B10,sn_euclid_only_0008_jwst1.png,sn_euclid_only_0008_jwst2.png
9,1503852332021991176,150.385233,2.199118,18.60,B10,sn_euclid_only_0009_jwst1.png,sn_euclid_only_0009_jwst2.png
10,1503101459023517346,150.310146,2.351735,17.92,B4,sn_euclid_only_0010_jwst1.png,sn_euclid_only_0010_jwst2.png
11,1503979616022617127,150.397962,2.261713,24.09,B10,sn_euclid_only_0011_jwst1.png,sn_euclid_only_0011_jwst2.png
12,1503906049022030267,150.390605,2.203027,17.48,B10,sn_euclid_only_0012_jwst1.png,sn_euclid_only_0012_jwst2.png
13,1503317475022074847,150.331748,2.207485,22.67,B9,sn_euclid_only_0013_jwst1.png,sn_euclid_only_0013_jwst2.png
14,1503502855022121842,150.350286,2.212184,25.10,B9,sn_euclid_only_0014_jwst1.png,sn_euclid_only_0014_jwst2.png
15,1502360459021813709,150.236046,2.181371,18.62,B9,sn_euclid_only_0015_jwst1.png,sn_euclid_only_0015_jwst2.png
16,1502458363022262775,150.245836,2.226278,17.83,B9,sn_euclid_only_0016_jwst1.png,sn_euclid_only_0016_jwst2.png
17,1503344112022152230,150.334411,2.215223,25.04,B9,sn_euclid_only_0017_jwst1.png,sn_euclid_only_0017_jwst2.png
18,1503344112022152230,150.334411,2.215223,25.08,B9,sn_euclid_only_0018_jwst1.png,sn_euclid_only_0018_jwst2.png
19,1503344112022152230,150.334411,2.215223,25.04,B9,sn_euclid_only_0019_jwst1.png,sn_euclid_only_0019_jwst2.png
20,1503344112022152230,150.334411,2.215223,25.08,B9,sn_euclid_only_0020_jwst1.png,sn_euclid_only_0020_jwst2.png
21,1502657469022371372,150.265747,2.237137,18.08,B9,sn_euclid_only_0021_jwst1.png,sn_euclid_only_0021_jwst2.png
