seq,id,ra,dec,mag,tile,euclid_vis_png,euclid_nisp_png
1,710,149.786712,2.136603,19.29,101542816,sn_jwst_only_0001_euclid_vis.png,sn_jwst_only_0001_euclid_nisp.png
2,993,149.820106,2.123314,18.36,101542816,sn_jwst_only_0002_euclid_vis.png,sn_jwst_only_0002_euclid_nisp.png
3,5157,149.847789,2.141673,20.60,101542816,sn_jwst_only_0003_euclid_vis.png,sn_jwst_only_0003_euclid_nisp.png
4,5293,149.826521,2.150653,20.91,101544256,sn_jwst_only_0004_euclid_vis.png,sn_jwst_only_0004_euclid_nisp.png
5,6173,149.843399,2.147613,17.82,101544256,sn_jwst_only_0005_euclid_vis.png,sn_jwst_only_0005_euclid_nisp.png
6,6175,149.845131,2.147421,18.49,101544256,sn_jwst_only_0006_euclid_vis.png,sn_jwst_only_0006_euclid_nisp.png
7,6608,149.785993,2.173333,20.18,101544256,sn_jwst_only_0007_euclid_vis.png,sn_jwst_only_0007_euclid_nisp.png
8,7139,149.860448,2.151227,20.96,101544256,sn_jwst_only_0008_euclid_vis.png,sn_jwst_only_0008_euclid_nisp.png
9,11369,149.883493,2.171815,20.07,101544256,sn_jwst_only_0009_euclid_vis.png,sn_jwst_only_0009_euclid_nisp.png
10,12265,149.885414,2.177126,19.47,101544256,sn_jwst_only_0010_euclid_vis.png,sn_jwst_only_0010_euclid_nisp.png
11,13501,149.805892,2.217271,21.72,101544256,sn_jwst_only_0011_euclid_vis.png,sn_jwst_only_0011_euclid_nisp.png
12,18682,149.813652,2.252448,21.47,101544256,sn_jwst_only_0012_euclid_vis.png,sn_jwst_only_0012_euclid_nisp.png
13,19115,149.812188,2.251190,22.07,101544256,sn_jwst_only_0013_euclid_vis.png,sn_jwst_only_0013_euclid_nisp.png
14,19116,149.812507,2.252237,19.62,101544256,sn_jwst_only_0014_euclid_vis.png,sn_jwst_only_0014_euclid_nisp.png
15,20524,149.863645,2.247729,18.97,101544256,sn_jwst_only_0015_euclid_vis.png,sn_jwst_only_0015_euclid_nisp.png
16,24169,149.893999,2.260301,22.66,101544256,sn_jwst_only_0016_euclid_vis.png,sn_jwst_only_0016_euclid_nisp.png
17,24171,149.895348,2.260661,20.08,101544256,sn_jwst_only_0017_euclid_vis.png,sn_jwst_only_0017_euclid_nisp.png
18,24206,149.826135,2.286788,22.23,101544256,sn_jwst_only_0018_euclid_vis.png,sn_jwst_only_0018_euclid_nisp.png
19,25574,149.853302,2.284523,20.59,101544256,sn_jwst_only_0019_euclid_vis.png,sn_jwst_only_0019_euclid_nisp.png
20,40768,149.967756,2.082413,20.62,101542817,sn_jwst_only_0020_euclid_vis.png,sn_jwst_only_0020_euclid_nisp.png
21,41374,149.972238,2.085883,22.27,101542817,sn_jwst_only_0021_euclid_vis.png,sn_jwst_only_0021_euclid_nisp.png
22,41456,149.943332,2.095974,21.41,101542816,sn_jwst_only_0022_euclid_vis.png,sn_jwst_only_0022_euclid_nisp.png
23,42787,149.966386,2.095169,20.85,101542817,sn_jwst_only_0023_euclid_vis.png,sn_jwst_only_0023_euclid_nisp.png
24,45349,150.009385,2.095995,20.46,101542817,sn_jwst_only_0024_euclid_vis.png,sn_jwst_only_0024_euclid_nisp.png
25,45717,149.991755,2.107331,20.67,101542817,sn_jwst_only_0025_euclid_vis.png,sn_jwst_only_0025_euclid_nisp.png
26,48498,149.924223,2.149829,18.61,101544256,sn_jwst_only_0026_euclid_vis.png,sn_jwst_only_0026_euclid_nisp.png
27,49773,149.893100,2.169540,20.66,101544256,sn_jwst_only_0027_euclid_vis.png,sn_jwst_only_0027_euclid_nisp.png
28,50288,149.908901,2.149720,19.02,101544256,sn_jwst_only_0028_euclid_vis.png,sn_jwst_only_0028_euclid_nisp.png
29,50292,149.910537,2.153938,19.36,101544256,sn_jwst_only_0029_euclid_vis.png,sn_jwst_only_0029_euclid_nisp.png
30,51183,149.994076,2.145350,22.29,101544257,sn_jwst_only_0030_euclid_vis.png,sn_jwst_only_0030_euclid_nisp.png
31,52513,149.987779,2.157597,18.50,101544257,sn_jwst_only_0031_euclid_vis.png,sn_jwst_only_0031_euclid_nisp.png
32,52677,149.996798,2.154511,19.63,101544257,sn_jwst_only_0032_euclid_vis.png,sn_jwst_only_0032_euclid_nisp.png
33,54510,149.957835,2.183000,20.88,101544256,sn_jwst_only_0033_euclid_vis.png,sn_jwst_only_0033_euclid_nisp.png
34,55483,149.956118,2.188564,22.94,101544256,sn_jwst_only_0034_euclid_vis.png,sn_jwst_only_0034_euclid_nisp.png
35,58185,149.963837,2.202605,19.00,101544256,sn_jwst_only_0035_euclid_vis.png,sn_jwst_only_0035_euclid_nisp.png
36,58672,149.930346,2.218254,18.43,101544256,sn_jwst_only_0036_euclid_vis.png,sn_jwst_only_0036_euclid_nisp.png
37,61404,149.970039,2.222339,19.27,101544256,sn_jwst_only_0037_euclid_vis.png,sn_jwst_only_0037_euclid_nisp.png
38,61688,150.024315,2.203172,22.40,101544257,sn_jwst_only_0038_euclid_vis.png,sn_jwst_only_0038_euclid_nisp.png
39,62423,150.045965,2.201119,21.84,101544257,sn_jwst_only_0039_euclid_vis.png,sn_jwst_only_0039_euclid_nisp.png
40,63115,149.921500,2.250145,22.49,101544256,sn_jwst_only_0040_euclid_vis.png,sn_jwst_only_0040_euclid_nisp.png
41,63918,149.959961,2.239606,18.92,101544256,sn_jwst_only_0041_euclid_vis.png,sn_jwst_only_0041_euclid_nisp.png
42,63922,149.964132,2.230732,19.22,101544256,sn_jwst_only_0042_euclid_vis.png,sn_jwst_only_0042_euclid_nisp.png
43,63925,149.959131,2.240993,20.32,101544256,sn_jwst_only_0043_euclid_vis.png,sn_jwst_only_0043_euclid_nisp.png
44,64344,150.049612,2.211724,20.46,101544257,sn_jwst_only_0044_euclid_vis.png,sn_jwst_only_0044_euclid_nisp.png
45,65518,150.050125,2.217411,20.26,101544257,sn_jwst_only_0045_euclid_vis.png,sn_jwst_only_0045_euclid_nisp.png
46,65520,150.048868,2.213840,20.13,101544257,sn_jwst_only_0046_euclid_vis.png,sn_jwst_only_0046_euclid_nisp.png
47,65892,150.044410,2.223917,19.64,101544257,sn_jwst_only_0047_euclid_vis.png,sn_jwst_only_0047_euclid_nisp.png
48,66507,149.948658,2.262269,22.17,101544256,sn_jwst_only_0048_euclid_vis.png,sn_jwst_only_0048_euclid_nisp.png
49,78238,150.023822,2.045081,19.97,101542817,sn_jwst_only_0049_euclid_vis.png,sn_jwst_only_0049_euclid_nisp.png
50,78585,150.126149,2.010856,18.31,101542817,sn_jwst_only_0050_euclid_vis.png,sn_jwst_only_0050_euclid_nisp.png
51,79893,150.077345,2.036914,23.22,101542817,sn_jwst_only_0051_euclid_vis.png,sn_jwst_only_0051_euclid_nisp.png
52,81991,150.132887,2.027950,21.89,101542817,sn_jwst_only_0052_euclid_vis.png,sn_jwst_only_0052_euclid_nisp.png
53,85722,150.072381,2.081361,19.58,101542817,sn_jwst_only_0053_euclid_vis.png,sn_jwst_only_0053_euclid_nisp.png
54,85920,150.075543,2.081209,20.41,101542817,sn_jwst_only_0054_euclid_vis.png,sn_jwst_only_0054_euclid_nisp.png
55,86809,150.148388,2.060638,21.55,101542817,sn_jwst_only_0055_euclid_vis.png,sn_jwst_only_0055_euclid_nisp.png
56,88349,150.135389,2.076441,21.97,101542817,sn_jwst_only_0056_euclid_vis.png,sn_jwst_only_0056_euclid_nisp.png
57,88781,150.103265,2.091908,21.62,101542817,sn_jwst_only_0057_euclid_vis.png,sn_jwst_only_0057_euclid_nisp.png
58,88968,150.149532,2.076133,18.57,101542817,sn_jwst_only_0058_euclid_vis.png,sn_jwst_only_0058_euclid_nisp.png
59,90408,150.122499,2.097915,21.56,101542817,sn_jwst_only_0059_euclid_vis.png,sn_jwst_only_0059_euclid_nisp.png
60,91824,150.087276,2.121066,19.32,101542817,sn_jwst_only_0060_euclid_vis.png,sn_jwst_only_0060_euclid_nisp.png
61,91871,150.106582,2.114409,19.26,101542817,sn_jwst_only_0061_euclid_vis.png,sn_jwst_only_0061_euclid_nisp.png
62,93667,150.133684,2.117311,20.56,101542817,sn_jwst_only_0062_euclid_vis.png,sn_jwst_only_0062_euclid_nisp.png
63,94205,150.074696,2.128554,20.38,101542817,sn_jwst_only_0063_euclid_vis.png,sn_jwst_only_0063_euclid_nisp.png
64,95029,150.134395,2.125196,19.74,101542817,sn_jwst_only_0064_euclid_vis.png,sn_jwst_only_0064_euclid_nisp.png
65,95412,150.058836,2.155164,21.50,101544257,sn_jwst_only_0065_euclid_vis.png,sn_jwst_only_0065_euclid_nisp.png
66,96873,150.051248,2.166318,20.36,101544257,sn_jwst_only_0066_euclid_vis.png,sn_jwst_only_0066_euclid_nisp.png
67,98542,150.165587,2.133494,21.04,101542817,sn_jwst_only_0067_euclid_vis.png,sn_jwst_only_0067_euclid_nisp.png
68,98544,150.166287,2.135136,20.46,101542817,sn_jwst_only_0068_euclid_vis.png,sn_jwst_only_0068_euclid_nisp.png
69,99660,150.123514,2.149793,20.78,101544257,sn_jwst_only_0069_euclid_vis.png,sn_jwst_only_0069_euclid_nisp.png
70,103231,150.055229,2.205794,21.12,101544257,sn_jwst_only_0070_euclid_vis.png,sn_jwst_only_0070_euclid_nisp.png
71,103357,150.057542,2.205458,21.38,101544257,sn_jwst_only_0071_euclid_vis.png,sn_jwst_only_0071_euclid_nisp.png
72,105075,150.106314,2.200257,22.39,101544257,sn_jwst_only_0072_euclid_vis.png,sn_jwst_only_0072_euclid_nisp.png
73,105317,150.093102,2.204235,21.70,101544257,sn_jwst_only_0073_euclid_vis.png,sn_jwst_only_0073_euclid_nisp.png
74,105741,150.092621,2.209736,22.46,101544257,sn_jwst_only_0074_euclid_vis.png,sn_jwst_only_0074_euclid_nisp.png
75,117983,150.188838,1.984619,19.42,101542817,sn_jwst_only_0075_euclid_vis.png,sn_jwst_only_0075_euclid_nisp.png
76,118899,150.193011,1.990955,20.43,101542817,sn_jwst_only_0076_euclid_vis.png,sn_jwst_only_0076_euclid_nisp.png
77,119884,150.197529,1.985719,18.70,101542817,sn_jwst_only_0077_euclid_vis.png,sn_jwst_only_0077_euclid_nisp.png
78,123125,150.273859,1.991845,19.93,101542818,sn_jwst_only_0078_euclid_vis.png,sn_jwst_only_0078_euclid_nisp.png
79,123956,150.183023,2.029010,18.48,101542817,sn_jwst_only_0079_euclid_vis.png,sn_jwst_only_0079_euclid_nisp.png
80,125023,150.274916,1.995361,18.93,101542818,sn_jwst_only_0080_euclid_vis.png,sn_jwst_only_0080_euclid_nisp.png
81,125041,150.175008,2.041448,19.94,101542817,sn_jwst_only_0081_euclid_vis.png,sn_jwst_only_0081_euclid_nisp.png
82,127851,150.280564,2.021276,21.37,101542818,sn_jwst_only_0082_euclid_vis.png,sn_jwst_only_0082_euclid_nisp.png
83,130441,150.219022,2.056642,21.72,101542818,sn_jwst_only_0083_euclid_vis.png,sn_jwst_only_0083_euclid_nisp.png
84,130735,150.238531,2.053922,21.68,101542818,sn_jwst_only_0084_euclid_vis.png,sn_jwst_only_0084_euclid_nisp.png
85,130856,150.196076,2.071002,20.49,101542817,sn_jwst_only_0085_euclid_vis.png,sn_jwst_only_0085_euclid_nisp.png
86,131452,150.211444,2.069101,18.41,101542817,sn_jwst_only_0086_euclid_vis.png,sn_jwst_only_0086_euclid_nisp.png
87,131453,150.212630,2.065657,20.27,101542818,sn_jwst_only_0087_euclid_vis.png,sn_jwst_only_0087_euclid_nisp.png
88,132285,150.299048,2.043214,21.62,101542818,sn_jwst_only_0088_euclid_vis.png,sn_jwst_only_0088_euclid_nisp.png
89,135514,150.179666,2.107821,20.41,101542817,sn_jwst_only_0089_euclid_vis.png,sn_jwst_only_0089_euclid_nisp.png
90,135921,150.268221,2.076242,20.93,101542818,sn_jwst_only_0090_euclid_vis.png,sn_jwst_only_0090_euclid_nisp.png
91,137269,150.182129,2.112961,20.91,101542817,sn_jwst_only_0091_euclid_vis.png,sn_jwst_only_0091_euclid_nisp.png
92,137273,150.184048,2.116540,19.20,101542817,sn_jwst_only_0092_euclid_vis.png,sn_jwst_only_0092_euclid_nisp.png
93,139345,150.203598,2.124671,20.60,101542817,sn_jwst_only_0093_euclid_vis.png,sn_jwst_only_0093_euclid_nisp.png
94,142008,150.323508,2.100413,20.42,101542818,sn_jwst_only_0094_euclid_vis.png,sn_jwst_only_0094_euclid_nisp.png
95,157183,150.348908,1.927358,18.48,101542818,sn_jwst_only_0095_euclid_vis.png,sn_jwst_only_0095_euclid_nisp.png
96,157585,150.311626,1.942327,21.96,101542818,sn_jwst_only_0096_euclid_vis.png,sn_jwst_only_0096_euclid_nisp.png
97,160236,150.349662,1.948305,21.73,101542818,sn_jwst_only_0097_euclid_vis.png,sn_jwst_only_0097_euclid_nisp.png
98,163584,150.357060,1.973211,20.55,101542818,sn_jwst_only_0098_euclid_vis.png,sn_jwst_only_0098_euclid_nisp.png
99,165783,150.360793,1.984707,22.87,101542818,sn_jwst_only_0099_euclid_vis.png,sn_jwst_only_0099_euclid_nisp.png
100,166635,150.320673,2.011372,21.21,101542818,sn_jwst_only_0100_euclid_vis.png,sn_jwst_only_0100_euclid_nisp.png
101,167347,150.370110,1.999966,20.82,101542818,sn_jwst_only_0101_euclid_vis.png,sn_jwst_only_0101_euclid_nisp.png
102,167348,150.369974,2.000433,20.80,101542818,sn_jwst_only_0102_euclid_vis.png,sn_jwst_only_0102_euclid_nisp.png
103,170786,150.359201,2.037520,20.31,101542818,sn_jwst_only_0103_euclid_vis.png,sn_jwst_only_0103_euclid_nisp.png
104,174724,150.341695,2.074867,18.46,101542818,sn_jwst_only_0104_euclid_vis.png,sn_jwst_only_0104_euclid_nisp.png
105,175220,150.389548,2.061363,19.60,101542818,sn_jwst_only_0105_euclid_vis.png,sn_jwst_only_0105_euclid_nisp.png
106,175713,150.396034,2.063681,20.19,101542818,sn_jwst_only_0106_euclid_vis.png,sn_jwst_only_0106_euclid_nisp.png
107,175715,150.396960,2.064137,20.94,101542818,sn_jwst_only_0107_euclid_vis.png,sn_jwst_only_0107_euclid_nisp.png
108,176366,150.329646,2.094596,19.37,101542818,sn_jwst_only_0108_euclid_vis.png,sn_jwst_only_0108_euclid_nisp.png
109,195512,149.800125,1.967048,20.73,101542816,sn_jwst_only_0109_euclid_vis.png,sn_jwst_only_0109_euclid_nisp.png
110,196977,149.801503,1.978167,19.88,101542816,sn_jwst_only_0110_euclid_vis.png,sn_jwst_only_0110_euclid_nisp.png
111,203833,149.751394,2.044732,19.98,101542816,sn_jwst_only_0111_euclid_vis.png,sn_jwst_only_0111_euclid_nisp.png
112,205473,149.776093,2.047677,22.00,101542816,sn_jwst_only_0112_euclid_vis.png,sn_jwst_only_0112_euclid_nisp.png
113,234989,149.830908,1.944130,19.64,101542816,sn_jwst_only_0113_euclid_vis.png,sn_jwst_only_0113_euclid_nisp.png
114,236292,149.901103,1.927848,21.11,101542816,sn_jwst_only_0114_euclid_vis.png,sn_jwst_only_0114_euclid_nisp.png
115,237340,149.834801,1.960175,20.19,101542816,sn_jwst_only_0115_euclid_vis.png,sn_jwst_only_0115_euclid_nisp.png
116,238579,149.865340,1.957760,21.80,101542816,sn_jwst_only_0116_euclid_vis.png,sn_jwst_only_0116_euclid_nisp.png
117,239413,149.895534,1.950892,21.10,101542816,sn_jwst_only_0117_euclid_vis.png,sn_jwst_only_0117_euclid_nisp.png
118,246533,149.897377,2.000811,19.46,101542816,sn_jwst_only_0118_euclid_vis.png,sn_jwst_only_0118_euclid_nisp.png
119,249645,149.864359,2.035590,18.67,101542816,sn_jwst_only_0119_euclid_vis.png,sn_jwst_only_0119_euclid_nisp.png
120,251425,149.867403,2.047126,19.03,101542816,sn_jwst_only_0120_euclid_vis.png,sn_jwst_only_0120_euclid_nisp.png
121,251681,149.878494,2.031969,19.92,101542816,sn_jwst_only_0121_euclid_vis.png,sn_jwst_only_0121_euclid_nisp.png
122,252120,149.888383,2.044082,18.92,101542816,sn_jwst_only_0122_euclid_vis.png,sn_jwst_only_0122_euclid_nisp.png
123,253237,149.970172,2.020650,20.90,101542817,sn_jwst_only_0123_euclid_vis.png,sn_jwst_only_0123_euclid_nisp.png
124,254183,149.959994,2.032411,21.18,101542816,sn_jwst_only_0124_euclid_vis.png,sn_jwst_only_0124_euclid_nisp.png
125,256578,149.913076,2.064707,22.22,101542816,sn_jwst_only_0125_euclid_vis.png,sn_jwst_only_0125_euclid_nisp.png
126,257173,149.877296,2.082577,20.01,101542816,sn_jwst_only_0126_euclid_vis.png,sn_jwst_only_0126_euclid_nisp.png
