seq,id,ra,dec,mag,tile,hstpng
1,710,149.786712,2.136603,19.29,067,sn_jwst_only_0001_hst.png
2,993,149.820106,2.123314,18.36,055,sn_jwst_only_0002_hst.png
3,5157,149.847789,2.141673,20.60,067,sn_jwst_only_0003_hst.png
4,5293,149.826521,2.150653,20.91,067,sn_jwst_only_0004_hst.png
5,6173,149.843399,2.147613,17.82,067,sn_jwst_only_0005_hst.png
6,6175,149.845131,2.147421,18.49,067,sn_jwst_only_0006_hst.png
7,6608,149.785993,2.173333,20.18,067,sn_jwst_only_0007_hst.png
8,7139,149.860448,2.151227,20.96,067,sn_jwst_only_0008_hst.png
9,11369,149.883493,2.171815,20.07,067,sn_jwst_only_0009_hst.png
10,12265,149.885414,2.177126,19.47,067,sn_jwst_only_0010_hst.png
11,13501,149.805892,2.217271,21.72,067,sn_jwst_only_0011_hst.png
12,18682,149.813652,2.252448,21.47,067,sn_jwst_only_0012_hst.png
13,19115,149.812188,2.251190,22.07,067,sn_jwst_only_0013_hst.png
14,19116,149.812507,2.252237,19.62,067,sn_jwst_only_0014_hst.png
15,20524,149.863645,2.247729,18.97,067,sn_jwst_only_0015_hst.png
16,24169,149.893999,2.260301,22.66,066,sn_jwst_only_0016_hst.png
17,24171,149.895348,2.260661,20.08,066,sn_jwst_only_0017_hst.png
18,24206,149.826135,2.286788,22.23,067,sn_jwst_only_0018_hst.png
19,25574,149.853302,2.284523,20.59,067,sn_jwst_only_0019_hst.png
20,40768,149.967756,2.082413,20.62,054,sn_jwst_only_0020_hst.png
21,41374,149.972238,2.085883,22.27,054,sn_jwst_only_0021_hst.png
22,41456,149.943332,2.095974,21.41,054,sn_jwst_only_0022_hst.png
23,42787,149.966386,2.095169,20.85,054,sn_jwst_only_0023_hst.png
24,45349,150.009385,2.095995,20.46,054,sn_jwst_only_0024_hst.png
25,45717,149.991755,2.107331,20.67,054,sn_jwst_only_0025_hst.png
26,48498,149.924223,2.149829,18.61,066,sn_jwst_only_0026_hst.png
27,49773,149.893100,2.169540,20.66,066,sn_jwst_only_0027_hst.png
28,50288,149.908901,2.149720,19.02,066,sn_jwst_only_0028_hst.png
29,50292,149.910537,2.153938,19.36,066,sn_jwst_only_0029_hst.png
30,51183,149.994076,2.145350,22.29,066,sn_jwst_only_0030_hst.png
31,52513,149.987779,2.157597,18.50,066,sn_jwst_only_0031_hst.png
32,52677,149.996798,2.154511,19.63,066,sn_jwst_only_0032_hst.png
33,54510,149.957835,2.183000,20.88,066,sn_jwst_only_0033_hst.png
34,55483,149.956118,2.188564,22.94,066,sn_jwst_only_0034_hst.png
35,58185,149.963837,2.202605,19.00,066,sn_jwst_only_0035_hst.png
36,58672,149.930346,2.218254,18.43,066,sn_jwst_only_0036_hst.png
37,61404,149.970039,2.222339,19.27,066,sn_jwst_only_0037_hst.png
38,61688,150.024315,2.203172,22.40,066,sn_jwst_only_0038_hst.png
39,62423,150.045965,2.201119,21.84,066,sn_jwst_only_0039_hst.png
40,63115,149.921500,2.250145,22.49,066,sn_jwst_only_0040_hst.png
