seq,id,ra,dec,mag,tile,jwst1_png,jwst2_png
1,710,149.786712,2.136603,19.29,A1,sn_jwst_only_0001_jwst1.png,sn_jwst_only_0001_jwst2.png
2,993,149.820106,2.123314,18.36,A1,sn_jwst_only_0002_jwst1.png,sn_jwst_only_0002_jwst2.png
3,5157,149.847789,2.141673,20.60,A1,sn_jwst_only_0003_jwst1.png,sn_jwst_only_0003_jwst2.png
4,5293,149.826521,2.150653,20.91,A1,sn_jwst_only_0004_jwst1.png,sn_jwst_only_0004_jwst2.png
5,6173,149.843399,2.147613,17.82,A1,sn_jwst_only_0005_jwst1.png,sn_jwst_only_0005_jwst2.png
6,6175,149.845131,2.147421,18.49,A1,sn_jwst_only_0006_jwst1.png,sn_jwst_only_0006_jwst2.png
7,6608,149.785993,2.173333,20.18,A1,sn_jwst_only_0007_jwst1.png,sn_jwst_only_0007_jwst2.png
8,7139,149.860448,2.151227,20.96,A1,sn_jwst_only_0008_jwst1.png,sn_jwst_only_0008_jwst2.png
9,11369,149.883493,2.171815,20.07,A1,sn_jwst_only_0009_jwst1.png,sn_jwst_only_0009_jwst2.png
10,12265,149.885414,2.177126,19.47,A1,sn_jwst_only_0010_jwst1.png,sn_jwst_only_0010_jwst2.png
11,13501,149.805892,2.217271,21.72,A1,sn_jwst_only_0011_jwst1.png,sn_jwst_only_0011_jwst2.png
12,18682,149.813652,2.252448,21.47,A1,sn_jwst_only_0012_jwst1.png,sn_jwst_only_0012_jwst2.png
13,19115,149.812188,2.251190,22.07,A1,sn_jwst_only_0013_jwst1.png,sn_jwst_only_0013_jwst2.png
14,19116,149.812507,2.252237,19.62,A1,sn_jwst_only_0014_jwst1.png,sn_jwst_only_0014_jwst2.png
15,20524,149.863645,2.247729,18.97,A1,sn_jwst_only_0015_jwst1.png,sn_jwst_only_0015_jwst2.png
16,24169,149.893999,2.260301,22.66,A1,sn_jwst_only_0016_jwst1.png,sn_jwst_only_0016_jwst2.png
17,24171,149.895348,2.260661,20.08,A1,sn_jwst_only_0017_jwst1.png,sn_jwst_only_0017_jwst2.png
18,24206,149.826135,2.286788,22.23,A1,sn_jwst_only_0018_jwst1.png,sn_jwst_only_0018_jwst2.png
19,25574,149.853302,2.284523,20.59,A1,sn_jwst_only_0019_jwst1.png,sn_jwst_only_0019_jwst2.png
20,40768,149.967756,2.082413,20.62,A2,sn_jwst_only_0020_jwst1.png,sn_jwst_only_0020_jwst2.png
21,41374,149.972238,2.085883,22.27,A2,sn_jwst_only_0021_jwst1.png,sn_jwst_only_0021_jwst2.png
22,41456,149.943332,2.095974,21.41,A2,sn_jwst_only_0022_jwst1.png,sn_jwst_only_0022_jwst2.png
23,42787,149.966386,2.095169,20.85,A2,sn_jwst_only_0023_jwst1.png,sn_jwst_only_0023_jwst2.png
24,45349,150.009385,2.095995,20.46,A2,sn_jwst_only_0024_jwst1.png,sn_jwst_only_0024_jwst2.png
