seq,id,ra,dec,mag,tile,euclid_vis_png,euclid_nisp_png
1,9748,149.865200,2.168081,21.84,101544256,sn_known34_0001_euclid_vis.png,sn_known34_0001_euclid_nisp.png
2,19931,149.803126,2.263927,22.65,101544256,sn_known34_0002_euclid_vis.png,sn_known34_0002_euclid_nisp.png
3,25141,149.917037,2.259714,21.29,101544256,sn_known34_0003_euclid_vis.png,sn_known34_0003_euclid_nisp.png
4,25283,149.794765,2.305263,22.61,101544256,sn_known34_0004_euclid_vis.png,sn_known34_0004_euclid_nisp.png
5,27350,149.842403,2.300566,17.47,101544256,sn_known34_0005_euclid_vis.png,sn_known34_0005_euclid_nisp.png
6,39020,149.911310,2.092074,22.41,101542816,sn_known34_0006_euclid_vis.png,sn_known34_0006_euclid_nisp.png
7,52864,149.994006,2.158130,22.69,101544257,sn_known34_0007_euclid_vis.png,sn_known34_0007_euclid_nisp.png
8,53669,149.995178,2.163654,20.75,101544257,sn_known34_0008_euclid_vis.png,sn_known34_0008_euclid_nisp.png
9,63919,149.960696,2.240525,19.53,101544256,sn_known34_0009_euclid_vis.png,sn_known34_0009_euclid_nisp.png
10,63924,149.968173,2.233122,21.12,101544256,sn_known34_0010_euclid_vis.png,sn_known34_0010_euclid_nisp.png
11,64479,149.956637,2.245906,20.68,101544256,sn_known34_0011_euclid_vis.png,sn_known34_0011_euclid_nisp.png
12,78323,150.113247,2.012684,20.23,101542817,sn_known34_0012_euclid_vis.png,sn_known34_0012_euclid_nisp.png
13,98281,150.173112,2.131274,24.15,101542817,sn_known34_0013_euclid_vis.png,sn_known34_0013_euclid_nisp.png
14,120035,150.271406,1.970363,22.30,101542818,sn_known34_0014_euclid_vis.png,sn_known34_0014_euclid_nisp.png
15,130972,150.279917,2.041285,20.83,101542818,sn_known34_0015_euclid_vis.png,sn_known34_0015_euclid_nisp.png
16,239246,149.912577,1.944796,23.11,101542816,sn_known34_0016_euclid_vis.png,sn_known34_0016_euclid_nisp.png
17,239301,149.864002,1.963052,24.65,101542816,sn_known34_0017_euclid_vis.png,sn_known34_0017_euclid_nisp.png
18,239875,149.865660,1.965835,23.55,101542816,sn_known34_0018_euclid_vis.png,sn_known34_0018_euclid_nisp.png
19,245766,149.862604,2.008343,21.75,101542816,sn_known34_0019_euclid_vis.png,sn_known34_0019_euclid_nisp.png
20,246188,149.908499,1.994562,21.40,101542816,sn_known34_0020_euclid_vis.png,sn_known34_0020_euclid_nisp.png
21,296673,150.103238,2.006677,21.89,101542817,sn_known34_0021_euclid_vis.png,sn_known34_0021_euclid_nisp.png
22,296868,150.032827,2.033920,24.23,101542817,sn_known34_0022_euclid_vis.png,sn_known34_0022_euclid_nisp.png
23,318858,150.185272,1.842447,21.83,101541377,sn_known34_0023_euclid_vis.png,sn_known34_0023_euclid_nisp.png
24,320233,150.146358,1.866410,24.00,101541377,sn_known34_0024_euclid_vis.png,sn_known34_0024_euclid_nisp.png
25,353461,150.232065,1.795097,25.21,101541378,sn_known34_0025_euclid_vis.png,sn_known34_0025_euclid_nisp.png
26,371996,150.282612,1.932054,20.85,101542818,sn_known34_0026_euclid_vis.png,sn_known34_0026_euclid_nisp.png
27,407613,149.936552,2.650401,24.86,101547135,sn_known34_0027_euclid_vis.png,sn_known34_0027_euclid_nisp.png
28,430352,150.145807,2.465175,24.12,101545697,sn_known34_0028_euclid_vis.png,sn_known34_0028_euclid_nisp.png
29,435613,150.072976,2.530611,23.87,101545697,sn_known34_0029_euclid_vis.png,sn_known34_0029_euclid_nisp.png
30,435768,150.109054,2.518850,24.95,101545697,sn_known34_0030_euclid_vis.png,sn_known34_0030_euclid_nisp.png
31,435769,150.108894,2.518892,23.47,101545697,sn_known34_0031_euclid_vis.png,sn_known34_0031_euclid_nisp.png
32,468896,150.264470,2.414282,22.48,101545698,sn_known34_0032_euclid_vis.png,sn_known34_0032_euclid_nisp.png
33,469221,150.164218,2.453177,23.91,101545697,sn_known34_0033_euclid_vis.png,sn_known34_0033_euclid_nisp.png
34,471959,150.278761,2.430970,21.30,101545698,sn_known34_0034_euclid_vis.png,sn_known34_0034_euclid_nisp.png
