seq,id,ra,dec,mag,tile,hstpng
1,9748,149.865200,2.168081,21.84,067,sn_known34_0001_hst.png
2,19931,149.803126,2.263927,22.65,067,sn_known34_0002_hst.png
3,25141,149.917037,2.259714,21.29,066,sn_known34_0003_hst.png
4,25283,149.794765,2.305263,22.61,079,sn_known34_0004_hst.png
5,27350,149.842403,2.300566,17.47,079,sn_known34_0005_hst.png
6,39020,149.911310,2.092074,22.41,054,sn_known34_0006_hst.png
7,52864,149.994006,2.158130,22.69,066,sn_known34_0007_hst.png
8,53669,149.995178,2.163654,20.75,066,sn_known34_0008_hst.png
9,63919,149.960696,2.240525,19.53,066,sn_known34_0009_hst.png
10,63924,149.968173,2.233122,21.12,066,sn_known34_0010_hst.png
11,64479,149.956637,2.245906,20.68,066,sn_known34_0011_hst.png
12,78323,150.113247,2.012684,20.23,053,sn_known34_0012_hst.png
13,98281,150.173112,2.131274,24.15,065,sn_known34_0013_hst.png
14,120035,150.271406,1.970363,22.30,052,sn_known34_0014_hst.png
15,130972,150.279917,2.041285,20.83,052,sn_known34_0015_hst.png
16,239246,149.912577,1.944796,23.11,042,sn_known34_0016_hst.png
17,239301,149.864002,1.963052,24.65,055,sn_known34_0017_hst.png
18,239875,149.865660,1.965835,23.55,055,sn_known34_0018_hst.png
19,245766,149.862604,2.008343,21.75,055,sn_known34_0019_hst.png
20,246188,149.908499,1.994562,21.40,054,sn_known34_0020_hst.png
21,296673,150.103238,2.006677,21.89,053,sn_known34_0021_hst.png
22,296868,150.032827,2.033920,24.23,054,sn_known34_0022_hst.png
23,318858,150.185272,1.842447,21.83,041,sn_known34_0023_hst.png
24,320233,150.146358,1.866410,24.00,041,sn_known34_0024_hst.png
25,353461,150.232065,1.795097,25.21,040,sn_known34_0025_hst.png
26,371996,150.282612,1.932054,20.85,040,sn_known34_0026_hst.png
27,407613,149.936552,2.650401,24.86,102,sn_known34_0027_hst.png
28,430352,150.145807,2.465175,24.12,089,sn_known34_0028_hst.png
29,435613,150.072976,2.530611,23.87,089,sn_known34_0029_hst.png
30,435768,150.109054,2.518850,24.95,089,sn_known34_0030_hst.png
31,435769,150.108894,2.518892,23.47,089,sn_known34_0031_hst.png
32,468896,150.264470,2.414282,22.48,076,sn_known34_0032_hst.png
33,469221,150.164218,2.453177,23.91,077,sn_known34_0033_hst.png
34,471959,150.278761,2.430970,21.30,076,sn_known34_0034_hst.png
