seq,id,ra,dec,mag,tile,jwst1_png,jwst2_png
1,9748,149.865200,2.168081,21.84,A1,sn_known34_0001_jwst1.png,sn_known34_0001_jwst2.png
2,19931,149.803126,2.263927,22.65,A1,sn_known34_0002_jwst1.png,sn_known34_0002_jwst2.png
3,25141,149.917037,2.259714,21.29,A1,sn_known34_0003_jwst1.png,sn_known34_0003_jwst2.png
4,25283,149.794765,2.305263,22.61,A1,sn_known34_0004_jwst1.png,sn_known34_0004_jwst2.png
5,27350,149.842403,2.300566,17.47,A1,sn_known34_0005_jwst1.png,sn_known34_0005_jwst2.png
6,39020,149.911310,2.092074,22.41,A2,sn_known34_0006_jwst1.png,sn_known34_0006_jwst2.png
7,52864,149.994006,2.158130,22.69,A2,sn_known34_0007_jwst1.png,sn_known34_0007_jwst2.png
8,53669,149.995178,2.163654,20.75,A2,sn_known34_0008_jwst1.png,sn_known34_0008_jwst2.png
9,63919,149.960696,2.240525,19.53,A2,sn_known34_0009_jwst1.png,sn_known34_0009_jwst2.png
10,63924,149.968173,2.233122,21.12,A2,sn_known34_0010_jwst1.png,sn_known34_0010_jwst2.png
11,64479,149.956637,2.245906,20.68,A2,sn_known34_0011_jwst1.png,sn_known34_0011_jwst2.png
12,78323,150.113247,2.012684,20.23,A3,sn_known34_0012_jwst1.png,sn_known34_0012_jwst2.png
13,98281,150.173112,2.131274,24.15,A3,sn_known34_0013_jwst1.png,sn_known34_0013_jwst2.png
14,120035,150.271406,1.970363,22.30,A4,sn_known34_0014_jwst1.png,sn_known34_0014_jwst2.png
15,130972,150.279917,2.041285,20.83,A4,sn_known34_0015_jwst1.png,sn_known34_0015_jwst2.png
16,239246,149.912577,1.944796,23.11,A7,sn_known34_0016_jwst1.png,sn_known34_0016_jwst2.png
17,239301,149.864002,1.963052,24.65,A7,sn_known34_0017_jwst1.png,sn_known34_0017_jwst2.png
18,239875,149.865660,1.965835,23.55,A7,sn_known34_0018_jwst1.png,sn_known34_0018_jwst2.png
19,245766,149.862604,2.008343,21.75,A7,sn_known34_0019_jwst1.png,sn_known34_0019_jwst2.png
20,246188,149.908499,1.994562,21.40,A7,sn_known34_0020_jwst1.png,sn_known34_0020_jwst2.png
21,296673,150.103238,2.006677,21.89,A3,sn_known34_0021_jwst1.png,sn_known34_0021_jwst2.png
22,296868,150.032827,2.033920,24.23,A3,sn_known34_0022_jwst1.png,sn_known34_0022_jwst2.png
23,318858,150.185272,1.842447,21.83,A9,sn_known34_0023_jwst1.png,sn_known34_0023_jwst2.png
24,320233,150.146358,1.866410,24.00,A9,sn_known34_0024_jwst1.png,sn_known34_0024_jwst2.png
25,353461,150.232065,1.795097,25.21,A10,sn_known34_0025_jwst1.png,sn_known34_0025_jwst2.png
26,371996,150.282612,1.932054,20.85,A10,sn_known34_0026_jwst1.png,sn_known34_0026_jwst2.png
27,407613,149.936552,2.650401,24.86,B1,sn_known34_0027_jwst1.png,sn_known34_0027_jwst2.png
28,430352,150.145807,2.465175,24.12,B2,sn_known34_0028_jwst1.png,sn_known34_0028_jwst2.png
29,435613,150.072976,2.530611,23.87,B2,sn_known34_0029_jwst1.png,sn_known34_0029_jwst2.png
30,435768,150.109054,2.518850,24.95,B2,sn_known34_0030_jwst1.png,sn_known34_0030_jwst2.png
31,435769,150.108894,2.518892,23.47,B2,sn_known34_0031_jwst1.png,sn_known34_0031_jwst2.png
32,468896,150.264470,2.414282,22.48,B3,sn_known34_0032_jwst1.png,sn_known34_0032_jwst2.png
33,469221,150.164218,2.453177,23.91,B3,sn_known34_0033_jwst1.png,sn_known34_0033_jwst2.png
34,471959,150.278761,2.430970,21.30,B3,sn_known34_0034_jwst1.png,sn_known34_0034_jwst2.png
