id,telescope,sn_ra,sn_dec,hst,jwst,euclid
130972,HST,150.279695,2.041101,052,A4,101542818
371996,HST,150.282844,1.932259,040,A10,101542818
471959,HST,150.278904,2.430962,076,B3,101545698
318858,JWST,150.185337,1.842646,041,A9,101541377
320233,JWST,150.146358,1.86641,041,A9,101541377
246188,JWST,149.90842,1.994614,054,A7,101542816
296673,JWST,150.103129,2.006954,053,A3,101542817
435613,JWST,150.073048,2.530626,089,B2,101545697
435769,JWST,150.108823,2.518886,089,B2,101545697
468896,JWST,150.26457146694182,2.4142228475769287,076,B3,101545698
9748,JWST,149.86509251002576,2.1682127700879295,067,A1,101544256
19931,JWST,149.80315295,2.26388746,067,A1,101544256
53669,JWST,149.99501395,2.16359733,066,A2,101544257
63919,JWST,149.96059337,2.24045999,066,A2,101544256
78323,JWST,150.11312560555407,2.012647241341165,053,A3,101542817
430352,JWST,150.14585818,2.46510338,089,B2,101545697
2023aeaf,JWST,150.0950000,2.3735028,077,B7,101544257
2023adzt,JWST,150.0935667,2.3490167,077,B7,101544257
2023aeax,JWST,150.1100042,2.3261028,077,B8,101544257
2023aeam,JWST,150.1426125,2.2527694,065,B8,101544257
2023aebk,JWST,150.1046833,2.1874278,065,A3,101544257
2023aeak,JWST,150.0894708,2.2482778,065,B8,101544257
2023adzw,JWST,150.1319875,2.3525167,077,B8,101544257
2023adze,JWST,150.1397792,2.4283667,077,B2,101545697
2023aeaq,JWST,150.1354083,2.2853694,065,B8,101544257
2023adzo,JWST,150.1638000,2.4150833,077,B3,101545697
2023adyy,JWST,150.0618250,2.2828861,065,B7,101544257
2023adzq,JWST,150.1059167,2.3434694,077,B7,101544257
2023aeav,JWST,150.1282250,2.3228778,077,B8,101544257
2023aeas,JWST,150.1075750,2.3083861,077,B8,101544257
2023aean,JWST,150.1345500,2.2541861,065,B8,101544257
2023aeai,JWST,150.1833500,2.2454583,065,B8,101544257
2023aebj,JWST,150.1049333,2.1812194,065,A3,101544257
2023aebc,JWST,150.0772458,2.2479278,065,B8,101544257
2023aebd,JWST,150.1275917,2.2131278,065,B8,101544257
2023aeba,JWST,150.0722833,2.2999250,077,B7,101544257
2023aeap,JWST,150.1215208,2.2670444,065,B8,101544257
2023adyz,JWST,150.1713833,2.4731917,089,B3,101545697
2023aebm,JWST,150.0728250,2.2368861,065,B8,101544257
2023aeao,JWST,150.1043583,2.2614861,065,B8,101544257
2023aeay,JWST,150.0738583,2.2622417,065,B7,101544257
2023adzd,JWST,150.1205458,2.4630333,089,B2,101545697
2023aeau,JWST,150.1526542,2.3217528,077,B8,101544257
2023aebg,JWST,150.1093875,2.2239278,065,B8,101544257
2023adzr,JWST,150.1151000,2.3439028,077,B8,101544257
2023adzh,JWST,150.1124875,2.4320500,077,B2,101545697
2023adzf,JWST,150.1167917,2.4723500,089,B2,101545697
2023adzu,JWST,150.1377000,2.3502667,077,B8,101544257
2023aead,JWST,150.1542083,2.3437861,077,B8,101544257
2023adzk,JWST,150.1733333,2.4042667,077,B3,101545697
2023aeaj,JWST,150.1779417,2.2498333,065,B8,101544257
64479,JWST,149.95678152,2.24554778,066,A2,101544256
39020,JWST,149.91140979,2.09200089,054,A2,101542816
239246,JWST,149.91256119,1.94487803,042,A7,101542816
239301,JWST,149.86403571,1.96307767,055,A7,101542816
245766,JWST,149.86268437,2.00821526,055,A7,101542816
