id,telescope,sn_ra,sn_dec,host_ra,host_dec,hst,jwst,euclid
130972,HST,150.279695,2.041101,150.279917,2.041285,052,A4,101542818
371996,HST,150.282844,1.932259,150.282612,1.932054,040,A10,101542818
471959,HST,150.278904,2.430962,150.278761,2.43097,076,B3,101545698
63924,EUCLID,149.9685730506876,2.233454590805704,149.968173,2.233122,066,A2,101544256
318858,JWST,150.185337,1.842646,150.185272,1.842447,041,A9,101541377
320233,JWST,150.146358,1.86641,150.146358,1.86641,041,A9,101541377
246188,JWST,149.90842,1.994614,149.908499,1.994562,054,A7,101542816
296673,JWST,150.103129,2.006954,150.103238,2.006677,053,A3,101542817
435613,JWST,150.073048,2.530626,150.072976,2.530611,089,B2,101545697
435769,JWST,150.108823,2.518886,150.108894,2.518892,089,B2,101545697
468896,JWST,150.26457146694182,2.4142228475769287,150.26447,2.414282,076,B3,101545698
