id,primary_id,sn_ra,sn_dec,hst_tile,jwst_tile,euclid_tile,telescope,best_band,best_snr,composite_confidence,z,disc_filter,source
130972,130972,150.279695,2.041101,052,A4,101542818,HST,F814W,0,0,,,known17
19931,19931,149.80315295,2.26388746,067,A1,101544256,JWST,F115W,0,0,,,known17
246188,246188,149.90842,1.994614,054,A7,101542816,JWST,F115W,0,0,,,known17
296673,296673,150.103129,2.006954,053,A3,101542817,JWST,F115W,0,0,,,known17
318858,318858,150.185337,1.842646,041,A9,101541377,JWST,F115W,0,0,,,known17
320233,320233,150.146358,1.86641,041,A9,101541377,JWST,F115W,0,0,,,known17
371996,371996,150.282844,1.932259,040,A10,101542818,HST,F814W,0,0,,,known17
430352,430352,150.14585818,2.46510338,089,B2,101545697,JWST,F115W,0,0,,,known17
435613,435613,150.073048,2.530626,089,B2,101545697,JWST,F115W,0,0,,,known17
435769,435769,150.108823,2.518886,089,B2,101545697,JWST,F115W,0,0,,,known17
468896,468896,150.26457146694182,2.4142228475769287,076,B3,101545698,JWST,F115W,0,0,,,known17
471959,471959,150.278904,2.430962,076,B3,101545698,HST,F814W,0,0,,,known17
53669,53669,149.99501395,2.16359733,066,A2,101544257,JWST,F115W,0,0,,,known17
63919,63919,149.96059337,2.24045999,066,A2,101544256,JWST,F115W,0,0,,,known17
78323,78323,150.11312560555407,2.012647241341165,053,A3,101542817,JWST,F115W,0,0,,,known17
9748,9748,149.86509251002576,2.1682127700879295,067,A1,101544256,JWST,F115W,0,0,,,known17
2023adyy,2023adyy,150.0618250,2.2828861,065,B7,101544257,JWST,F115W,0,0,1.52,F115W,cat65
2023adyz,2023adyz,150.1713833,2.4731917,089,B3,101545697,JWST,F115W,0,0,0.65,F115W,cat65
2023adzd,2023adzd,150.1205458,2.4630333,089,B2,101545697,JWST,F115W,0,0,0.49,F115W,cat65
2023adze,2023adze,150.1397792,2.4283667,077,B2,101545697,JWST,F115W,0,0,1.70,F115W,cat65
2023adzf,2023adzf,150.1167917,2.4723500,089,B2,101545697,JWST,F150W,0,0,0.17,F150W,cat65
2023adzh,2023adzh,150.1124875,2.4320500,077,B2,101545697,JWST,F150W,0,0,0.30,F150W,cat65
2023adzk,2023adzk,150.1733333,2.4042667,077,B3,101545697,JWST,F150W,0,0,0.03,F150W,cat65
2023adzo,2023adzo,150.1638000,2.4150833,077,B3,101545697,JWST,F277W,0,0,1.52,F277W,cat65
2023adzq,2023adzq,150.1059167,2.3434694,077,B7,101544257,JWST,F115W,0,0,1.49,F115W,cat65
2023adzr,2023adzr,150.1151000,2.3439028,077,B8,101544257,JWST,F150W,0,0,0.39,F150W,cat65
2023adzt,2023adzt,150.0935667,2.3490167,077,B7,101544257,JWST,F150W,0,0,2.35,F150W,cat65
2023adzu,2023adzu,150.1377000,2.3502667,077,B8,101544257,JWST,F150W,0,0,0.06,F150W,cat65
2023adzw,2023adzw,150.1319875,2.3525167,077,B8,101544257,JWST,F115W,0,0,1.75,F115W,cat65
2023aead,2023aead,150.1542083,2.3437861,077,B8,101544257,JWST,F150W,0,0,0.06,F150W,cat65
2023aeaf,2023aeaf,150.0950000,2.3735028,077,B7,101544257,JWST,F150W,0,0,3.55,F150W,cat65
2023aeai,2023aeai,150.1833500,2.2454583,065,B8,101544257,JWST,F115W,0,0,1.10,F115W,cat65
2023aeaj,2023aeaj,150.1779417,2.2498333,065,B8,101544257,JWST,F150W,0,0,0.01,F150W,cat65
2023aeak,2023aeak,150.0894708,2.2482778,065,B8,101544257,JWST,F115W,0,0,1.88,F115W,cat65
2023aeam,2023aeam,150.1426125,2.2527694,065,B8,101544257,JWST,F150W,0,0,2.18,F150W,cat65
2023aean,2023aean,150.1345500,2.2541861,065,B8,101544257,JWST,F115W,0,0,1.29,F115W,cat65
2023aeao,2023aeao,150.1043583,2.2614861,065,B8,101544257,JWST,F115W,0,0,0.55,F115W,cat65
2023aeap,2023aeap,150.1215208,2.2670444,065,B8,101544257,JWST,F115W,0,0,0.85,F115W,cat65
2023aeaq,2023aeaq,150.1354083,2.2853694,065,B8,101544257,JWST,F150W,0,0,1.61,F150W,cat65
2023aeas,2023aeas,150.1075750,2.3083861,077,B8,101544257,JWST,F115W,0,0,1.43,F115W,cat65
2023aeau,2023aeau,150.1526542,2.3217528,077,B8,101544257,JWST,F115W,0,0,0.48,F115W,cat65
2023aeav,2023aeav,150.1282250,2.3228778,077,B8,101544257,JWST,F115W,0,0,1.48,F115W,cat65
2023aeax,2023aeax,150.1100042,2.3261028,077,B8,101544257,JWST,F150W,0,0,2.25,F150W,cat65
2023aeay,2023aeay,150.0738583,2.2622417,065,B7,101544257,JWST,F115W,0,0,0.55,F115W,cat65
2023aeba,2023aeba,150.0722833,2.2999250,077,B7,101544257,JWST,F277W,0,0,0.93,F277W,cat65
2023aebc,2023aebc,150.0772458,2.2479278,065,B8,101544257,JWST,F115W,0,0,1.01,F115W,cat65
2023aebd,2023aebd,150.1275917,2.2131278,065,B8,101544257,JWST,F115W,0,0,1.01,F115W,cat65
2023aebg,2023aebg,150.1093875,2.2239278,065,B8,101544257,JWST,F115W,0,0,0.41,F115W,cat65
2023aebj,2023aebj,150.1049333,2.1812194,065,A3,101544257,JWST,F277W,0,0,1.10,F277W,cat65
2023aebk,2023aebk,150.1046833,2.1874278,065,A3,101544257,JWST,F150W,0,0,2.14,F150W,cat65
2023aebm,2023aebm,150.0728250,2.2368861,065,B8,101544257,JWST,F150W,0,0,0.59,F150W,cat65
239246,239246,149.91256119,1.94487803,042,A7,101542816,JWST,F150W,0,0,,F150W,user_extract
239301,239301,149.86403571,1.96307767,055,A7,101542816,JWST,F150W,0,0,,F150W,user_extract
245766,245766,149.86268437,2.00821526,055,A7,101542816,JWST,F150W,0,0,,F150W,user_extract
39020,39020,149.91140979,2.09200089,054,A2,101542816,JWST,F115W,0,0,,F115W,user_extract
64479,64479,149.95678152,2.24554778,066,A2,101544256,JWST,F115W,0,0,,F115W,user_extract
