sn_name,source,status,telescope,sn_ra,sn_dec,hst_tile,jwst_tile,euclid_tile,z,disc_filter,notes
130972,known17,real,HST,150.279695,2.041101,052,A4,101542818,,,user-confirmed known SN
371996,known17,real,HST,150.282844,1.932259,040,A10,101542818,,,user-confirmed known SN
471959,known17,real,HST,150.278904,2.430962,076,B3,101545698,,,user-confirmed known SN
63924,known17,real,EUCLID,149.9685730506876,2.233454590805704,066,A2,101544256,,,user-confirmed known SN
318858,known17,real,JWST,150.185337,1.842646,041,A9,101541377,,,user-confirmed known SN
320233,known17,real,JWST,150.146358,1.86641,041,A9,101541377,,,user-confirmed known SN
246188,known17,real,JWST,149.90842,1.994614,054,A7,101542816,,,user-confirmed known SN
296673,known17,real,JWST,150.103129,2.006954,053,A3,101542817,,,user-confirmed known SN
435613,known17,real,JWST,150.073048,2.530626,089,B2,101545697,,,user-confirmed known SN
435769,known17,real,JWST,150.108823,2.518886,089,B2,101545697,,,user-confirmed known SN
468896,known17,real,JWST,150.26457146694182,2.4142228475769287,076,B3,101545698,,,user-confirmed known SN
9748,known17,real,JWST,149.86509251002576,2.1682127700879295,067,A1,101544256,,,user-confirmed known SN
19931,known17,real,JWST,149.80315295,2.26388746,067,A1,101544256,,,user-confirmed known SN
53669,known17,real,JWST,149.99501395,2.16359733,066,A2,101544257,,,user-confirmed known SN
63919,known17,real,JWST,149.96059337,2.24045999,066,A2,101544256,,,user-confirmed known SN
78323,known17,real,JWST,150.11312560555407,2.012647241341165,053,A3,101542817,,,user-confirmed known SN
430352,known17,real,JWST,150.14585818,2.46510338,089,B2,101545697,,,user-confirmed known SN
2023aeab,cat65,primer_or_offfield,JWST,150.1390125,2.3957500,,,,3.55,F115W,not validated in COSMOS-Web; check PRIMER/other data; NO_FITS_COVERAGE
2023aeaf,cat65,real,JWST,150.0950000,2.3735028,077,B7,101544257,3.55,F150W,user-validated
2023aeag,cat65,primer_or_offfield,JWST,150.1217125,2.3745917,077,B8,101545697,3.51,F277W,not validated in COSMOS-Web; check PRIMER/other data
2023adzt,cat65,real,JWST,150.0935667,2.3490167,077,B7,101544257,2.35,F150W,user-validated
2023aeax,cat65,real,JWST,150.1100042,2.3261028,077,B8,101544257,2.25,F150W,user-validated
2023aeam,cat65,real,JWST,150.1426125,2.2527694,065,B8,101544257,2.18,F150W,user-validated
2023aebk,cat65,real,JWST,150.1046833,2.1874278,065,A3,101544257,2.14,F150W,user-validated
2023aeal,cat65,primer_or_offfield,JWST,150.0945750,2.2504028,065,B8,101544257,1.90,F150W,not validated in COSMOS-Web; check PRIMER/other data
2023aeaa,cat65,primer_or_offfield,JWST,150.0953250,2.3864250,,,,1.89,F150W,not validated in COSMOS-Web; check PRIMER/other data; NO_FITS_COVERAGE
2023aeak,cat65,real,JWST,150.0894708,2.2482778,065,B8,101544257,1.88,F115W,user-validated
2023aebf,cat65,primer_or_offfield,JWST,150.0949250,2.1754278,065,A3,101544257,1.75,F277W,not validated in COSMOS-Web; check PRIMER/other data
2023adzw,cat65,real,JWST,150.1319875,2.3525167,077,B8,101544257,1.75,F115W,user-validated
2023adze,cat65,real,JWST,150.1397792,2.4283667,077,B2,101545697,1.70,F115W,user-validated
2023adzi,cat65,primer_or_offfield,JWST,150.0989500,2.4321000,077,B2,101545697,1.69,F115W,not validated in COSMOS-Web; check PRIMER/other data
2023adyx,cat65,primer_or_offfield,JWST,150.1801583,2.4452917,077,B3,101545697,1.64,F277W,not validated in COSMOS-Web; check PRIMER/other data
2023aeaq,cat65,real,JWST,150.1354083,2.2853694,065,B8,101544257,1.61,F150W,user-validated
2023adzo,cat65,real,JWST,150.1638000,2.4150833,077,B3,101545697,1.52,F277W,user-validated
2023adyy,cat65,real,JWST,150.0618250,2.2828861,065,B7,101544257,1.52,F115W,user-validated
2023adzq,cat65,real,JWST,150.1059167,2.3434694,077,B7,101544257,1.49,F115W,user-validated
2023aeav,cat65,real,JWST,150.1282250,2.3228778,077,B8,101544257,1.48,F115W,user-validated
2023adzy,cat65,primer_or_offfield,JWST,150.1444833,2.3668778,077,B8,101544257,1.45,F150W,not validated in COSMOS-Web; check PRIMER/other data
2023aeas,cat65,real,JWST,150.1075750,2.3083861,077,B8,101544257,1.43,F115W,user-validated
2023adzp,cat65,primer_or_offfield,JWST,150.1822125,2.3383833,077,B8,101544257,1.40,F115W,not validated in COSMOS-Web; check PRIMER/other data
2023aebh,cat65,primer_or_offfield,JWST,150.1546708,2.2245917,065,B8,101544257,1.39,F277W,not validated in COSMOS-Web; check PRIMER/other data
2023adzn,cat65,primer_or_offfield,JWST,150.1900042,2.3462833,077,B8,101544257,1.38,F150W,not validated in COSMOS-Web; check PRIMER/other data
2023adzx,cat65,primer_or_offfield,JWST,150.1361000,2.3553167,077,B8,101544257,1.37,F115W,not validated in COSMOS-Web; check PRIMER/other data
2023aean,cat65,real,JWST,150.1345500,2.2541861,065,B8,101544257,1.29,F115W,user-validated
2023aebe,cat65,primer_or_offfield,JWST,150.1429875,2.2190694,,,,1.11,F115W,not validated in COSMOS-Web; check PRIMER/other data; NO_FITS_COVERAGE
2023aeai,cat65,real,JWST,150.1833500,2.2454583,065,B8,101544257,1.10,F115W,user-validated
2023aebj,cat65,real,JWST,150.1049333,2.1812194,065,A3,101544257,1.10,F277W,user-validated
2023adzs,cat65,primer_or_offfield,JWST,150.1033167,2.3460278,077,B7,101544257,1.09,F115W,not validated in COSMOS-Web; check PRIMER/other data
2023aeac,cat65,primer_or_offfield,JWST,150.1400542,2.4058667,077,B3,101545697,1.01,F115W,not validated in COSMOS-Web; check PRIMER/other data
2023aebc,cat65,real,JWST,150.0772458,2.2479278,065,B8,101544257,1.01,F115W,user-validated
2023aebd,cat65,real,JWST,150.1275917,2.2131278,065,B8,101544257,1.01,F115W,user-validated
2023aeba,cat65,real,JWST,150.0722833,2.2999250,077,B7,101544257,0.93,F277W,user-validated
2023aeap,cat65,real,JWST,150.1215208,2.2670444,065,B8,101544257,0.85,F115W,user-validated
2023adzc,cat65,primer_or_offfield,JWST,150.1018875,2.4261333,077,B2,101545697,0.70,F115W,not validated in COSMOS-Web; check PRIMER/other data
2023adzj,cat65,primer_or_offfield,JWST,150.1754833,2.3714333,077,B8,101545697,0.68,F115W,not validated in COSMOS-Web; check PRIMER/other data
2023aeat,cat65,primer_or_offfield,JWST,150.1371333,2.3173861,,,,0.67,F150W,not validated in COSMOS-Web; check PRIMER/other data; NO_FITS_COVERAGE
2023adyz,cat65,real,JWST,150.1713833,2.4731917,089,B3,101545697,0.65,F115W,user-validated
2023adzm,cat65,primer_or_offfield,JWST,150.1844208,2.4136083,077,B3,101545697,0.60,F115W,not validated in COSMOS-Web; check PRIMER/other data
2023aeaw,cat65,primer_or_offfield,JWST,150.1188000,2.3243528,077,B8,101544257,0.59,F150W,not validated in COSMOS-Web; check PRIMER/other data
2023aebm,cat65,real,JWST,150.0728250,2.2368861,065,B8,101544257,0.59,F150W,user-validated
2023aeao,cat65,real,JWST,150.1043583,2.2614861,065,B8,101544257,0.55,F115W,user-validated
2023aeay,cat65,real,JWST,150.0738583,2.2622417,065,B7,101544257,0.55,F115W,user-validated
2023adzz,cat65,primer_or_offfield,JWST,150.1129750,2.3781167,077,B7,101545697,0.54,F115W,not validated in COSMOS-Web; check PRIMER/other data
2023aeah,cat65,primer_or_offfield,JWST,150.1974167,2.3008333,,,,0.53,F115W,not validated in COSMOS-Web; check PRIMER/other data; NO_FITS_COVERAGE
2023adzd,cat65,real,JWST,150.1205458,2.4630333,089,B2,101545697,0.49,F115W,user-validated
2023aeau,cat65,real,JWST,150.1526542,2.3217528,077,B8,101544257,0.48,F115W,user-validated
2023aebg,cat65,real,JWST,150.1093875,2.2239278,065,B8,101544257,0.41,F115W,user-validated
2023adzr,cat65,real,JWST,150.1151000,2.3439028,077,B8,101544257,0.39,F150W,user-validated
2023adzh,cat65,real,JWST,150.1124875,2.4320500,077,B2,101545697,0.30,F150W,user-validated
2023adzg,cat65,primer_or_offfield,JWST,150.1194625,2.4565500,,,,0.30,F115W,not validated in COSMOS-Web; check PRIMER/other data; NO_FITS_COVERAGE
2023adza,cat65,primer_or_offfield,JWST,150.1188208,2.4573417,077,B2,101545697,0.30,F115W,not validated in COSMOS-Web; check PRIMER/other data
2023adzb,cat65,primer_or_offfield,JWST,150.1198458,2.4578167,,,,0.26,F115W,not validated in COSMOS-Web; check PRIMER/other data; NO_FITS_COVERAGE
2023aeaz,cat65,primer_or_offfield,JWST,150.0734833,2.2927028,,,,0.25,F150W,not validated in COSMOS-Web; check PRIMER/other data; NO_FITS_COVERAGE
2023adzf,cat65,real,JWST,150.1167917,2.4723500,089,B2,101545697,0.17,F150W,user-validated
2023aear,cat65,primer_or_offfield,JWST,150.1225708,2.2861194,,,,0.11,F115W,not validated in COSMOS-Web; check PRIMER/other data; NO_FITS_COVERAGE
2023adzu,cat65,real,JWST,150.1377000,2.3502667,077,B8,101544257,0.06,F150W,user-validated
2023aeae,cat65,primer_or_offfield,JWST,150.1529125,2.3497167,077,B8,101544257,0.06,F115W,not validated in COSMOS-Web; check PRIMER/other data
2023aead,cat65,real,JWST,150.1542083,2.3437861,077,B8,101544257,0.06,F150W,user-validated
2023adzk,cat65,real,JWST,150.1733333,2.4042667,077,B3,101545697,0.03,F150W,user-validated
2023adzl,cat65,primer_or_offfield,JWST,150.1715708,2.3299500,077,B8,101544257,0.01,F150W,not validated in COSMOS-Web; check PRIMER/other data
2023adzv,cat65,primer_or_offfield,JWST,150.1202958,2.3509944,,,,0.01,F150W,not validated in COSMOS-Web; check PRIMER/other data; NO_FITS_COVERAGE
2023aeaj,cat65,real,JWST,150.1779417,2.2498333,065,B8,101544257,0.01,F150W,user-validated
