id,sn_ra,sn_dec,hst_tile,jwst_tile,euclid_tile,z,filt,sep_match,telescope,best_band,best_snr,composite_confidence,primary_id
2023aeab,150.1390125,2.3957500,,,,3.55,F115W,3.5(nomatch),JWST,F115W,0,0,2023aeab
2023aeaf,150.0950000,2.3735028,077,B7,101544257,3.55,F150W,0.13,JWST,F150W,0,0,2023aeaf
2023aeag,150.1217125,2.3745917,077,B8,101545697,3.51,F277W,0.03,JWST,F277W,0,0,2023aeag
2023adzt,150.0935667,2.3490167,077,B7,101544257,2.35,F150W,0.38,JWST,F150W,0,0,2023adzt
2023aeax,150.1100042,2.3261028,077,B8,101544257,2.25,F150W,0.03,JWST,F150W,0,0,2023aeax
2023aeam,150.1426125,2.2527694,065,B8,101544257,2.18,F150W,0.01,JWST,F150W,0,0,2023aeam
2023aebk,150.1046833,2.1874278,065,A3,101544257,2.14,F150W,0.13,JWST,F150W,0,0,2023aebk
2023aeal,150.0945750,2.2504028,065,B8,101544257,1.90,F150W,0.03,JWST,F150W,0,0,2023aeal
2023aeaa,150.0953250,2.3864250,,,,1.89,F150W,3.0(nomatch),JWST,F150W,0,0,2023aeaa
2023aeak,150.0894708,2.2482778,065,B8,101544257,1.88,F115W,0.11,JWST,F115W,0,0,2023aeak
2023aebf,150.0949250,2.1754278,065,A3,101544257,1.75,F277W,0.22,JWST,F277W,0,0,2023aebf
2023adzw,150.1319875,2.3525167,077,B8,101544257,1.75,F115W,0.03,JWST,F115W,0,0,2023adzw
2023adze,150.1397792,2.4283667,077,B2,101545697,1.70,F115W,0.02,JWST,F115W,0,0,2023adze
2023adzi,150.0989500,2.4321000,077,B2,101545697,1.69,F115W,0.05,JWST,F115W,0,0,2023adzi
2023adyx,150.1801583,2.4452917,077,B3,101545697,1.64,F277W,0.35,JWST,F277W,0,0,2023adyx
2023aeaq,150.1354083,2.2853694,065,B8,101544257,1.61,F150W,0.29,JWST,F150W,0,0,2023aeaq
2023adzo,150.1638000,2.4150833,077,B3,101545697,1.52,F277W,0.22,JWST,F277W,0,0,2023adzo
2023adyy,150.0618250,2.2828861,065,B7,101544257,1.52,F115W,0.35,JWST,F115W,0,0,2023adyy
2023adzq,150.1059167,2.3434694,077,B7,101544257,1.49,F115W,0.00,JWST,F115W,0,0,2023adzq
2023aeav,150.1282250,2.3228778,077,B8,101544257,1.48,F115W,0.22,JWST,F115W,0,0,2023aeav
2023adzy,150.1444833,2.3668778,077,B8,101544257,1.45,F150W,0.03,JWST,F150W,0,0,2023adzy
2023aeas,150.1075750,2.3083861,077,B8,101544257,1.43,F115W,0.42,JWST,F115W,0,0,2023aeas
2023adzp,150.1822125,2.3383833,077,B8,101544257,1.40,F115W,0.17,JWST,F115W,0,0,2023adzp
2023aebh,150.1546708,2.2245917,065,B8,101544257,1.39,F277W,0.02,JWST,F277W,0,0,2023aebh
2023adzn,150.1900042,2.3462833,077,B8,101544257,1.38,F150W,0.11,JWST,F150W,0,0,2023adzn
2023adzx,150.1361000,2.3553167,077,B8,101544257,1.37,F115W,0.09,JWST,F115W,0,0,2023adzx
2023aean,150.1345500,2.2541861,065,B8,101544257,1.29,F115W,0.27,JWST,F115W,0,0,2023aean
2023aebe,150.1429875,2.2190694,,,,1.11,F115W,3.0(nomatch),JWST,F115W,0,0,2023aebe
