id,telescope,hst_tile,jwst_tile,euclid_tile,host_ra,host_dec,sn_ra,sn_dec,sn_host_sep_arcsec,host_z,best_band,best_snr,combined_sigma,max_snr_detect,n_3sig_detect,quality_flag,mag_F814W,mag_VIS,mag_Y,mag_J,mag_H,mag_F115W,mag_F150W,mag_F277W,mag_F444W,snr_F814W,snr_VIS,snr_Y,snr_J,snr_H,snr_F115W,snr_F150W,snr_F277W,snr_F444W
130972,HST,052,A4,101542818,150.279917,2.041285,150.279695,2.041101,1.038,0.3324,F814W,47.75,47.75,38.54,1,real,25.35,26.58,22.0,21.32,21.33,27.91,26.87,26.59,27.65,38.54,2.65,1.51,2.12,2.11,2.15,6.37,10.73,6.96
371996,HST,040,A10,101542818,150.282612,1.932054,150.282844,1.932259,1.114,0.9009,F814W,76.12,76.12,69.09,1,real,24.69,-1,-1,-1,-1,-1,-1,-1,-1,69.09,-2.43,-1.78,-1.62,-1.46,-6.26,-2.14,-0.11,-1.64
471959,HST,076,B3,101545698,150.278761,2.43097,150.278904,2.430962,0.515,0.8985,F814W,33.09,33.09,24.32,1,real,24.23,30.65,22.78,21.71,21.36,27.96,27.5,26.63,27.77,24.32,0.06,0.26,0.5,0.7,1.15,1.43,2.34,1.18
63924,EUCLID,066,A2,101544256,149.968173,2.233122,149.9685730506876,2.233454590805704,1.872,0.9543,Y,7.59,7.59,16.32,3,real,-1,-1,19.81,20.16,20.8,-1,-1,30.75,-1,-1.42,-0.3,16.32,10.31,5.18,-0.53,-1.56,0.32,-1.08
318858,JWST,041,A9,101541377,150.185272,1.842447,150.185337,1.842646,0.754,0.5763,F115W,201.0,201.0,49.89,4,real,-1,27.49,21.25,-1,-1,24.23,24.48,25.42,26.85,-0.78,0.79,1.13,0.0,0.0,49.89,37.17,13.54,6.79
320233,JWST,041,A9,101541377,150.146358,1.86641,150.146358,1.86641,0.0,0.0,F150W,173.22,173.22,71.57,4,real,-1,27.79,22.79,-1,21.35,24.98,24.96,25.44,26.19,-0.96,2.92,1.57,-1.01,3.72,54.29,71.57,64.28,46.6
246188,JWST,054,A7,101542816,149.908499,1.994562,149.90842,1.994614,0.34,0.8562,F115W,14.74,14.74,2.7,0,spurious,26.14,25.75,19.07,18.53,18.5,24.3,24.14,23.77,24.18,1.92,1.23,2.05,2.16,1.97,2.7,2.21,2.39,2.7
296673,JWST,053,A3,101542817,150.103238,2.006677,150.103129,2.006954,1.072,0.6798,F150W,20.03,20.03,10.45,3,real,-1,28.41,22.47,21.91,22.31,28.01,27.2,27.01,27.39,-1.6,1.42,1.31,1.46,0.95,2.67,5.98,10.45,9.84
435613,JWST,089,B2,101545697,150.072976,2.530611,150.073048,2.530626,0.265,1.3513,F115W,15.39,15.39,19.46,4,real,26.5,25.6,20.45,19.97,20.31,24.64,24.54,24.73,25.04,6.31,5.05,6.95,8.6,8.55,19.46,17.17,18.04,16.93
435769,JWST,089,B2,101545697,150.108894,2.518892,150.108823,2.518886,0.256,2.975,F115W,35.04,35.04,19.34,4,real,27.37,26.35,20.85,20.65,20.97,25.75,25.62,25.82,26.34,5.45,3.98,5.17,5.23,3.24,16.53,19.34,14.22,8.6
468896,JWST,076,B3,101545698,150.26447,2.414282,150.26457146694182,2.4142228475769287,0.423,-99.0,F150W,9.44,9.44,7.94,4,real,24.62,25.32,20.0,19.8,20.03,25.16,25.15,24.95,25.43,18.42,1.66,2.22,2.32,2.14,5.71,5.69,6.76,7.94
9748,JWST,067,A1,101544256,149.8652,2.168081,149.86509251002576,2.1682127700879295,0.612,0.5986,F150W,12.61,12.61,6.56,4,real,26.71,26.28,20.34,20.1,20.14,26.06,25.83,25.61,26.48,4.75,1.45,1.44,1.55,1.55,5.38,6.21,6.56,5.0
19931,JWST,067,A1,101544256,149.803126,2.263927,149.80297471386353,2.2640588444012053,0.722,1.9256,F115W,1.64,1.64,4.05,1,marginal,-1,-1,-1,23.74,23.51,27.61,29.35,30.25,29.34,-1.47,-0.36,-0.12,0.51,0.67,4.05,1.04,0.84,1.58
53669,JWST,066,A2,101544257,149.995178,2.163654,149.9952485720487,2.163583717063025,0.358,0.8473,F115W,0.31,0.31,2.12,0,spurious,25.4,25.87,19.13,18.53,18.34,24.78,24.37,23.6,24.03,2.64,0.93,1.76,1.69,1.77,1.25,1.19,1.73,2.12
63919,JWST,066,A2,101544256,149.960696,2.240525,149.96067935746066,2.240483225556507,0.162,0.6788,F444W,27.01,27.01,18.63,4,real,24.39,24.0,18.18,17.6,17.46,22.82,22.31,21.62,22.31,6.04,3.89,2.78,2.83,2.75,17.89,18.63,16.48,15.26
78323,JWST,053,A3,101542817,150.113247,2.012684,150.11312560555407,2.012647241341165,0.456,0.7005,F115W,19.24,19.24,4.89,4,marginal,24.97,24.24,18.11,17.59,17.79,23.11,22.99,22.79,23.47,3.6,1.11,1.57,1.67,1.34,4.89,4.27,3.53,3.42
430352,JWST,089,B2,101545697,150.145807,2.465175,150.14586867115494,2.465216746909871,0.268,3.2114,F115W,15.67,15.67,14.5,4,real,26.07,25.97,21.42,21.51,21.99,25.57,25.59,24.95,24.42,26.65,20.65,3.55,1.86,0.83,14.5,9.31,3.53,3.28
