id,primary_id,telescope,hst_tile,jwst_tile,euclid_tile,host_ra,host_dec,sn_ra,sn_dec,sn_host_sep_arcsec,host_z,best_band,best_snr,n_bands_detected,combined_sigma,max_snr_detect,quality_flag,diff_mag_F115W,diff_mag_F150W,diff_mag_F277W,diff_mag_F444W,diff_mag_VIS,diff_mag_Y,diff_mag_J,diff_mag_H,diff_snr_F115W,diff_snr_F150W,diff_snr_F277W,diff_snr_F444W,diff_snr_VIS,diff_snr_Y,diff_snr_J,diff_snr_H,composite_confidence,mag_Y_tight,snr_Y_tight,mag_J_tight,snr_J_tight,mag_H_tight,snr_H_tight,hst_pm_neighbor_sep,hst_pm_neighbor_pid,hst_pm_neighbor_snr
cand_00001,559249,JWST+EUCLID,075,B5,101545699,150.5113900,2.4142975,150.5113900,2.4142975,0.000,-1,F444W,82.00,5,4.020,82.00,v04_diff_candidate,29.54,31.16,27.43,25.82,29.30,21.24,21.03,21.03,9.53,4.55,28.44,82.00,2.49,7.63,7.25,9.43,4.0196,23.71,2.62,23.80,1.68,24.50,1.24,,,
cand_00002,190369,JWST,043,A6,101542816,149.7935691,1.9336786,149.7935691,1.9336786,0.000,-1,F444W,591.14,4,3.869,591.14,v04_diff_candidate,27.53,26.15,23.62,23.16,-1,-1,-1,-1,24.92,31.16,406.36,591.14,0.00,0.00,0.00,0.00,3.8691,-1,0.00,-1,0.00,-1,0.00,,,
cand_00003,311477,JWST,041,A9,101541377,150.1481059,1.7974276,150.1481059,1.7974276,0.000,-1,F444W,429.37,4,3.822,429.37,v04_diff_candidate,27.97,27.02,23.72,22.92,-1,-1,-1,-1,12.57,18.01,203.43,429.37,0.00,0.00,0.00,0.00,3.8220,-1,0.00,-1,0.00,-1,0.00,,,
cand_00004,407263,JWST+EUCLID,102,B1,101547135,149.9155550,2.6559164,149.9155550,2.6559164,0.000,-1,F277W,404.74,4,3.812,404.74,v04_diff_candidate,-1,-1,24.40,24.53,31.37,21.69,21.81,21.51,-4.85,-6.58,404.74,179.41,0.76,5.47,4.12,5.03,3.8116,-1,-0.21,-1,-1.76,-1,-0.43,,,
cand_00005,189815,JWST,043,A6,101542816,149.7810515,1.9334928,149.7810515,1.9334928,0.000,-1,F277W,193.61,4,3.625,193.61,v04_diff_candidate,27.78,27.15,25.09,24.86,-1,-1,-1,-1,25.61,29.69,193.61,187.11,0.00,0.00,0.00,0.00,3.6255,-1,0.00,-1,0.00,-1,0.00,,,
cand_00006,310562,JWST,041,A9,101541377,150.1285053,1.7955963,150.1285053,1.7955963,0.000,-1,F277W,186.88,4,3.613,186.88,v04_diff_candidate,26.17,26.08,25.37,25.75,-1,-1,-1,-1,35.95,32.50,186.88,84.75,0.00,0.00,0.00,0.00,3.6133,-1,0.00,-1,0.00,-1,0.00,,,
cand_00007,645,JWST+EUCLID,055,A1,101542816,149.8355261,2.1183925,149.8355261,2.1183925,0.000,-1,F277W,169.51,4,3.578,169.51,v04_diff_candidate,-1,33.26,25.12,25.36,30.91,21.23,21.31,20.87,-3.62,0.45,169.51,35.71,1.00,8.95,5.76,10.53,3.5779,26.27,0.26,-1,-0.24,23.81,2.67,,,
cand_00008,433287,JWST,089,B2,101545697,150.0877651,2.5077242,150.0877651,2.5077242,0.000,-1,F444W,159.16,4,3.553,159.16,v04_diff_candidate,26.85,27.50,27.13,25.48,30.15,19.77,19.28,19.66,38.92,47.07,49.86,159.16,1.84,3.48,3.10,1.74,3.5535,21.39,2.45,20.89,2.24,21.61,0.97,,,
cand_00009,553566,JWST+EUCLID,075,B5,101544259,150.5084374,2.3691779,150.5084374,2.3691779,0.000,-1,F277W,132.53,4,3.476,132.53,v04_diff_candidate,32.50,-1,25.40,26.29,-1,22.02,21.50,21.05,0.76,-3.39,132.53,35.66,-0.99,4.25,5.39,7.79,3.4755,24.39,1.60,22.99,5.26,27.03,0.12,,,
cand_00010,314211,JWST,041,A9,101541377,150.0830465,1.8425776,150.0830465,1.8425776,0.000,-1,F444W,109.89,4,3.384,109.89,v04_diff_candidate,27.98,26.57,22.71,21.69,-1,-1,-1,-1,13.79,27.85,95.79,109.89,0.00,0.00,0.00,0.00,3.3841,-1,0.00,-1,0.00,-1,0.00,,,
cand_00011,316568,JWST,041,A9,101541377,150.1025642,1.8535369,150.1025642,1.8535369,0.000,-1,F277W,100.99,4,3.339,100.99,v04_diff_candidate,27.10,27.08,26.07,26.31,-1,-1,-1,-1,28.71,34.44,100.99,50.09,0.00,0.00,0.00,0.00,3.3388,-1,0.00,-1,0.00,-1,0.00,,,
cand_00012,353561,JWST,028,A10,101541378,150.2909283,1.7755187,150.2909283,1.7755187,0.000,-1,F444W,95.26,4,3.306,95.26,v04_diff_candidate,26.74,26.16,23.36,22.89,-1,-1,-1,-1,15.72,23.02,83.42,95.26,0.00,0.00,0.00,0.00,3.3059,-1,0.00,-1,0.00,-1,0.00,,,
