id,primary_id,telescope,hst_tile,jwst_tile,euclid_tile,host_ra,host_dec,sn_ra,sn_dec,sn_host_sep_arcsec,host_z,best_band,best_snr,combined_sigma,max_snr_detect,n_3sig_detect,quality_flag,mag_F814W,mag_VIS,mag_Y,mag_J,mag_H,mag_F115W,mag_F150W,mag_F277W,mag_F444W,snr_F814W,snr_VIS,snr_Y,snr_J,snr_H,snr_F115W,snr_F150W,snr_F277W,snr_F444W,cnn_conf_hst,cnn_conf_jwst,cnn_conf_vis,cnn_conf_nisp,composite_confidence,mag_Y_tight,snr_Y_tight,mag_J_tight,snr_J_tight,mag_H_tight,snr_H_tight,hst_pm_neighbor_sep,hst_pm_neighbor_pid,hst_pm_neighbor_snr
cand_00001,317235,JWST,041,A9,101541377,150.1024393,1.8588636,150.1024393,1.8588636,0.000,-1,F150W,33.78,0.480,33.78,1,v05_cnn_candidate,30.84,27.93,-1,-1,-1,26.91,27.05,27.56,28.37,0.66,2.33,0.00,0.00,0.00,26.34,33.78,25.05,7.02,0.0042,0.9692,0.3586,0.5049,0.4799,-1,0.00,-1,0.00,-1,0.00,,,
cand_00002,281979,JWST,041,A8,101542817,150.0742416,1.9041503,150.0742416,1.9041503,0.000,-1,F150W,27.64,0.472,27.64,1,v05_cnn_candidate,33.18,28.98,-1,23.58,-1,27.50,27.29,27.74,28.29,0.06,2.22,-1.16,0.28,-0.88,18.64,27.64,24.56,7.82,0.0046,0.9566,0.4157,0.5071,0.4715,24.32,0.75,-1,-0.45,22.82,1.94,,,
cand_00003,449765,JWST,102,B1,101545697,150.0593912,2.6319017,150.0593912,2.6319017,0.000,-1,F277W,24.95,0.469,24.95,1,v05_cnn_candidate,-1,-1,-1,-1,-1,27.56,27.37,27.46,27.72,-2.81,-2.77,-5.04,-1.57,-1.36,17.30,23.10,24.95,13.82,0.0056,0.9450,0.4018,0.5039,0.4689,-1,-1.55,-1,-0.51,25.00,0.91,,,
cand_00004,191966,JWST,043,A6,101542816,149.7571144,1.9580743,149.7571144,1.9580743,0.000,-1,F150W,24.30,0.468,24.30,1,v05_cnn_candidate,30.12,-1,-1,-1,-1,27.14,27.33,27.47,28.34,1.06,-0.30,0.00,0.00,0.00,22.10,24.30,37.12,10.70,0.0050,0.9446,0.4392,0.5049,0.4677,-1,0.00,-1,0.00,-1,0.00,,,
cand_00005,327555,JWST,041,A9,101542818,150.2109819,1.9010312,150.2109819,1.9010312,0.000,-1,F115W,18.07,0.446,18.07,1,v05_cnn_candidate,28.88,30.79,22.30,-1,-1,27.54,27.48,28.38,28.61,3.00,0.57,1.87,-0.01,-2.19,18.07,24.06,15.60,8.98,0.0085,0.8927,0.3909,0.5002,0.4462,22.60,4.37,23.99,1.18,25.06,0.41,,,
cand_00006,166046,JWST,052,A5,101542818,150.3212368,2.0077655,150.3212368,2.0077655,0.000,-1,F277W,26.66,0.433,26.66,1,v05_cnn_candidate,-1,-1,-1,-1,-1,27.86,27.89,27.78,28.08,-2.92,-1.90,-1.76,-2.00,-1.06,14.72,19.65,26.66,13.85,0.0041,0.8848,0.4575,0.5107,0.4329,-1,-2.42,-1,-1.43,-1,-0.25,,,
cand_00007,236367,JWST,043,A7,101542816,149.8318544,1.9535865,149.8318544,1.9535865,0.000,-1,F277W,42.92,0.431,42.92,1,v05_cnn_candidate,30.52,28.59,20.86,-1,-1,27.82,27.39,26.96,25.76,1.25,2.43,2.04,-1.94,-1.96,17.50,23.69,42.92,84.52,0.0067,0.8916,0.3873,0.5001,0.4307,21.21,4.94,23.07,0.46,-1,-0.35,,,
cand_00008,494308,JWST,076,B3,101545698,150.2593850,2.4356977,150.2593850,2.4356977,0.000,-1,F444W,16.03,0.410,16.03,1,v05_cnn_candidate,30.08,30.22,-1,-1,22.17,28.39,27.89,28.71,27.51,1.08,1.39,-0.77,-0.40,1.31,9.34,12.45,11.28,16.03,0.0051,0.8442,0.4569,0.5149,0.4096,24.19,0.78,24.32,0.51,23.53,1.20,,,
cand_00009,276629,JWST,042,A8,101542817,150.0359152,1.8781872,150.0359152,1.8781872,0.000,-1,F150W,21.47,0.396,21.47,1,v05_cnn_candidate,29.77,28.39,-1,-1,-1,28.50,27.04,27.94,28.09,1.39,1.54,0.00,0.00,0.00,4.32,21.47,13.33,10.80,0.0047,0.8003,0.2192,0.5049,0.3963,-1,0.00,-1,0.00,-1,0.00,,,
cand_00010,357735,JWST,040,A10,101541378,150.2993960,1.8079118,150.2993960,1.8079118,0.000,-1,F115W,15.39,0.358,15.39,1,v05_cnn_candidate,-1,28.04,-1,-1,-1,27.74,27.96,28.45,27.87,-0.40,1.43,0.00,0.00,0.00,15.39,14.56,14.78,20.82,0.0049,0.7226,0.3842,0.5049,0.3578,-1,0.00,-1,0.00,-1,0.00,,,
