id,primary_id,sn_ra,sn_dec,hst_tile,jwst_tile,euclid_tile,telescope,best_band,best_snr,composite_confidence,z,disc_filter,source
2023aebj,2023aebj,150.1049333,2.1812194,065,A3,101544257,JWST,F277W,0,0.000,1.10,F277W,cat65
2023adzu,2023adzu,150.1377000,2.3502667,077,B8,101544257,JWST,F150W,0,0.003,0.06,F150W,cat65
2023adzh,2023adzh,150.1124875,2.4320500,077,B2,101545697,JWST,F150W,0,0.022,0.30,F150W,cat65
2023adzf,2023adzf,150.1167917,2.4723500,089,B2,101545697,JWST,F150W,0,0.043,0.17,F150W,cat65
2023aeba,2023aeba,150.0722833,2.2999250,077,B7,101544257,JWST,F277W,0,0.069,0.93,F277W,cat65
2023aebm,2023aebm,150.0728250,2.2368861,065,B8,101544257,JWST,F150W,0,0.080,0.59,F150W,cat65
239301,239301,149.86403571,1.96307767,055,A7,101542816,JWST,F150W,0,0.091,,F150W,known21
2023adzr,2023adzr,150.1151000,2.3439028,077,B8,101544257,JWST,F150W,0,0.096,0.39,F150W,cat65
2023aeaj,2023aeaj,150.1779417,2.2498333,065,B8,101544257,JWST,F150W,0,0.111,0.01,F150W,cat65
2023adzt,2023adzt,150.0935667,2.3490167,077,B7,101544257,JWST,F150W,0,0.121,2.35,F150W,cat65
2023aead,2023aead,150.1542083,2.3437861,077,B8,101544257,JWST,F150W,0,0.130,0.06,F150W,cat65
39020,39020,149.91140979,2.09200089,054,A2,101542816,JWST,F115W,0,0.179,,F115W,known21
435769,435769,150.108823,2.518886,089,B2,101545697,JWST,F115W,0,0.192,,,known21
2023aeao,2023aeao,150.1043583,2.2614861,065,B8,101544257,JWST,F115W,0,0.218,0.55,F115W,cat65
2023adyz,2023adyz,150.1713833,2.4731917,089,B3,101545697,JWST,F115W,0,0.225,0.65,F115W,cat65
2023aeaq,2023aeaq,150.1354083,2.2853694,065,B8,101544257,JWST,F150W,0,0.239,1.61,F150W,cat65
2023aeaf,2023aeaf,150.0950000,2.3735028,077,B7,101544257,JWST,F150W,0,0.258,3.55,F150W,cat65
2023aeam,2023aeam,150.1426125,2.2527694,065,B8,101544257,JWST,F150W,0,0.258,2.18,F150W,cat65
64479,64479,149.95678152,2.24554778,066,A2,101544256,JWST,F115W,0,0.317,,F115W,known21
2023aean,2023aean,150.1345500,2.2541861,065,B8,101544257,JWST,F115W,0,0.358,1.29,F115W,cat65
130972,130972,150.279695,2.041101,052,A4,101542818,HST,F814W,0,0.362,,,known21
371996,371996,150.282844,1.932259,040,A10,101542818,HST,F814W,0,0.385,,,known21
430352,430352,150.14585818,2.46510338,089,B2,101545697,JWST,F115W,0,0.396,,,known21
19931,19931,149.80315295,2.26388746,067,A1,101544256,JWST,F115W,0,0.441,,,known21
435613,435613,150.073048,2.530626,089,B2,101545697,JWST,F115W,0,0.483,,,known21
