found_in,star_id,ra,dec,mag,peak,snr,tile,missing_jwst,missing_hst,in_jwst_fp,in_hst_fp,missing_euclid,in_euclid_fp,in_jwst_pix,in_hst_pix,real_orphan
HST F814W,F814W_063_5366262,150.4310104033926,2.291048297754397,-7.226059436798096,44.92292785644531,16791.509765625,063,True,False,True,False,True,True,True,False,True
HST F814W,F814W_075_7032419,150.5591645071142,2.40434591856486,-7.252046585083008,44.91206741333008,16709.49609375,075,True,False,True,False,True,True,True,False,True
HST F814W,F814W_075_6986614,150.56284638803126,2.3163184304267355,-7.547784328460693,43.99312210083008,16367.603515625,075,True,False,True,False,True,True,True,False,True
HST F814W,F814W_052_4067347,150.32475299003445,2.0980936510608292,-6.459903240203857,43.997840881347656,16166.302734375,052,True,False,True,False,True,True,True,False,True
HST F814W,F814W_091_8752145,149.8633091145872,2.516402062280845,-6.875770568847656,44.225189208984375,15772.3955078125,091,True,False,True,False,True,True,True,False,True
HST F814W,F814W_063_5353535,150.53422104602598,2.272095902947577,-6.944831848144531,41.068721771240234,15350.8662109375,063,True,False,True,False,True,True,True,False,True
HST F814W,F814W_040_2415730,150.37777417172464,1.8513499602291177,-6.584524154663086,39.43265151977539,15233.3427734375,040,True,False,True,False,True,True,True,False,True
HST F814W,F814W_075_6986592,150.56286782091354,2.316292252705544,-7.368773460388184,40.64193344116211,15120.796875,075,True,False,True,False,True,True,True,False,True
HST F814W,F814W_051_3807696,150.48916587362166,2.099033166826606,-7.473435878753662,41.94072723388672,14989.73046875,051,True,False,True,False,True,True,True,False,True
HST F814W,F814W_040_2419386,150.39399286309893,1.8581660962578728,-6.924812316894531,38.644630432128906,14928.9208984375,040,True,False,True,False,True,True,True,False,True
HST F814W,F814W_074_6867643,150.55961602439865,2.404282819158194,-7.078423976898193,45.14099884033203,14283.6904296875,074,True,False,True,False,True,True,True,False,True
HST F814W,F814W_028_0930536,150.3391571343402,1.7495502373986942,-6.92703914642334,40.64580154418945,14049.62109375,028,True,False,True,False,True,True,True,False,True
HST F814W,F814W_074_6867803,150.55930060562233,2.4043624020856997,-7.013040542602539,44.36183166503906,14037.1435546875,074,True,False,True,False,True,True,True,False,True
HST F814W,F814W_051_3807839,150.4889821923006,2.0990786033437594,-7.375995635986328,39.100303649902344,13974.5556640625,051,True,False,True,False,True,True,True,False,True
HST F814W,F814W_063_5347347,150.52584014109624,2.259316448607444,-6.734292030334473,36.516700744628906,13649.3896484375,063,True,False,True,False,True,True,True,False,True
HST F814W,F814W_102_10358144,149.92946136175578,2.694297326267268,-7.28358268737793,38.76897048950195,13628.3662109375,102,True,False,True,False,True,True,True,False,True
HST F814W,F814W_043_2942108,149.76643693391952,1.9389768926111206,-6.615814208984375,36.32625961303711,13627.173828125,043,True,False,True,False,True,True,True,False,True
HST F814W,F814W_074_6894868,150.5891100387257,2.4191235085436658,-7.421459674835205,42.85415267944336,13560.0771484375,074,True,False,True,False,True,True,True,False,True
HST F814W,F814W_051_3806874,150.48902208234026,2.0988054234034865,-7.197929382324219,37.930233001708984,13556.369140625,051,True,False,True,False,True,True,True,False,True
HST F814W,F814W_028_1019947,150.3367856816659,1.7778453219645867,-6.706284523010254,39.078792572021484,13507.96875,028,True,False,True,False,True,True,True,False,True
HST F814W,F814W_074_6894693,150.58914836352548,2.4190595334630456,-7.313036918640137,42.51800537109375,13453.712890625,074,True,False,True,False,True,True,True,False,True
HST F814W,F814W_063_5289446,150.50523718014526,2.156121612405932,-6.859929084777832,34.856468200683594,13028.8193359375,063,True,False,True,False,True,True,True,False,True
HST F814W,F814W_075_6987976,150.55700906770085,2.319648366084017,-7.162844657897949,34.49040222167969,12832.125,075,True,False,True,False,True,True,True,False,True
HST F814W,F814W_102_10358207,149.92917736054736,2.694372227956769,-6.270862579345703,36.488224029541016,12826.62109375,102,True,False,True,False,True,True,True,False,True
HST F814W,F814W_074_6857442,150.579848629408,2.397181447348699,-7.12203311920166,39.98318099975586,12651.6337890625,074,True,False,True,False,True,True,True,False,True
HST F814W,F814W_051_3807004,150.48894327198082,2.098833289794273,-7.079806804656982,33.63005447387695,12019.4736328125,051,True,False,True,False,True,True,True,False,True
HST F814W,F814W_074_6901780,150.59659163817196,2.4229835256287404,-6.867149353027344,37.80947494506836,11963.8212890625,074,True,False,True,False,True,True,True,False,True
HST F814W,F814W_028_0898784,150.34889491147894,1.7390466528681796,-6.4119672775268555,32.38338851928711,11193.63671875,028,True,False,True,False,True,True,True,False,True
HST F814W,F814W_074_6850564,150.56703899954476,2.393921957026021,-6.500057220458984,35.35915756225586,11188.482421875,074,True,False,True,False,True,True,True,False,True
HST F814W,F814W_044_3152317,149.72521711355785,1.9370829042023752,-6.5958571434021,31.9036865234375,11082.4130859375,044,True,False,True,False,True,True,True,False,True
HST F814W,F814W_051_3807990,150.48899253713392,2.099123424010623,-7.120264053344727,30.940587997436523,11058.2509765625,051,True,False,True,False,True,True,True,False,True
HST F814W,F814W_102_10358148,149.92964947540506,2.69430031706397,-6.6328229904174805,31.022476196289062,10905.2587890625,102,True,False,True,False,True,True,True,False,True
HST F814W,F814W_074_6901755,150.59644548552944,2.422969035453034,-6.598660469055176,34.127994537353516,10798.9130859375,074,True,False,True,False,True,True,True,False,True
HST F814W,F814W_051_3700981,150.4011546423576,2.0560085583969747,-6.463849067687988,30.000335693359375,10722.2021484375,051,True,False,True,False,True,True,True,False,True
HST F814W,F814W_091_8752113,149.86360317808231,2.5163695196004885,-6.598608016967773,29.516796112060547,10526.8193359375,091,True,False,True,False,True,True,True,False,True
HST F814W,F814W_063_5323535,150.51764522105555,2.2140058573219297,-6.641990661621094,28.021514892578125,10474.017578125,063,True,False,True,False,True,True,True,False,True
HST F814W,F814W_028_0930613,150.3391294590353,1.7495604206380815,-6.884716987609863,30.27366065979004,10464.388671875,028,True,False,True,False,True,True,True,False,True
HST F814W,F814W_040_2406433,150.37859374059997,1.8369786195865565,-6.067066669464111,26.498308181762695,10236.638671875,040,True,False,True,False,True,True,True,False,True
HST F814W,F814W_028_1001391,150.34394927989146,1.7705747807272354,-6.933865070343018,29.45284652709961,10180.666015625,028,True,False,True,False,True,True,True,False,True
HST F814W,F814W_028_0859401,150.34688150302887,1.7257115149502418,-6.773761749267578,29.424436569213867,10170.845703125,028,True,False,True,False,True,True,True,False,True
HST F814W,F814W_051_3807811,150.4892052161853,2.099078175891492,-7.0858073234558105,28.389686584472656,10146.5517578125,051,True,False,True,False,True,True,True,False,True
HST F814W,F814W_043_2931471,149.77241296377983,1.9213740495177931,-6.145504951477051,27.00769805908203,10131.474609375,043,True,False,True,False,True,True,True,False,True
HST F814W,F814W_075_6987980,150.55713196850255,2.31965454508693,-6.407468795776367,26.397716522216797,9821.248046875,075,True,False,True,False,True,True,True,False,True
HST F814W,F814W_065_5610910,150.1377837910954,2.140159421434962,-6.770761489868164,35.992252349853516,9798.4736328125,065,True,False,True,False,True,True,True,False,True
HST F814W,F814W_042_2759734,150.03621528540663,1.8598510896759708,-6.306451797485352,28.21238899230957,9723.5009765625,042,True,False,True,False,True,True,True,False,True
HST F814W,F814W_063_5320654,150.4679602835724,2.2096677204974036,-6.297204971313477,26.01309585571289,9723.30078125,063,True,False,True,False,True,True,True,False,True
HST F814W,F814W_077_7257322,150.073017105094,2.4317244342281468,-6.470931053161621,25.751054763793945,9698.4736328125,077,True,False,True,False,True,True,True,False,True
HST F814W,F814W_055_4434032,149.7534853215758,1.960959808592597,-6.5155720710754395,26.35379981994629,9600.27734375,055,True,False,True,False,True,True,True,False,True
HST F814W,F814W_076_7166274,150.2277270318369,2.4565097719831557,-6.076878547668457,25.190736770629883,9578.1591796875,076,True,False,True,False,True,True,True,False,True
HST F814W,F814W_028_1001540,150.3438207659578,1.7706042867809233,-6.499673843383789,27.569766998291016,9529.7607421875,028,True,False,True,False,True,True,True,False,True
HST F814W,F814W_091_8752092,149.86367654295188,2.516348200824536,-6.321572780609131,26.30631446838379,9381.8388671875,091,True,False,True,False,True,True,True,False,True
HST F814W,F814W_063_5320189,150.4718853847575,2.2091943516351313,-5.922858715057373,25.0064640045166,9347.037109375,063,True,False,True,False,True,True,True,False,True
HST F814W,F814W_042_2702747,150.0519783518604,1.8196723233243572,-6.176825523376465,27.114429473876953,9345.0859375,042,True,False,True,False,True,True,True,False,True
HST F814W,F814W_102_10358193,149.9292677336206,2.69435299692507,-6.185809135437012,26.247068405151367,9226.5712890625,102,True,False,True,False,True,True,True,False,True
HST F814W,F814W_028_1001449,150.34400638129074,1.7705789726689642,-6.619447708129883,26.499048233032227,9159.6572265625,028,True,False,True,False,True,True,True,False,True
HST F814W,F814W_075_6986656,150.56238380584082,2.316409441961748,-6.417284965515137,24.60917854309082,9155.82421875,075,True,False,True,False,True,True,True,False,True
HST F814W,F814W_075_6987986,150.5569145238024,2.3196657288879274,-6.67605447769165,24.475936889648438,9106.2509765625,075,True,False,True,False,True,True,True,False,True
HST F814W,F814W_063_5320750,150.46749982021393,2.209744129955747,-6.245691776275635,23.995174407958984,8969.0322265625,063,True,False,True,False,True,True,True,False,True
