found_in,star_id,ra,dec,mag,peak,snr,tile,missing_jwst,missing_hst,in_jwst_fp,in_hst_fp,missing_euclid,in_euclid_fp,in_jwst_pix,in_hst_pix,real_orphan
HST F814W,F814W_052_4067347,150.32475299003445,2.0980936510608292,-6.459903240203857,43.997840881347656,16166.302734375,052,True,False,True,False,True,True,True,True,True
HST F814W,F814W_043_2942108,149.76643693391952,1.9389768926111206,-6.615814208984375,36.32625961303711,13627.173828125,043,True,False,True,False,True,True,True,True,True
HST F814W,F814W_051_3700981,150.4011546423576,2.0560085583969747,-6.463849067687988,30.000335693359375,10722.2021484375,051,True,False,True,False,True,True,True,True,True
HST F814W,F814W_065_5610910,150.1377837910954,2.140159421434962,-6.770761489868164,35.992252349853516,9798.4736328125,065,True,False,True,False,True,True,True,True,True
HST F814W,F814W_042_2759734,150.03621528540663,1.8598510896759708,-6.306451797485352,28.21238899230957,9723.5009765625,042,True,False,True,False,True,True,True,True,True
HST F814W,F814W_063_5320654,150.4679602835724,2.2096677204974036,-6.297204971313477,26.01309585571289,9723.30078125,063,True,False,True,False,True,True,True,True,True
HST F814W,F814W_077_7257322,150.073017105094,2.4317244342281468,-6.470931053161621,25.751054763793945,9698.4736328125,077,True,False,True,False,True,True,True,True,True
HST F814W,F814W_055_4434032,149.7534853215758,1.960959808592597,-6.5155720710754395,26.35379981994629,9600.27734375,055,True,False,True,False,True,True,True,True,True
HST F814W,F814W_076_7166274,150.2277270318369,2.4565097719831557,-6.076878547668457,25.190736770629883,9578.1591796875,076,True,False,True,False,True,True,True,True,True
HST F814W,F814W_063_5320189,150.4718853847575,2.2091943516351313,-5.922858715057373,25.0064640045166,9347.037109375,063,True,False,True,False,True,True,True,True,True
HST F814W,F814W_063_5320750,150.46749982021393,2.209744129955747,-6.245691776275635,23.995174407958984,8969.0322265625,063,True,False,True,False,True,True,True,True,True
HST F814W,F814W_043_2953292,149.75348654381665,1.960956183759591,-6.398189544677734,23.511552810668945,8819.9560546875,043,True,False,True,False,True,True,True,True,True
HST F814W,F814W_042_2734877,150.00980726571464,1.84617357527337,-6.233260631561279,25.57600975036621,8814.86328125,042,True,False,True,False,True,True,True,True,True
HST F814W,F814W_052_4067369,150.3244296780473,2.0981209236079255,-5.6750030517578125,22.79668426513672,8376.27734375,052,True,False,True,False,True,True,True,True,True
HST F814W,F814W_051_3700974,150.40124162497654,2.0560018047362005,-6.337468147277832,22.809947967529297,8152.337890625,051,True,False,True,False,True,True,True,True,True
HST F814W,F814W_063_5313451,150.46616729632737,2.199684043937273,-6.165738105773926,20.984922409057617,7843.84619140625,063,True,False,True,False,True,True,True,True,True
HST F814W,F814W_051_3702816,150.39987526661454,2.05948302990734,-6.1403889656066895,21.23799705505371,7590.51806640625,051,True,False,True,False,True,True,True,True,True
HST F814W,F814W_089_8390380,150.11743551843102,2.4642200322619847,-6.118289947509766,22.05264663696289,7572.24365234375,089,True,False,True,False,True,True,True,True,True
HST F814W,F814W_051_3701239,150.39805942659584,2.0564495042211703,-5.909820556640625,20.632925033569336,7374.263671875,051,True,False,True,False,True,True,True,True,True
HST F814W,F814W_088_8247756,150.27499314874566,2.503528962421239,-6.3045268058776855,20.604293823242188,7346.00048828125,088,True,False,True,False,True,True,True,True,True
HST F814W,F814W_065_5610884,150.13798222812187,2.1401321176565933,-6.3317341804504395,26.948070526123047,7336.30029296875,065,True,False,True,False,True,True,True,True,True
HST F814W,F814W_053_4280708,150.1388370487523,2.0846840461436416,-6.090746879577637,21.13288116455078,7326.01611328125,053,True,False,True,False,True,True,True,True,True
HST F814W,F814W_042_2731109,150.02179396072418,1.8446536954272494,-6.174784183502197,21.197622299194336,7305.8369140625,042,True,False,True,False,True,True,True,True,True
HST F814W,F814W_052_4038158,150.36385021591312,2.0741761455393526,-5.982041835784912,19.482023239135742,7158.35791015625,052,True,False,True,False,True,True,True,True,True
HST F814W,F814W_052_4038191,150.36393384827522,2.0741750826789707,-6.0068135261535645,18.687721252441406,6866.50439453125,052,True,False,True,False,True,True,True,True,True
