found_in,star_id,ra,dec,mag,peak,snr,tile,missing_jwst,missing_hst,in_jwst_fp,in_hst_fp,missing_euclid,in_euclid_fp,in_jwst_pix,in_hst_pix,real_orphan,in_common_v5,sharpness
HST F814W,F814W_064_5552573,150.37223223327314,2.2504026359496785,-2.170659065246582,1.11763334274292,409.473876953125,064,True,False,True,False,True,True,False,True,True,True,0.6797304749488831
HST F814W,F814W_042_2729168,150.02900871761014,1.843743687562051,-2.109041452407837,0.5962126851081848,205.48684692382812,042,True,False,True,False,True,True,True,True,True,True,0.635537326335907
HST F814W,F814W_067_6116223,149.88147088401706,2.227778901718991,-2.0464043617248535,0.45144468545913696,161.6113739013672,067,True,False,True,False,True,True,True,True,True,True,0.5651808977127075
HST F814W,F814W_065_5664608,150.14878409761792,2.194356135726162,-2.07000994682312,0.4842222332954407,131.8238983154297,065,True,False,True,False,True,True,True,True,True,True,0.5954283475875854
HST F814W,F814W_075_7017417,150.42473621876988,2.3787041533386972,-1.9450091123580933,0.2644507586956024,98.38867950439453,075,True,False,True,False,True,True,True,True,True,True,0.5520009994506836
HST F814W,F814W_028_1022187,150.3183057506254,1.7827062894135883,-1.1598621606826782,0.27822345495224,96.1706771850586,028,True,False,True,False,True,True,True,True,True,True,0.5575494170188904
HST F814W,F814W_040_2380688,150.3350500344166,1.7914927399821894,-1.3107428550720215,0.24758782982826233,95.64637756347656,040,True,False,True,False,True,True,False,True,True,True,0.5968319773674011
HST F814W,F814W_042_2723928,150.0278474687844,1.8408268943359674,-2.0266685485839844,0.26848477125167847,92.53424072265625,042,True,False,True,False,True,True,True,True,True,True,0.6027094125747681
HST F814W,F814W_041_2536025,150.20961523091734,1.8054491585237507,-1.0302873849868774,0.23684488236904144,88.9332504272461,041,True,False,True,False,True,True,True,True,True,True,0.6304431557655334
HST F814W,F814W_076_7138985,150.3721628580582,2.4171248817989133,-0.6438502073287964,0.2325112521648407,88.40669250488281,076,True,False,True,False,True,True,True,True,True,True,0.6990084648132324
HST F814W,F814W_089_8503031,150.15271300855912,2.561916294247957,-0.30587542057037354,0.23422983288764954,80.42778015136719,089,True,False,True,False,True,True,True,True,True,True,0.6631428003311157
HST F814W,F814W_051_3731576,150.43708169976782,2.0733883592343227,-0.84261155128479,0.2173672914505005,77.68766784667969,051,True,False,True,False,True,True,False,True,True,True,0.6065783500671387
HST F814W,F814W_040_2392446,150.227171071871,1.8139769863235555,-1.5803430080413818,0.18210838735103607,70.35082244873047,040,True,False,True,False,True,True,True,True,True,True,0.556957483291626
HST F814W,F814W_075_7049271,150.5003533424441,2.43374885941259,-0.7217216491699219,0.18896716833114624,70.3050765991211,075,True,False,True,False,True,True,True,True,True,True,0.5547468662261963
HST F814W,F814W_055_4476001,149.88837809921,2.0668706847046527,-1.2705343961715698,0.1885576844215393,68.68861389160156,055,True,False,True,False,True,True,False,True,True,True,0.555088460445404
HST F814W,F814W_075_7047687,150.41574941125717,2.4308590108461936,-1.5006834268569946,0.17306064069271088,64.3870620727539,075,True,False,True,False,True,True,True,True,True,True,0.5725507140159607
HST F814W,F814W_066_5936988,150.04091698409502,2.214847164728678,-0.27604180574417114,0.19227004051208496,63.10953903198242,066,True,False,True,False,True,True,True,True,True,True,0.665367066860199
HST F814W,F814W_066_5924370,150.01162122826148,2.2028558158301985,-0.6143247485160828,0.191921204328537,62.99503707885742,066,True,False,True,False,True,True,True,True,True,True,0.6107380986213684
HST F814W,F814W_042_2807958,149.93854669806595,1.891608032429084,-1.4982564449310303,0.1719132512807846,59.250518798828125,042,True,False,True,False,True,True,True,True,True,True,0.5897610783576965
HST F814W,F814W_075_7017331,150.42466563312698,2.3785315983802318,-1.4054709672927856,0.15805096924304962,58.80272674560547,075,True,False,True,False,True,True,True,True,True,True,0.6085426807403564
HST F814W,F814W_028_1022061,150.24411154993828,1.782182701048553,-0.9678499698638916,0.16945692896842957,58.57445526123047,028,True,False,True,False,True,True,False,True,True,True,0.567139208316803
HST F814W,F814W_056_4639341,149.66908267890443,1.9623091750238286,-0.07950033992528915,0.16132768988609314,55.792781829833984,056,True,False,True,False,True,True,True,True,True,True,0.6556978225708008
HST F814W,F814W_053_4292849,150.16175940871437,2.119902110725311,-0.5418680310249329,0.15808197855949402,54.80138397216797,053,True,False,True,False,True,True,True,True,True,True,0.5682242512702942
HST F814W,F814W_051_3711318,150.42523833110826,2.066045081205474,-1.3866961002349854,0.152545765042305,54.5202751159668,051,True,False,True,False,True,True,True,True,True,True,0.625819981098175
HST F814W,F814W_065_5669928,150.09846466277665,2.1989221033526536,-0.9815117120742798,0.19793155789375305,53.88457489013672,065,True,False,True,False,True,True,True,True,True,True,0.5960890054702759
HST F814W,F814W_042_2773074,149.95225275811111,1.8667867157200264,-0.3165348172187805,0.15394307672977448,53.05703353881836,042,True,False,True,False,True,True,False,True,True,True,0.6737290620803833
HST F814W,F814W_041_2515195,150.20286825613968,1.7939814326884538,-0.6279294490814209,0.14069116115570068,52.82834243774414,041,True,False,True,False,True,True,True,True,True,True,0.5780600309371948
HST F814W,F814W_076_7162709,150.33717356190215,2.4499783728062363,-1.1876643896102905,0.13614210486412048,51.76469039916992,076,True,False,True,False,True,True,False,True,True,True,0.5768730640411377
HST F814W,F814W_064_5503850,150.24943979146767,2.237148919170346,-0.9740489721298218,0.13180358707904816,48.289649963378906,064,True,False,True,False,True,True,False,True,True,True,0.5829002857208252
HST F814W,F814W_029_1173816,150.21060828444138,1.7619703856452347,-0.9184622764587402,0.16936618089675903,47.15180969238281,029,True,False,True,False,True,True,False,True,True,True,0.5646060109138489
HST F814W,F814W_051_3684212,150.41116029304777,2.0149223581543123,0.18065758049488068,0.13063988089561462,46.6910514831543,051,True,False,True,False,True,True,True,True,True,True,0.6335885524749756
HST F814W,F814W_077_7218658,150.11844216669002,2.3661067135696663,0.3807365596294403,0.11841380596160889,44.59751892089844,077,True,False,True,False,True,True,True,True,True,True,0.6370198726654053
HST F814W,F814W_090_8635260,150.04131706498111,2.496613828583177,-0.8403615951538086,0.11949960887432098,43.36320114135742,090,True,False,True,False,True,True,False,True,True,True,0.5849957466125488
HST F814W,F814W_079_7555778,149.8613127226802,2.439602781440135,0.12230370193719864,0.11833326518535614,43.08108901977539,079,True,False,True,False,True,True,True,True,True,True,0.6810894012451172
HST F814W,F814W_051_3856004,150.4000909753914,2.1165524830493507,-1.0795326232910156,0.11656921356916428,41.66215515136719,051,True,False,True,False,True,True,False,True,True,True,0.5663116574287415
HST F814W,F814W_063_5338948,150.44479102343334,2.2426418952511944,-0.6565456390380859,0.11047935485839844,41.295509338378906,063,True,False,True,False,True,True,True,True,True,True,0.6047530174255371
HST F814W,F814W_028_1021409,150.23068716311445,1.7806772539461009,0.2709721326828003,0.11828489601612091,40.88633728027344,028,True,False,True,False,True,True,False,True,True,True,0.6394217610359192
HST F814W,F814W_052_4057199,150.31220402133894,2.0799198042760323,-0.9356570243835449,0.11123482137918472,40.871456146240234,052,True,False,True,False,True,True,True,True,True,True,0.5791651010513306
HST F814W,F814W_055_4448950,149.81133758859815,1.9970854861207568,-0.36229151487350464,0.1115846037864685,40.64852523803711,055,True,False,True,False,True,True,True,True,True,True,0.6000569462776184
HST F814W,F814W_040_2392429,150.22722096359195,1.8139534838163007,-0.9474161863327026,0.10404833406209946,40.19521713256836,040,True,False,True,False,True,True,True,True,True,True,0.5761270523071289
HST F814W,F814W_075_7054738,150.40137950065747,2.4448405947790897,-0.9700326919555664,0.10752911120653152,40.0061149597168,075,True,False,True,False,True,True,True,True,True,True,0.6422567963600159
HST F814W,F814W_078_7455045,150.038432371184,2.437119745294259,-0.8308086395263672,0.11242173612117767,39.98552703857422,078,True,False,True,False,True,True,True,True,True,True,0.6209828853607178
HST F814W,F814W_090_8683133,149.98632726233674,2.5750181235233884,-0.9575729966163635,0.10723686218261719,38.91337966918945,090,True,False,True,False,True,True,True,True,True,True,0.5839530825614929
HST F814W,F814W_041_2535265,150.22502868900014,1.8050360949389268,-0.8961783647537231,0.10333488136529922,38.80137252807617,041,True,False,True,False,True,True,True,True,True,True,0.6922600269317627
HST F814W,F814W_067_6205028,149.8728116264095,2.261395556914423,-0.9543646574020386,0.10745622962713242,38.46794128417969,067,True,False,True,False,True,True,True,True,True,True,0.595438539981842
HST F814W,F814W_075_7052752,150.51949815675982,2.441200324908495,-0.8758226037025452,0.1030883938074112,38.353946685791016,075,True,False,True,False,True,True,True,True,True,True,0.5788124799728394
HST F814W,F814W_091_8724979,149.8829659019447,2.4686228361796023,-0.8975272178649902,0.10662804543972015,38.02764129638672,091,True,False,True,False,True,True,False,True,True,True,0.5950420498847961
HST F814W,F814W_054_4413681,149.94225383309558,2.097471176197185,-0.48876380920410156,0.10142384469509125,37.885231018066406,054,True,False,True,False,True,True,True,True,True,True,0.566506028175354
HST F814W,F814W_066_5832504,150.00215944914245,2.160953267854759,-0.8413997292518616,0.11505633592605591,37.765384674072266,066,True,False,True,False,True,True,True,True,True,True,0.6051618456840515
HST F814W,F814W_064_5574076,150.37358876582752,2.2570714245644745,0.3580194115638733,0.10283198207616806,37.67515563964844,064,True,False,True,False,True,True,False,True,True,True,0.6993162631988525
HST F814W,F814W_076_7074786,150.33190006937446,2.310399634623742,-0.8619167804718018,0.09790018200874329,37.22414016723633,076,True,False,True,False,True,True,False,True,True,True,0.5684312582015991
HST F814W,F814W_089_8482770,150.20662768328685,2.546444961124886,0.4242009222507477,0.10508192330598831,36.08210754394531,089,True,False,True,False,True,True,False,True,True,True,0.6618708968162537
HST F814W,F814W_088_8241240,150.2999063044001,2.486907466957132,-0.8936866521835327,0.10066264867782593,35.889015197753906,088,True,False,True,False,True,True,True,True,True,True,0.6042969226837158
HST F814W,F814W_075_7047742,150.41516036626916,2.4309701079220325,-0.84266197681427,0.09589970856904984,35.679405212402344,075,True,False,True,False,True,True,True,True,True,True,0.6185957193374634
HST F814W,F814W_063_5327654,150.46814488865655,2.2225135602100954,0.03392734006047249,0.09376747906208038,35.04886245727539,063,True,False,True,False,True,True,True,True,True,True,0.5517152547836304
HST F814W,F814W_041_2547972,150.17602914351957,1.8156604615153475,-0.3874013125896454,0.09288603812456131,34.87792205810547,041,True,False,True,False,True,True,True,True,True,True,0.6078627109527588
HST F814W,F814W_076_7086087,150.23391431770284,2.327208274821013,-0.09910396486520767,0.09056068956851959,34.43347930908203,076,True,False,True,False,True,True,True,True,True,True,0.6352208256721497
HST F814W,F814W_041_2549372,150.07687024241602,1.8176947888961905,0.0917307659983635,0.0916571095585823,34.41646957397461,041,True,False,True,False,True,True,True,True,True,True,0.5952090620994568
HST F814W,F814W_040_2466244,150.3074781721191,1.9125216798103781,-0.7302209138870239,0.08816636353731155,34.05980682373047,040,True,False,True,False,True,True,False,True,True,True,0.6712884306907654
HST F814W,F814W_090_8677613,150.0503827087249,2.5651623470020066,0.515163004398346,0.09311682730913162,33.78960037231445,090,True,False,True,False,True,True,False,True,True,True,0.5594230890274048
HST F814W,F814W_041_2634747,150.21028887435924,1.9552772586762979,0.6674969792366028,0.08975812047719955,33.70341491699219,041,True,False,True,False,True,True,False,True,True,True,0.6487053632736206
HST F814W,F814W_063_5291671,150.44135360813078,2.161217654535868,-0.685786247253418,0.08844082802534103,33.05784225463867,063,True,False,True,False,True,True,True,True,True,True,0.5994226336479187
