targetid,status,dataset,spectype,survey,path
39089837550102288,not_in_dr1_or_edr,,GALAXY,special,
39089837550099872,not_in_dr1_or_edr,,GALAXY,special,
39089837550099864,not_in_dr1_or_edr,,STAR,special,
39089837420061736,not_in_dr1_or_edr,,QSO,special,
39089837545914656,not_in_dr1_or_edr,,STAR,special,
39089837394921664,not_in_dr1_or_edr,,STAR,special,
39627835555451272,saved,DESI-DR1,STAR,main,/Volumes/exdisk1/data/DESI/cosmos_star/DESI-39627835555451272.fits
39089837545914632,not_in_dr1_or_edr,,STAR,special,
39089837550081320,not_in_dr1_or_edr,,STAR,special,
39089837545914624,not_in_dr1_or_edr,,STAR,special,
39627835555451864,saved,DESI-DR1,GALAXY,sv1,/Volumes/exdisk1/data/DESI/cosmos_galaxy/DESI-39627835555451864.fits
39089837550101872,not_in_dr1_or_edr,,GALAXY,special,
39089837545914664,not_in_dr1_or_edr,,STAR,special,
39627841599438976,not_in_dr1_or_edr,,QSO,sv3,
39089837394899560,saved,DESI-DR1,GALAXY,special,/Volumes/exdisk1/data/DESI/cosmos_galaxy/DESI-39089837394899560.fits
39089837550091784,not_in_dr1_or_edr,,STAR,special,
39089837550089128,not_in_dr1_or_edr,,GALAXY,special,
234538995286018,saved,DESI-DR1,STAR,sv1,/Volumes/exdisk1/data/DESI/cosmos_star/DESI-234538995286018.fits
39089837545917096,not_in_dr1_or_edr,,STAR,special,
39089837420058224,not_in_dr1_or_edr,,QSO,special,
39627841599439424,not_in_dr1_or_edr,,QSO,main,
39089837550104608,not_in_dr1_or_edr,,STAR,special,
39089837550096912,not_in_dr1_or_edr,,GALAXY,special,
39089837424252760,not_in_dr1_or_edr,,STAR,special,
39089837550096904,not_in_dr1_or_edr,,STAR,special,
39089837394906392,not_in_dr1_or_edr,,GALAXY,special,
39089837550076776,not_in_dr1_or_edr,,GALAXY,special,
39089837550076768,not_in_dr1_or_edr,,GALAXY,special,
39089837550100792,not_in_dr1_or_edr,,QSO,special,
39089837545916896,not_in_dr1_or_edr,,STAR,special,
39089837550100784,not_in_dr1_or_edr,,GALAXY,special,
-833001030,not_in_dr1_or_edr,,GALAXY,special,
39089837394906408,not_in_dr1_or_edr,,STAR,special,
