found_in,star_id,ra,dec,mag,peak,snr,tile,missing_jwst,missing_hst,in_jwst_fp,in_hst_fp,missing_euclid,in_euclid_fp,in_jwst_pix,in_hst_pix,real_orphan
Euclid VIS,VIS_101544257_1211744,150.20952532448902,2.264577849625562,-8.613310813903809,565.6730346679688,453555.21875,101544257,True,True,True,True,False,False,True,True,True
Euclid VIS,VIS_101539939_0349861,150.4647432854024,1.525561270650063,-8.924181938171387,627.3153076171875,395954.65625,101539939,False,True,False,True,False,False,False,True,True
Euclid VIS,VIS_101541375_0484427,149.41857902291267,1.8725928596130788,-8.750205039978027,500.667236328125,390205.59375,101541375,False,True,False,True,False,False,False,True,True
Euclid VIS,VIS_101539937_0238299,150.16613437237746,1.5608156235490727,-9.181644439697266,607.9632568359375,384355.375,101539937,False,True,False,True,False,False,False,True,True
Euclid VIS,VIS_101539938_0281129,150.32361898374913,1.5788301179920616,-8.647786140441895,467.5721740722656,381397.625,101539938,False,True,False,True,False,False,False,True,True
Euclid VIS,VIS_101548573_2229336,149.68788189553774,2.9144624982175467,-8.768238067626953,554.1041259765625,381046.59375,101548573,False,True,False,True,False,False,False,True,True
Euclid VIS,VIS_101539938_0264063,150.37042008693146,1.4714076037840498,-8.565261840820312,452.6835021972656,369252.96875,101539938,False,True,False,True,False,False,False,True,True
Euclid VIS,VIS_101539938_0289734,150.1686030294005,1.6311927326597155,-8.356416702270508,443.6123352050781,361853.625,101539938,False,True,False,True,False,False,False,True,True
Euclid VIS,VIS_101541376_0487728,149.89193408068684,1.6098629620669984,-8.398616790771484,412.95111083984375,359094.5,101541376,False,True,False,True,False,False,False,True,True
Euclid VIS,VIS_101544258_1262785,150.20952336722385,2.264577920732894,-8.593932151794434,496.2463684082031,356995.875,101544258,False,True,True,True,False,False,True,True,True
Euclid VIS,VIS_101539939_0356461,150.6765882388368,1.5846023635310047,-8.930692672729492,563.0848388671875,355413.0625,101539939,False,True,False,True,False,False,False,True,True
Euclid VIS,VIS_101539939_0350358,150.53552617011542,1.5303362872921948,-8.92066478729248,562.1324462890625,354811.9375,101539939,False,True,False,True,False,False,False,True,True
Euclid VIS,VIS_101539938_0279693,150.27402246882448,1.570058430940177,-8.464700698852539,432.97088623046875,353173.40625,101539938,False,True,False,True,False,False,False,True,True
Euclid VIS,VIS_101539936_0186231,149.64441302162368,1.5808885513980127,-8.959115982055664,574.4356689453125,347810.625,101539936,False,True,False,True,False,False,False,True,True
Euclid VIS,VIS_101539939_0352963,150.53375732941277,1.5531906982282486,-9.762453079223633,534.5365600585938,337393.6875,101539939,False,True,False,True,False,False,False,True,True
