found_in,star_id,ra,dec,mag,peak,snr,tile,missing_jwst,missing_hst,in_jwst_fp,in_hst_fp,missing_euclid,in_euclid_fp,in_jwst_pix,in_hst_pix,real_orphan,gaia_bright_veto
JWST F115W,F115W_A10_0086073,150.31652173673515,1.7854318259845947,-9.792168617248535,1954.8475341796875,66094.1953125,A10,False,True,False,True,True,True,True,True,True,False
Euclid VIS,VIS_101544256_1152665,149.95956822445797,2.2682163212419852,-6.3301920890808105,73.40115356445312,64715.76953125,101544256,False,True,True,True,False,False,True,True,True,False
Euclid VIS,VIS_101544257_1202552,149.980458912187,2.2014759685980536,-6.527536392211914,79.77437591552734,63962.89453125,101544257,False,True,True,True,False,False,True,True,True,False
JWST F115W,F115W_A4_0309926,150.23830917809062,2.054317082410427,-9.866920471191406,1866.909912109375,63232.328125,A4,False,True,False,True,False,True,True,True,True,False
JWST F115W,F115W_A3_0241961,150.0488541124045,2.149885878589827,-9.85225772857666,1784.6094970703125,61464.38671875,A3,False,True,False,True,False,True,False,True,True,False
Euclid VIS,VIS_101544257_1224465,150.21253499884457,2.350951681181612,-6.579858779907227,74.48257446289062,59719.94140625,101544257,True,True,True,True,False,False,False,True,True,False
JWST F115W,F115W_B8_1105814,150.11511383866025,2.21008999440765,-9.648845672607422,1715.357177734375,59420.1015625,B8,False,True,False,True,False,True,True,True,True,False
JWST F115W,F115W_B2_0762783,150.02668111551029,2.490394430542347,-9.586694717407227,1743.0562744140625,58436.40625,B2,False,True,False,True,True,True,False,True,True,False
Euclid VIS,VIS_101539939_0361903,150.48560129090052,1.6361974388073621,-6.666551113128662,89.29786682128906,56363.84765625,101539939,False,True,False,True,False,False,False,True,True,False
JWST F115W,F115W_B6_0990687,149.81979176549882,2.359209059107407,-9.832810401916504,1669.37158203125,56040.765625,B6,False,True,False,True,False,True,True,True,True,False
JWST F115W,F115W_B9_1208749,150.33983856463487,2.271953961375768,-9.955413818359375,1615.248779296875,55287.7890625,B9,False,True,False,True,False,True,False,True,True,False
JWST F115W,F115W_A2_0145089,149.89583873235546,2.1552211756641118,-9.593910217285156,1618.4263916015625,54818.83203125,A2,False,True,False,True,False,True,False,True,True,False
JWST F115W,F115W_B9_1167148,150.33450432400926,2.125732062826133,-9.559229850769043,1597.3182373046875,54674.05078125,B9,False,True,False,True,False,True,True,True,True,False
JWST F115W,F115W_B7_1047840,149.94618604910863,2.2889677933801984,-9.685985565185547,1599.90185546875,54322.17578125,B7,False,True,False,True,False,True,False,True,True,False
JWST F115W,F115W_B8_1122453,150.16932686413315,2.2635382345135726,-9.39085865020752,1557.8968505859375,53965.6640625,B8,False,True,False,True,False,True,True,True,True,False
Euclid VIS,VIS_101544256_1130399,149.715270066562,2.1237161763967847,-6.242084503173828,61.118988037109375,53886.921875,101544256,True,True,True,True,False,False,False,True,True,False
JWST F115W,F115W_B5_0935838,150.4150542996747,2.3084016434189074,-9.690739631652832,1618.369140625,52705.81640625,B5,False,True,False,True,False,True,True,True,True,False
JWST F115W,F115W_A9_0610085,150.20974158164393,1.8727701039592335,-9.453422546386719,1542.359375,52214.78515625,A9,False,True,False,True,False,True,True,True,True,False
Euclid VIS,VIS_101541375_0475828,149.56642524241408,1.8126401160217656,-6.310131549835205,66.55972290039062,51874.7265625,101541375,False,True,False,True,False,False,False,True,True,False
JWST F115W,F115W_A6_0444061,149.83739166975658,2.0861653666804867,-9.516557693481445,1524.9591064453125,51700.60546875,A6,False,True,False,True,False,True,False,True,True,False
JWST F115W,F115W_A3_0267940,150.08307310140762,2.1752173438025717,-9.542594909667969,1486.3060302734375,51190.40625,A3,False,True,False,True,False,True,True,True,True,False
JWST F115W,F115W_B2_0796913,150.05380005344838,2.6220012590243065,-9.478036880493164,1524.6561279296875,51114.484375,B2,False,True,False,True,False,True,True,True,True,False
