found_in,star_id,ra,dec,mag,peak,snr,tile,missing_jwst,missing_hst,in_jwst_fp,in_hst_fp,missing_euclid,in_euclid_fp,in_jwst_pix,in_hst_pix,real_orphan,veto_gaia,veto_peak,veto_local,veto_any,sharpness
JWST F115W,F115W_A1_0012722,149.821637804582,2.130313181641812,-6.890421390533447,118.25542449951172,4191.67041015625,A1,False,True,False,True,False,True,True,True,True,False,False,False,False,0.8129545450210571
Euclid VIS,VIS_101544257_1228116,149.97531675430562,2.3744735849370913,-3.6500051021575928,5.18149995803833,4154.513671875,101544257,False,True,True,True,False,False,True,True,True,False,False,False,False,0.7320932149887085
JWST F115W,F115W_A7_0510407,149.91983303617675,2.0693628271518927,-7.414768218994141,118.1280746459961,3993.22412109375,A7,False,True,False,True,False,True,True,True,True,False,False,False,False,0.710820198059082
Euclid VIS,VIS_101544257_1202515,150.1451052709972,2.2012718468454926,-3.4956674575805664,4.976553916931152,3990.1884765625,101544257,False,True,True,True,False,False,True,True,True,False,False,False,False,0.7875789403915405
JWST F115W,F115W_B3_0856085,150.21188946663725,2.53913668189474,-7.199034690856934,117.66179656982422,3984.24951171875,B3,False,True,False,True,False,True,True,True,True,False,False,False,False,0.6444368958473206
JWST F115W,F115W_A9_0607869,150.14374523222992,1.890432252146011,-7.187742233276367,116.68069458007812,3950.089599609375,A9,False,True,False,True,False,True,False,True,True,False,False,False,False,0.7119943499565125
JWST F115W,F115W_A9_0608272,150.14665906470677,1.8914878877524384,-7.103024005889893,116.49419403076172,3943.77587890625,A9,False,True,False,True,False,True,False,True,True,False,False,False,False,0.7014468312263489
JWST F115W,F115W_A4_0322712,150.3098188258125,2.0749088995438543,-7.6930623054504395,116.20108795166016,3935.736328125,A4,False,True,False,True,False,True,True,True,True,False,False,False,False,0.4625808596611023
JWST F115W,F115W_B9_1181932,150.31172892206143,2.1861523775905973,-7.219972610473633,114.91883087158203,3933.516845703125,B9,False,True,False,True,False,True,False,True,True,False,False,False,False,0.6258269548416138
Euclid VIS,VIS_101541376_0529742,149.8090770910928,1.885121368579652,-3.5676515102386475,4.507286548614502,3919.451416015625,101541376,False,True,False,True,False,False,False,True,True,False,False,False,False,0.711682915687561
JWST F115W,F115W_A8_0532751,149.95806680643483,1.9042853514721707,-7.146058082580566,116.56896209716797,3916.751953125,A8,False,True,False,True,False,True,False,True,True,False,False,False,False,0.6452264189720154
JWST F115W,F115W_A1_0013617,149.73913014858877,2.169579047890618,-7.117936134338379,110.0055923461914,3899.247802734375,A1,False,True,False,True,False,True,True,True,True,False,False,False,False,0.6962572932243347
Euclid VIS,VIS_101544256_1151871,149.71543215030798,2.2637044651738325,-3.4107666015625,4.41793966293335,3895.17529296875,101544256,False,True,False,True,False,False,False,True,True,False,False,False,False,0.778433620929718
JWST F115W,F115W_B9_1195382,150.32240035080568,2.232049694245228,-7.030994892120361,113.78105163574219,3894.572021484375,B9,False,True,False,True,False,True,True,True,True,False,False,False,False,0.7151996493339539
