id,T_bb,dm,chi2,dof,chi2_red,mag_obs_cfht-u,magerr_cfht-u,mag_pred_cfht-u,delta_cfht-u,mag_obs_hsc-g,magerr_hsc-g,mag_pred_hsc-g,delta_hsc-g,mag_obs_hsc-r,magerr_hsc-r,mag_pred_hsc-r,delta_hsc-r,mag_obs_hst-f814w,magerr_hst-f814w,mag_pred_hst-f814w,mag_obs_hsc-i,magerr_hsc-i,mag_pred_hsc-i,delta_hsc-i,mag_obs_hsc-z,magerr_hsc-z,mag_pred_hsc-z,delta_hsc-z,mag_obs_hsc-y,magerr_hsc-y,mag_pred_hsc-y,delta_hsc-y,mag_obs_uvista-y,magerr_uvista-y,mag_pred_uvista-y,delta_uvista-y,mag_obs_f115w,magerr_f115w,mag_pred_f115w,mag_obs_uvista-j,magerr_uvista-j,mag_pred_uvista-j,delta_uvista-j,mag_obs_f150w,magerr_f150w,mag_pred_f150w,mag_obs_uvista-h,magerr_uvista-h,mag_pred_uvista-h,delta_uvista-h,mag_obs_uvista-ks,magerr_uvista-ks,mag_pred_uvista-ks,delta_uvista-ks,mag_obs_f277w,magerr_f277w,mag_pred_f277w,mag_obs_irac-ch1,magerr_irac-ch1,mag_pred_irac-ch1,delta_irac-ch1,mag_obs_f444w,magerr_f444w,mag_pred_f444w,mag_obs_irac-ch2,magerr_irac-ch2,mag_pred_irac-ch2,delta_irac-ch2,mag_obs_irac-ch3,magerr_irac-ch3,mag_pred_irac-ch3,delta_irac-ch3,mag_obs_f770w,magerr_f770w,mag_pred_f770w,delta_f770w,mag_obs_irac-ch4,magerr_irac-ch4,mag_pred_irac-ch4,delta_irac-ch4
101,3604.0719786515574,128.8195819872008,48.178497926414025,3,16.059499308804675,,,28.674091957399057,,27.210210156858352,0.14969355707973422,26.770571079203066,0.4396390776552863,25.764350308764733,0.04839832370885,25.63180149017471,0.1325488185900241,24.953923345295895,0.011044395835451776,24.903661154826253,24.978811341679275,0.02440751292793001,24.998807557509537,-0.01999621583026112,24.66051634471062,0.02735103324486823,24.719592088998354,-0.05907574428773543,24.47037259121916,0.05519287458106776,24.58512769004436,-0.1147550988251993,24.418509447149123,0.10307671737952849,24.534585886597966,-0.11607643944884316,24.45128638383613,0.014349507884002638,24.435302767415948,24.298720130550073,0.060923195724806326,24.393425307396612,-0.09470517684653856,24.19458414437615,0.010432661350651415,24.381075469276325,24.292601041677095,0.06833324466361808,24.40255025048937,-0.10994920881227443,24.52319079482799,0.10146887954399203,24.57148760864459,-0.04829681381659867,24.938047949182373,0.014029282636911467,24.83606899941995,,,25.168259999990397,,25.55248822414864,0.031696092757177455,25.498689565084504,,,25.53089340200202,,,,25.938439195567753,,,,26.460458818106645,,,,26.5213119427263,
211,2922.1305906436783,127.99751924126814,499.3049150549184,3,166.4349716849728,25.758545675285323,0.05526887086433465,30.536707449895374,-4.7781617746100515,25.14003410719714,0.025231851484914802,27.967467744323315,-2.827433637126177,24.999907330842273,0.027191537410383347,26.401876683059996,-1.4019693522177228,25.031871493098343,0.011813612600053121,25.319229277891154,25.007711419472685,0.028850422516513857,25.475746944835194,-0.4680355253625095,25.061489428354875,0.04605847204297218,25.039094870180193,0.022394558174681833,25.019142538316153,0.10737980131920591,24.8072134867096,0.2119290516065533,24.984272099711546,0.1891976894833957,24.714927830798402,0.26934426891314445,24.996135324445948,0.031498001312666765,24.503636010932198,24.74593335913943,0.10321948263746618,24.401895459904082,0.3440378992353459,24.673247531950757,0.024252525517813293,24.26879176272429,24.431944106777863,0.08736028815695576,24.240092519044907,0.1918515877329554,24.484036293846838,0.11181174969280146,24.28814763118369,0.19588866266314753,24.597832664413197,0.0212108948511452,24.473030343210255,24.739279986358945,0.28195187699017754,24.746038040746285,-0.006758054387340451,24.55006192215989,0.022467332308312184,25.039063033202552,24.748334653704394,0.2946214988831915,25.067959048457354,-0.31962439475296023,,,25.444447484531494,,25.16313351038147,0.1270696454184399,25.939367938561986,-0.7762344281805156,,,25.998211633992085,
524,3489.627090330843,126.89468525817504,29.198576029645487,3,9.732858676548496,,,27.12732086859603,,25.68578441863332,0.04548788067929757,25.130667729162752,0.5551166894705695,24.408691114150272,0.01698908298972596,23.93145713603687,0.4772339781134036,23.197323831387145,0.004035678459784915,23.153701250554803,23.25027342369039,0.006260248100274527,23.25714826301025,-0.00687483931985966,22.774318840036557,0.006145399876260762,22.955739737697854,-0.18142089766129743,22.590834031556195,0.012119216759023648,22.80775704922398,-0.216923017667785,22.51355479010364,0.01649711108564929,22.751415180544583,-0.2378603904409431,22.518957601317556,0.0032922010202828503,22.636777590102298,22.36135615095423,0.009960452184821925,22.586520195095986,-0.2251640441417564,22.623440837440178,0.0037163901891958374,22.557598145211088,22.345654256035537,0.011188373681843503,22.572146083824222,-0.22649182778868493,22.581712410047107,0.017225834111906337,22.724498775187612,-0.14278636514050547,23.039291010007524,0.004317068503032742,22.978178581764183,23.384350907796083,0.08922658826831051,23.302241400623558,0.0821095071725253,23.573480611567522,0.007142432309955944,23.627529236752395,23.667188036870296,0.10265451203697117,23.65927615296299,0.007911883907308237,,,24.06253961192364,,,,24.580810848295116,,,,24.641386779418028,
554,4235.119185007037,129.90009711915954,50.979065891256674,3,16.993021963752224,,,28.032842182868833,,26.82759153636602,0.10500244687691783,26.55033215506934,0.2772593812966768,25.815732279969602,0.05160432187947778,25.687930339531917,0.1278019404376849,25.203212610869773,0.014980441363662047,25.1837187250637,25.28229856336862,0.032818850575551124,25.24260174416328,0.039696819205339295,25.11726345195852,0.04251389491394957,25.06405749385317,0.05320595810535167,24.99511856513074,0.09316064143960776,24.990025290712126,0.0050932744186127366,24.953716602231275,0.1649971665964014,24.965433644586184,-0.011717042354909779,25.023435897450998,0.018375063558960927,24.93402564898753,24.83749008833056,0.09836168940146676,24.92988624691023,-0.09239615857966754,24.805583670323877,0.01057325671828099,24.990898220980355,24.88103935621833,0.11471406461268328,25.04320580677674,-0.16216645055840928,25.174494501836364,0.1812446927049551,25.285614400087937,-0.11111989825157309,25.693935537673248,0.02541597611202056,25.59841601243464,,,25.966715041797315,,26.456510069750518,0.05825498736850249,26.32001898114227,,,26.354264575235447,,,,26.780921771054523,,,,27.319722160638435,,,,27.381813516123458,
571,2852.257912655564,127.18380555726942,474.59964765477,3,158.19988255159,,,30.06959739367032,,,,27.413704668150473,,,,25.7934001466417,,25.555736244545916,0.04666979621131343,24.66468339364802,,,24.82952235096802,,,,24.3726252476619,,,,24.12796206652986,,,,24.030210175494517,,23.46000169066143,0.005739313767490241,23.803994440970627,,,23.694493602494205,,23.343342702994686,0.005437750063788945,23.54532287898273,,,23.50999831750589,,,,23.54195314768579,,23.891763834848078,0.007764214140808844,23.71617066259978,,,23.981295340246078,,24.39094600933552,0.013033482631438548,24.269341309493527,,,24.29779975421981,,,,24.67016899173734,,,,25.161509044953647,,,,25.220086258601143,
650,3844.344760655638,127.95521981171186,402.98138479467593,3,134.32712826489197,27.105178641057663,0.16793128991923414,27.088301549730886,0.016877091326776394,24.87058343776458,0.01788391306384443,25.361825968584682,-0.4912425308201023,23.93577588099153,0.009467940970267118,24.33864491984889,-0.40286903885735725,23.573129075966182,0.0032958618799790685,23.704773853820257,23.526446712079352,0.006863951032498385,23.784413458107736,-0.25796674602838365,23.34843689575398,0.008755397862051524,23.547484506602984,-0.19904761084900358,23.179319497871624,0.01793811128659889,23.438581907336072,-0.2592624094644478,23.12810380601248,0.03002530555915939,23.399012591501332,-0.270908785488853,23.856472658386327,0.01444179728547721,23.328592666110026,23.071999341182277,0.019264548919768518,23.30262275171644,-0.23062341053416446,22.98021693141641,0.0042541154136703984,23.32144606388806,22.976371726317495,0.019941532650922997,23.35598788805092,-0.3796161617334235,23.307856456268237,0.033099289665558876,23.556129262564212,-0.2482728062959758,23.81534956186691,0.006991844933907787,23.841202214211236,24.413976271030855,0.1979852119491043,24.188704963937568,0.22527130709328702,24.60403849997994,0.01477241254637992,24.52882705827838,25.014543548252412,0.3476988873336002,24.561894223592375,0.4526493246600367,,,24.977525537233603,,25.919664408451343,0.24066776213038107,25.50663389889928,0.4130305095520619,,,25.56801061929812,
786,3245.2378926204156,125.54009170978745,141.6870278149141,3,47.229009271638034,23.68514312205788,0.011074824335181671,26.668336137402633,-2.983193015344753,22.17574165248599,0.003055105336770765,24.450233962226463,-2.2744923097404737,21.518084337552423,0.0026040978564583115,23.10828608123512,-1.590201743682698,22.41399046787506,0.009303675632944444,22.21254824782534,21.21107267082451,0.0023129597275437087,22.336114321168594,-1.1250416503440839,21.06306061548181,0.002755589145263428,21.982127263606728,-0.9190666481249181,20.952855592883047,0.004562893830617693,21.801836384286048,-0.848980791403001,20.999318720901947,0.005173346329602905,21.73164130303958,-0.732322582137634,21.390047183636092,0.0023287176864252705,21.580057431603095,20.97062569971714,0.004019916033722211,21.50986564496081,-0.539239945243672,21.256720511613327,0.001516253322273139,21.441093676000577,20.967905361824794,0.004548487603161612,21.439039559566396,-0.4711341977416019,21.26735066285534,0.007479747783153559,21.55151192217761,-0.2841612593222713,21.83805959819648,0.0034237644151465054,21.778939440812024,22.279254658038823,0.03987587035984647,22.083474381103343,0.19578027693547995,22.52848914997463,0.0031330060031772937,22.39641684911024,22.65456684450743,0.04421546718544066,22.42706962581113,0.2274972186962998,,,22.820069194350623,,,,23.329372347151903,,,,23.38928413324726,
989,3633.2649140076715,128.51769584960996,30.632981907992704,3,10.210993969330902,,,28.27952118410029,,26.38987638865801,0.08796653047930016,26.398794024686595,-0.008917636028584752,25.04243841513612,0.03230639322379795,25.274854963374707,-0.23241654823858582,24.584154663888935,0.011788419397470447,24.558855936567937,24.383922832188144,0.01867382287931151,24.651985676695773,-0.26806284450762874,24.11703339417103,0.023009895864249678,24.378207894658956,-0.26117450048792534,23.970060667887996,0.04499494376162903,24.24704492827378,-0.2769842603857846,23.980707525628514,0.06535868474877743,24.197919911735454,-0.21721238610694016,24.152386256388027,0.010322326563075176,24.102377200201474,23.858056076661015,0.040133474615336034,24.062549738375623,-0.2044936617146078,23.907632838924904,0.004851041288818576,24.054238049489086,23.862895735063972,0.04588113507018067,24.077402754320545,-0.21450701925657256,24.025475906538542,0.06552448494996994,24.250381561806392,-0.22490565526785034,24.5766145506519,0.007403371550757538,24.517618313324093,24.595247769264585,0.2890253905566645,24.85179094797371,-0.25654317870912635,25.21027633687965,0.01640937954594409,25.183474397013086,,,25.215789771284733,,,,25.624380581310675,,,,26.147315543030885,,,,26.20823632231769,
1004,3271.524276625966,129.21418826618543,286.04596767177037,3,95.34865589059012,,,30.239758718655978,,,,28.04710296809297,,27.080315895641224,0.17105664079326466,26.721488114375717,0.3588277812655072,26.567032322384897,0.05348848114523684,25.839305572795325,25.7841072773013,0.05192979029858957,25.960533043626754,-0.1764257663254547,25.34191720692356,0.05314248605789727,25.612572142948295,-0.27065493602473367,25.152715549288686,0.10744079708775922,25.43600421371488,-0.2832886644261947,25.184277164394366,0.19951661540622498,25.367404792339798,-0.18312762794543147,24.897672981201097,0.012117261736831099,25.220096100662857,24.884885462317627,0.1006763278535758,25.15219459955243,-0.267309137234804,25.00917712241431,0.011567041939166566,25.08803203446695,24.909800327020946,0.11589097508085817,25.08789440279503,-0.17809407577408365,25.43859631319861,0.228368874648541,25.2049801401528,0.23361617304581017,25.664378209789202,0.021542138520188173,25.435447575643963,,,25.742240652711544,,26.121698378725867,0.04399358232463564,26.056610244590686,,,26.08738929479425,,,,26.481574125259144,,,,26.991911784214807,,,,27.05190025250505,
1028,3461.588271121098,129.5671867317433,97.84286351908506,3,32.61428783969502,,,29.89622958797827,,,,27.875795931295556,,27.079129614189046,0.172810679580627,26.66119179217972,0.41793782200932483,25.924903486342377,0.03279744373004654,25.87076579120982,25.976887710916223,0.06475204652812314,25.976347770246093,0.0005399406701300791,25.559152552370055,0.06869688916470576,25.66927936184024,-0.11012680947018438,25.428072502132753,0.14538420191048051,25.51783780722488,-0.08976530509212566,25.406622928480182,0.2363871277552826,25.46001222756739,-0.053389299087207576,25.481399112810184,0.020915961440594395,25.341435990599948,25.211496805693137,0.13181886087077704,25.28903812725963,-0.07754132156649263,24.993349301060665,0.011639605037298844,25.25586617022384,25.179118477941387,0.14579817889926794,25.26863990388614,-0.08952142594475276,25.627231815320872,0.2685786201165233,25.416739643659795,0.2104921716610768,25.804490094308232,0.01998127752752197,25.667622494324462,24.744455333034725,0.3486504199839127,25.989601782296603,-1.2451464492618776,26.359500378797826,0.04413099427651698,26.31357195296121,,,26.345201891323654,,,,26.74736865584333,,,,27.26468058901716,,,,27.325185542389377,
