found_in,star_id,ra,dec,mag,peak,snr,tile,missing_jwst,missing_hst,in_jwst_fp,in_hst_fp,missing_euclid,in_euclid_fp,in_jwst_pix,in_hst_pix,real_orphan,in_common_v5,sharpness
JWST F115W,F115W_B3_0856085,150.21188946663725,2.53913668189474,-7.199034690856934,117.66179656982422,3984.24951171875,B3,False,True,False,True,False,True,True,True,True,True,0.6444368958473206
JWST F115W,F115W_B9_1181932,150.31172892206143,2.1861523775905973,-7.219972610473633,114.91883087158203,3933.516845703125,B9,False,True,False,True,False,True,False,True,True,True,0.6258269548416138
JWST F115W,F115W_A8_0532751,149.95806680643483,1.9042853514721707,-7.146058082580566,116.56896209716797,3916.751953125,A8,False,True,False,True,False,True,False,True,True,True,0.6452264189720154
JWST F115W,F115W_A1_0013617,149.73913014858877,2.169579047890618,-7.117936134338379,110.0055923461914,3899.247802734375,A1,False,True,False,True,False,True,True,True,True,True,0.6962572932243347
JWST F115W,F115W_A5_0379293,150.35035484338385,2.07493433101023,-7.209312915802002,117.0175552368164,3881.998291015625,A5,False,True,False,True,False,True,True,True,True,True,0.6825565099716187
JWST F115W,F115W_A9_0601223,150.16281896569217,1.8692641049563998,-7.206878662109375,110.63949584960938,3745.57177734375,A9,False,True,False,True,False,True,True,True,True,True,0.6112326383590698
JWST F115W,F115W_B10_0738575,150.48168793124051,2.2731739364497487,-6.933022499084473,110.65532684326172,3640.108154296875,B10,False,True,False,True,False,True,True,True,True,True,0.6987352967262268
JWST F115W,F115W_A10_0084108,150.2182550308,1.8156492335650898,-7.808856010437012,106.16120147705078,3589.353515625,A10,False,True,False,True,True,True,True,True,True,True,0.6891679167747498
JWST F115W,F115W_B9_1171222,150.33535560672095,2.1356443344739704,-7.119875431060791,103.0811996459961,3528.33056640625,B9,False,True,False,True,False,True,True,True,True,True,0.6994829773902893
JWST F115W,F115W_A9_0617129,150.13443990680935,1.9336437732261431,-7.265411376953125,101.18274688720703,3425.424560546875,A9,False,True,False,True,False,True,False,True,True,True,0.6849926710128784
JWST F115W,F115W_B2_0802451,150.06911139574873,2.633007091263011,-7.0307135581970215,99.2935562133789,3328.841796875,B2,False,True,False,True,False,True,False,True,True,True,0.6698211431503296
JWST F115W,F115W_A8_0544521,150.0177486158269,1.9297882739114043,-7.132205963134766,97.46509552001953,3274.856201171875,A8,False,True,False,True,False,True,True,True,True,True,0.6678169965744019
JWST F115W,F115W_B9_1202449,150.3472299028819,2.2380579144948,-7.027520656585693,94.83646392822266,3246.12451171875,B9,False,True,False,True,False,True,False,True,True,True,0.6647419929504395
JWST F115W,F115W_A9_0634972,150.26795287726344,1.9496503256140092,-6.972907066345215,93.95620727539062,3180.7783203125,A9,False,True,False,True,False,True,True,True,True,True,0.6896170377731323
JWST F115W,F115W_A10_0112078,150.26511778470544,1.9135378305035684,-6.847228527069092,91.76695251464844,3102.67822265625,A10,False,True,False,True,False,True,False,True,True,True,0.6981632709503174
JWST F115W,F115W_B5_0946559,150.45618058653767,2.3513247513582414,-6.812623023986816,95.1368179321289,3098.343505859375,B5,False,True,False,True,False,True,False,True,True,True,0.6925803422927856
JWST F115W,F115W_A9_0629273,150.13818980758342,1.9839558138118263,-6.898881912231445,90.59687805175781,3067.05224609375,A9,False,True,False,True,True,True,False,True,True,True,0.6633760929107666
JWST F115W,F115W_B10_0712436,150.4506894091713,2.166544453632264,-6.873560428619385,91.98957824707031,3026.081298828125,B10,False,True,False,True,False,True,True,True,True,True,0.6865239143371582
JWST F115W,F115W_A1_0006753,149.81472715218842,2.119215450730143,-6.88741397857666,85.343994140625,3025.09521484375,A1,False,True,False,True,False,True,True,True,True,True,0.6686230301856995
JWST F115W,F115W_A9_0588059,150.14904649950327,1.811082206802282,-6.868040561676025,89.1171646118164,3016.958251953125,A9,False,True,False,True,True,True,True,True,True,True,0.6694265007972717
JWST F115W,F115W_A9_0607764,150.17056402936262,1.8804439246251763,-6.890265941619873,88.5942153930664,2999.25439453125,A9,False,True,False,True,False,True,True,True,True,True,0.6515674591064453
JWST F115W,F115W_A1_0070853,149.8348250671634,2.317877643533164,-7.465973377227783,82.10405731201172,2910.252685546875,A1,False,True,False,True,False,True,True,True,True,True,0.6637880206108093
JWST F115W,F115W_B1_0650069,149.89753700933036,2.524969728352698,-6.799220561981201,86.44792175292969,2892.218017578125,B1,False,True,False,True,False,True,True,True,True,True,0.6961677670478821
JWST F115W,F115W_B6_1013908,149.90043367786674,2.4030558745332593,-6.668056964874268,85.68896484375,2876.57666015625,B6,False,True,False,True,False,True,True,True,True,True,0.693166196346283
Euclid VIS,VIS_101542817_0799839,150.07031682368586,1.87237961742392,-3.4665069580078125,3.856654644012451,2835.4111328125,101542817,True,True,True,True,False,False,True,True,True,True,0.6837637424468994
JWST F115W,F115W_A10_0087643,150.29873862227242,1.7967347140104386,-6.92801570892334,82.8056640625,2799.693359375,A10,False,True,False,True,True,True,True,True,True,True,0.6571765542030334
JWST F115W,F115W_B4_0907433,150.37243317439209,2.4589986649376345,-6.900242805480957,80.09156799316406,2703.637451171875,B4,False,True,False,True,False,True,True,True,True,True,0.6465044021606445
JWST F115W,F115W_A5_0360372,150.3007400343191,2.0008154017627153,-6.805401802062988,78.18522644042969,2593.75537109375,A5,False,True,False,True,False,True,False,True,True,True,0.6413045525550842
Euclid VIS,VIS_101544257_1227727,150.0902395318446,2.3719157226071217,-3.8189034461975098,3.219663143157959,2581.517822265625,101544257,True,True,True,True,False,False,True,True,True,True,0.6781197190284729
JWST F115W,F115W_B1_0684410,150.02763854024903,2.6003133123991007,-6.668168067932129,72.74837493896484,2433.883544921875,B1,False,True,False,True,False,True,True,True,True,True,0.6660646200180054
JWST F115W,F115W_B10_0730758,150.4299088836152,2.2697449283932007,-7.407956600189209,71.66808319091797,2357.587158203125,B10,False,True,False,True,False,True,True,True,True,True,0.627132773399353
JWST F115W,F115W_A5_0346134,150.30233384361995,1.9342382850665603,-6.528379917144775,70.2166748046875,2329.40283203125,A5,False,True,False,True,False,True,True,True,True,True,0.6972094178199768
JWST F115W,F115W_A10_0103579,150.24766561996287,1.8852382810908808,-6.752823829650879,68.0424575805664,2300.543212890625,A10,False,True,False,True,False,True,True,True,True,True,0.6108936667442322
