# pop,psfstars,# N_ref,40,# N_tiles,1
r_lo_arcsec,r_hi_arcsec,n_objects
0.0,0.1,0
0.1,0.2,0
0.2,0.3,0
0.3,0.4,0
0.4,0.5,0
0.5,0.6,0
0.6,0.7,0
0.7,0.8,0
0.8,0.9,1
0.9,1.0,1
1.0,1.1,1
1.1,1.2,2
1.2,1.3,0
1.3,1.4,1
1.4,1.5,2
1.5,1.6,1
1.6,1.7,2
1.7,1.8,2
1.8,1.9,1
1.9,2.0,3
2.0,2.1,6
2.1,2.2,2
2.2,2.3,2
2.3,2.4,2
2.4,2.5,8
2.5,2.6,3
2.6,2.7,1
2.7,2.8,5
2.8,2.9,4
2.9,3.0,6
3.0,3.1,5
3.1,3.2,5
3.2,3.3,4
3.3,3.4,3
3.4,3.5,4
3.5,3.6,7
3.6,3.7,6
3.7,3.8,13
3.8,3.9,11
3.9,4.0,5
4.0,4.1,6
4.1,4.2,4
4.2,4.3,11
4.3,4.4,7
4.4,4.5,6
4.5,4.6,8
4.6,4.7,9
4.7,4.8,6
4.8,4.9,9
4.9,5.0,3
