# n_ref,273
r_lo_arcsec,r_hi_arcsec,n_objects
0.0,0.1,0
0.1,0.2,0
0.2,0.3,0
0.3,0.4,0
0.4,0.5,2
0.5,0.6,6
0.6,0.7,12
0.7,0.8,22
0.8,0.9,22
0.9,1.0,28
1.0,1.1,39
1.1,1.2,33
1.2,1.3,38
1.3,1.4,43
1.4,1.5,44
1.5,1.6,61
1.6,1.7,54
1.7,1.8,38
1.8,1.9,80
1.9,2.0,69
2.0,2.1,69
2.1,2.2,73
2.2,2.3,89
2.3,2.4,85
2.4,2.5,87
2.5,2.6,100
2.6,2.7,94
2.7,2.8,85
2.8,2.9,107
2.9,3.0,110
3.0,3.1,121
3.1,3.2,127
3.2,3.3,109
3.3,3.4,136
3.4,3.5,112
3.5,3.6,145
3.6,3.7,127
3.7,3.8,154
3.8,3.9,144
3.9,4.0,139
4.0,4.1,159
4.1,4.2,143
4.2,4.3,163
4.3,4.4,172
4.4,4.5,183
4.5,4.6,179
4.6,4.7,176
4.7,4.8,185
4.8,4.9,209
4.9,5.0,192
