# n_ref,893
r_lo_arcsec,r_hi_arcsec,n_objects
0.0,0.1,0
0.1,0.2,0
0.2,0.3,0
0.3,0.4,0
0.4,0.5,0
0.5,0.6,2
0.6,0.7,7
0.7,0.8,17
0.8,0.9,25
0.9,1.0,26
1.0,1.1,37
1.1,1.2,42
1.2,1.3,40
1.3,1.4,57
1.4,1.5,52
1.5,1.6,71
1.6,1.7,64
1.7,1.8,80
1.8,1.9,87
1.9,2.0,97
2.0,2.1,95
2.1,2.2,101
2.2,2.3,132
2.3,2.4,122
2.4,2.5,122
2.5,2.6,132
2.6,2.7,147
2.7,2.8,150
2.8,2.9,165
2.9,3.0,158
3.0,3.1,173
3.1,3.2,189
3.2,3.3,194
3.3,3.4,206
3.4,3.5,203
3.5,3.6,219
3.6,3.7,253
3.7,3.8,222
3.8,3.9,227
3.9,4.0,242
4.0,4.1,269
4.1,4.2,267
4.2,4.3,258
4.3,4.4,284
4.4,4.5,265
4.5,4.6,305
4.6,4.7,284
4.7,4.8,292
4.8,4.9,310
4.9,5.0,329
