# n_ref,589
r_lo_arcsec,r_hi_arcsec,n_objects
0.0,0.1,0
0.1,0.2,19
0.2,0.3,27
0.3,0.4,83
0.4,0.5,79
0.5,0.6,138
0.6,0.7,162
0.7,0.8,206
0.8,0.9,300
0.9,1.0,277
1.0,1.1,327
1.1,1.2,389
1.2,1.3,417
1.3,1.4,485
1.4,1.5,493
1.5,1.6,545
1.6,1.7,675
1.7,1.8,726
1.8,1.9,809
1.9,2.0,828
2.0,2.1,867
2.1,2.2,861
2.2,2.3,930
2.3,2.4,967
2.4,2.5,1002
2.5,2.6,1045
2.6,2.7,1088
2.7,2.8,1212
2.8,2.9,1222
2.9,3.0,1242
3.0,3.1,1340
3.1,3.2,1357
3.2,3.3,1365
3.3,3.4,1297
3.4,3.5,1419
3.5,3.6,1482
3.6,3.7,1459
3.7,3.8,1543
3.8,3.9,1528
3.9,4.0,1571
4.0,4.1,1669
4.1,4.2,1699
4.2,4.3,1738
4.3,4.4,1762
4.4,4.5,1727
4.5,4.6,1820
4.6,4.7,1931
4.7,4.8,1912
4.8,4.9,1901
4.9,5.0,2015
