# n_ref,330
r_lo_arcsec,r_hi_arcsec,n_objects
0.0,0.1,0
0.1,0.2,0
0.2,0.3,9
0.3,0.4,22
0.4,0.5,24
0.5,0.6,45
0.6,0.7,51
0.7,0.8,79
0.8,0.9,80
0.9,1.0,95
1.0,1.1,149
1.1,1.2,157
1.2,1.3,215
1.3,1.4,223
1.4,1.5,241
1.5,1.6,298
1.6,1.7,325
1.7,1.8,348
1.8,1.9,365
1.9,2.0,378
2.0,2.1,389
2.1,2.2,416
2.2,2.3,426
2.3,2.4,455
2.4,2.5,478
2.5,2.6,468
2.6,2.7,511
2.7,2.8,512
2.8,2.9,522
2.9,3.0,529
3.0,3.1,591
3.1,3.2,588
3.2,3.3,534
3.3,3.4,594
3.4,3.5,600
3.5,3.6,627
3.6,3.7,677
3.7,3.8,606
3.8,3.9,637
3.9,4.0,661
4.0,4.1,708
4.1,4.2,738
4.2,4.3,723
4.3,4.4,727
4.4,4.5,746
4.5,4.6,808
4.6,4.7,762
4.7,4.8,838
4.8,4.9,836
4.9,5.0,839
