# n_ref,290
r_lo_arcsec,r_hi_arcsec,n_objects
0.0,0.1,0
0.1,0.2,1
0.2,0.3,5
0.3,0.4,24
0.4,0.5,23
0.5,0.6,39
0.6,0.7,45
0.7,0.8,60
0.8,0.9,63
0.9,1.0,83
1.0,1.1,117
1.1,1.2,125
1.2,1.3,162
1.3,1.4,166
1.4,1.5,206
1.5,1.6,228
1.6,1.7,239
1.7,1.8,282
1.8,1.9,295
1.9,2.0,273
2.0,2.1,321
2.1,2.2,320
2.2,2.3,333
2.3,2.4,352
2.4,2.5,351
2.5,2.6,372
2.6,2.7,350
2.7,2.8,419
2.8,2.9,430
2.9,3.0,416
3.0,3.1,430
3.1,3.2,464
3.2,3.3,461
3.3,3.4,461
3.4,3.5,480
3.5,3.6,508
3.6,3.7,497
3.7,3.8,521
3.8,3.9,528
3.9,4.0,562
4.0,4.1,541
4.1,4.2,547
4.2,4.3,579
4.3,4.4,608
4.4,4.5,583
4.5,4.6,576
4.6,4.7,700
4.7,4.8,648
4.8,4.9,649
4.9,5.0,692
