# n_ref,586
r_lo_arcsec,r_hi_arcsec,n_objects
0.0,0.1,0
0.1,0.2,2
0.2,0.3,28
0.3,0.4,48
0.4,0.5,63
0.5,0.6,71
0.6,0.7,90
0.7,0.8,112
0.8,0.9,141
0.9,1.0,151
1.0,1.1,185
1.1,1.2,217
1.2,1.3,213
1.3,1.4,279
1.4,1.5,314
1.5,1.6,330
1.6,1.7,317
1.7,1.8,383
1.8,1.9,439
1.9,2.0,423
2.0,2.1,492
2.1,2.2,429
2.2,2.3,511
2.3,2.4,605
2.4,2.5,564
2.5,2.6,582
2.6,2.7,588
2.7,2.8,606
2.8,2.9,651
2.9,3.0,666
3.0,3.1,704
3.1,3.2,677
3.2,3.3,706
3.3,3.4,719
3.4,3.5,778
3.5,3.6,793
3.6,3.7,811
3.7,3.8,832
3.8,3.9,884
3.9,4.0,901
4.0,4.1,894
4.1,4.2,875
4.2,4.3,942
4.3,4.4,995
4.4,4.5,992
4.5,4.6,1004
4.6,4.7,1053
4.7,4.8,1079
4.8,4.9,1116
4.9,5.0,1073
