# n_ref,245
r_lo_arcsec,r_hi_arcsec,n_objects
0.0,0.1,239
0.1,0.2,0
0.2,0.3,0
0.3,0.4,8
0.4,0.5,7
0.5,0.6,10
0.6,0.7,13
0.7,0.8,49
0.8,0.9,38
0.9,1.0,38
1.0,1.1,37
1.1,1.2,68
1.2,1.3,74
1.3,1.4,72
1.4,1.5,80
1.5,1.6,90
1.6,1.7,101
1.7,1.8,118
1.8,1.9,125
1.9,2.0,120
2.0,2.1,122
2.1,2.2,139
2.2,2.3,152
2.3,2.4,133
2.4,2.5,185
2.5,2.6,187
2.6,2.7,166
2.7,2.8,193
2.8,2.9,195
2.9,3.0,183
3.0,3.1,198
3.1,3.2,189
3.2,3.3,209
3.3,3.4,218
3.4,3.5,220
3.5,3.6,195
3.6,3.7,224
3.7,3.8,258
3.8,3.9,245
3.9,4.0,266
4.0,4.1,243
4.1,4.2,260
4.2,4.3,256
4.3,4.4,253
4.4,4.5,278
4.5,4.6,290
4.6,4.7,253
4.7,4.8,293
4.8,4.9,278
4.9,5.0,279
