# n_ref,341
r_lo_arcsec,r_hi_arcsec,n_objects
0.0,0.1,330
0.1,0.2,2
0.2,0.3,6
0.3,0.4,7
0.4,0.5,44
0.5,0.6,21
0.6,0.7,40
0.7,0.8,32
0.8,0.9,44
0.9,1.0,75
1.0,1.1,75
1.1,1.2,91
1.2,1.3,93
1.3,1.4,88
1.4,1.5,123
1.5,1.6,107
1.6,1.7,133
1.7,1.8,146
1.8,1.9,146
1.9,2.0,166
2.0,2.1,161
2.1,2.2,176
2.2,2.3,160
2.3,2.4,171
2.4,2.5,186
2.5,2.6,183
2.6,2.7,181
2.7,2.8,208
2.8,2.9,226
2.9,3.0,218
3.0,3.1,219
3.1,3.2,235
3.2,3.3,242
3.3,3.4,276
3.4,3.5,261
3.5,3.6,228
3.6,3.7,276
3.7,3.8,278
3.8,3.9,303
3.9,4.0,300
4.0,4.1,275
4.1,4.2,325
4.2,4.3,313
4.3,4.4,318
4.4,4.5,334
4.5,4.6,327
4.6,4.7,314
4.7,4.8,386
4.8,4.9,367
4.9,5.0,405
