# n_ref,948
r_lo_arcsec,r_hi_arcsec,n_objects
0.0,0.1,0
0.1,0.2,83
0.2,0.3,361
0.3,0.4,623
0.4,0.5,769
0.5,0.6,942
0.6,0.7,1105
0.7,0.8,1345
0.8,0.9,1463
0.9,1.0,1646
1.0,1.1,1778
1.1,1.2,1851
1.2,1.3,2135
1.3,1.4,2231
1.4,1.5,2340
1.5,1.6,2494
1.6,1.7,2679
1.7,1.8,2753
1.8,1.9,3042
1.9,2.0,3129
2.0,2.1,3243
2.1,2.2,3434
2.2,2.3,3431
2.3,2.4,3652
2.4,2.5,3791
2.5,2.6,3911
2.6,2.7,4085
2.7,2.8,4164
2.8,2.9,4221
2.9,3.0,4378
3.0,3.1,4554
3.1,3.2,4731
3.2,3.3,4781
3.3,3.4,4984
3.4,3.5,5041
3.5,3.6,5115
3.6,3.7,5297
3.7,3.8,5481
3.8,3.9,5512
3.9,4.0,5657
4.0,4.1,5826
4.1,4.2,5966
4.2,4.3,6063
4.3,4.4,6165
4.4,4.5,6202
4.5,4.6,6312
4.6,4.7,6427
4.7,4.8,6641
4.8,4.9,6554
4.9,5.0,6745
