# n_ref,794
r_lo_arcsec,r_hi_arcsec,n_objects
0.0,0.1,0
0.1,0.2,16
0.2,0.3,110
0.3,0.4,153
0.4,0.5,220
0.5,0.6,359
0.6,0.7,368
0.7,0.8,414
0.8,0.9,473
0.9,1.0,494
1.0,1.1,557
1.1,1.2,702
1.2,1.3,771
1.3,1.4,846
1.4,1.5,913
1.5,1.6,874
1.6,1.7,972
1.7,1.8,1024
1.8,1.9,1011
1.9,2.0,1143
2.0,2.1,1137
2.1,2.2,1215
2.2,2.3,1233
2.3,2.4,1274
2.4,2.5,1361
2.5,2.6,1410
2.6,2.7,1491
2.7,2.8,1503
2.8,2.9,1577
2.9,3.0,1589
3.0,3.1,1705
3.1,3.2,1692
3.2,3.3,1707
3.3,3.4,1844
3.4,3.5,1835
3.5,3.6,1826
3.6,3.7,1851
3.7,3.8,1960
3.8,3.9,2034
3.9,4.0,2079
4.0,4.1,2031
4.1,4.2,2171
4.2,4.3,2200
4.3,4.4,2239
4.4,4.5,2203
4.5,4.6,2330
4.6,4.7,2334
4.7,4.8,2402
4.8,4.9,2550
4.9,5.0,2526
