utc,mission,tile,status,stack_s,cold_s,hot_s,merge_s,total_s,n_cold,n_hot_kept,n_total
2026-06-11T03:34:26Z,jwst,A2,ok,414.1,127.1,112.5,2.2,656.0,43170,12153,55323
2026-06-11T03:34:57Z,jwst,A1,ok,428.6,129.0,127.8,1.1,686.4,41439,12166,53605
2026-06-11T03:44:01Z,jwst,A3,ok,330.0,135.0,107.5,1.9,574.3,42127,11812,53939
2026-06-11T03:44:08Z,jwst,A5,ok,334.5,117.2,98.0,0.9,550.6,31725,7269,38994
2026-06-11T03:53:58Z,jwst,A6,ok,357.3,152.1,85.5,0.7,595.5,39392,11850,51242
2026-06-11T03:54:22Z,jwst,A7,ok,357.7,152.8,102.7,0.8,614.0,40565,11668,52233
2026-06-11T04:04:36Z,jwst,A8,ok,396.5,131.0,106.9,2.7,637.0,37600,12194,49794
2026-06-11T04:04:37Z,jwst,A9,ok,364.5,143.3,105.5,0.9,614.2,38373,12277,50650
2026-06-11T04:14:03Z,jwst,A10,ok,390.8,103.1,72.2,0.7,566.7,32163,10976,43139
2026-06-11T04:15:05Z,jwst,B1,ok,385.3,136.9,103.7,1.1,627.0,40440,15073,55513
2026-06-11T04:23:27Z,jwst,B2,ok,287.7,174.2,101.3,0.7,563.9,40854,15357,56211
2026-06-11T04:25:09Z,jwst,B3,ok,314.0,175.4,113.1,1.0,603.5,42702,12141,54843
2026-06-11T04:32:05Z,jwst,B4,ok,259.6,158.5,98.0,0.9,517.0,44073,12652,56725
2026-06-11T04:34:39Z,jwst,B5,ok,280.9,186.5,100.5,1.3,569.2,32873,11057,43930
2026-06-11T04:40:15Z,jwst,B6,ok,225.5,170.6,92.4,0.7,489.2,42701,12929,55630
2026-06-11T04:43:34Z,jwst,B7,ok,236.9,180.7,115.9,0.9,534.4,44451,14074,58525
2026-06-11T04:47:44Z,jwst,B8,ok,200.1,153.4,94.2,0.8,448.6,42974,15075,58049
2026-06-11T04:50:49Z,jwst,B9,ok,216.8,124.3,92.1,0.8,434.0,41899,10286,52185
2026-06-11T04:54:45Z,jwst,B10,ok,199.5,131.5,88.8,0.5,420.3,34102,11275,45377
2026-06-11T05:00:53Z,hst,A1,ok,176.1,130.2,59.8,1.2,367.2,5629,5827,11456
2026-06-11T05:01:09Z,hst,A3,ok,176.3,134.6,71.4,0.8,383.0,5116,5343,10459
2026-06-11T05:01:13Z,hst,A2,ok,183.7,131.3,72.5,0.4,387.8,5555,5880,11435
2026-06-11T05:06:12Z,hst,A6,ok,157.9,80.3,63.4,0.4,302.0,4995,5750,10745
2026-06-11T05:06:51Z,hst,A7,ok,175.5,116.0,45.0,0.3,336.9,5930,6392,12322
2026-06-11T05:07:52Z,hst,A5,ok,199.2,160.2,56.9,0.8,417.0,6078,6069,12147
2026-06-11T05:10:51Z,hst,A8,ok,129.1,104.8,44.0,0.3,278.2,4814,5296,10110
2026-06-11T05:12:18Z,hst,A9,ok,154.4,125.1,46.5,0.8,326.8,5225,5550,10775
2026-06-11T05:13:12Z,hst,A10,ok,169.8,109.6,37.7,0.3,317.5,5291,6149,11440
2026-06-11T05:17:06Z,hst,B1,ok,195.7,109.0,68.6,0.3,373.6,6409,5930,12339
2026-06-11T05:17:38Z,hst,B2,ok,157.5,120.3,40.2,0.3,318.3,5898,5875,11773
2026-06-11T05:19:08Z,hst,B3,ok,175.2,115.8,64.0,0.4,355.4,6103,5937,12040
2026-06-11T05:21:44Z,hst,B4,ok,133.3,89.2,53.5,1.1,277.1,6216,6229,12445
2026-06-11T05:23:01Z,hst,B5,ok,169.9,105.7,46.4,0.4,322.3,6159,6182,12341
2026-06-11T05:24:39Z,hst,B6,ok,194.0,73.1,63.6,0.4,331.1,6153,6264,12417
2026-06-11T05:27:49Z,hst,B8,ok,153.4,86.5,47.1,0.6,287.6,5229,5550,10779
2026-06-11T05:28:01Z,hst,B7,ok,185.7,131.2,57.6,0.7,375.3,5943,6035,11978
2026-06-11T05:28:53Z,hst,B9,ok,146.6,70.2,36.1,0.5,253.4,5855,6127,11982
2026-06-11T05:30:57Z,hst,B10,ok,98.5,50.3,38.3,0.2,187.3,6594,6473,13067
2026-06-11T05:32:41Z,euclid,101538500,ok,79.6,13.1,8.7,0.8,102.2,661,173,834
2026-06-11T05:33:01Z,euclid,101539933,ok,93.3,20.7,8.1,0.5,122.6,100,14,114
2026-06-11T05:33:40Z,euclid,101538498,ok,113.4,30.6,16.6,0.7,161.3,4685,18968,23653
2026-06-11T05:34:33Z,euclid,101539934,ok,75.0,25.6,10.8,0.2,111.7,6236,1075,7311
2026-06-11T05:35:14Z,euclid,101539935,ok,80.5,19.1,32.3,0.4,132.4,9082,35242,44324
2026-06-11T05:35:27Z,euclid,101538499,ok,185.0,54.1,28.9,0.7,268.8,27253,4841,32094
2026-06-11T05:37:27Z,euclid,101539936,ok,134.9,54.7,35.1,0.6,225.3,34327,6954,41281
2026-06-11T05:38:15Z,euclid,101539938,ok,83.8,61.0,34.6,0.7,180.1,39711,7336,47047
2026-06-11T05:38:31Z,euclid,101539937,ok,123.4,69.1,43.7,0.9,237.1,40801,7075,47876
2026-06-11T05:38:32Z,euclid,101539939,ok,86.2,53.3,43.2,1.3,184.0,40496,8403,48899
2026-06-11T05:38:47Z,euclid,101539940,ok,48.6,21.9,9.0,0.2,79.8,3654,1127,4781
2026-06-11T05:40:09Z,euclid,101541373,ok,85.3,21.5,6.9,0.2,113.9,641,259,900
2026-06-11T05:41:07Z,euclid,101541377,ok,102.9,28.5,7.6,0.2,139.2,741,3186,3927
2026-06-11T05:42:12Z,euclid,101541378,ok,67.7,27.0,27.2,0.3,122.1,3515,28008,31523
2026-06-11T05:42:23Z,euclid,101541376,ok,134.5,57.1,38.4,0.7,230.6,40056,7293,47349
2026-06-11T05:43:03Z,euclid,101541374,ok,163.1,65.9,41.7,1.0,271.7,37740,7448,45188
2026-06-11T05:43:53Z,euclid,101541380,ok,68.4,22.3,9.9,0.2,100.8,6050,1788,7838
2026-06-11T05:44:14Z,euclid,101541379,ok,91.8,52.2,41.5,1.0,186.6,37365,6850,44215
2026-06-11T05:44:57Z,euclid,101542815,ok,63.9,29.0,19.1,0.9,113.0,3572,11695,15267
2026-06-11T05:46:49Z,euclid,101542814,ok,160.2,68.2,36.4,0.6,265.4,32259,5587,37846
2026-06-11T05:47:53Z,euclid,101542819,ok,35.1,20.7,7.5,0.2,63.5,2498,639,3137
2026-06-11T05:48:20Z,euclid,101542816,ok,163.8,66.3,36.0,0.6,266.7,37806,5619,43425
2026-06-11T05:48:33Z,euclid,101542817,ok,135.4,73.4,47.6,1.6,257.9,44770,7012,51782
2026-06-11T05:48:34Z,euclid,101542818,ok,101.5,70.0,44.4,1.1,217.0,44674,8577,53251
2026-06-11T05:50:26Z,euclid,101544255,ok,76.0,18.0,17.9,0.3,112.2,5125,16617,21742
2026-06-11T05:50:34Z,euclid,101542820,ok,107.1,31.8,21.1,0.5,160.5,16747,5690,22437
2026-06-11T05:52:06Z,euclid,101544254,ok,134.5,53.7,36.3,0.5,224.9,27660,5501,33161
2026-06-11T05:52:20Z,euclid,101544256,ok,115.4,68.2,40.4,0.7,224.9,46085,6882,52967
2026-06-11T05:53:45Z,euclid,101544259,ok,65.1,23.9,9.3,0.2,98.6,5289,889,6178
2026-06-11T05:54:19Z,euclid,101544258,ok,106.6,73.9,42.4,1.2,224.1,45685,6955,52640
2026-06-11T05:54:19Z,euclid,101544257,ok,112.4,73.2,46.3,0.7,232.6,44338,6016,50354
2026-06-11T05:55:52Z,euclid,101545695,ok,68.4,15.6,8.2,0.2,92.4,1622,4853,6475
2026-06-11T05:56:27Z,euclid,101545694,ok,87.8,46.4,27.2,0.5,161.9,18044,2840,20884
2026-06-11T05:56:49Z,euclid,101544260,ok,165.9,62.9,38.3,0.7,267.8,38205,8153,46358
2026-06-11T05:58:16Z,euclid,101545699,ok,50.5,23.0,12.3,1.0,86.8,7389,1971,9360
2026-06-11T05:58:21Z,euclid,101545696,ok,125.4,65.6,48.9,1.0,241.0,44605,11404,56009
2026-06-11T05:59:38Z,euclid,101545701,ok,56.1,13.3,6.6,0.2,76.2,1424,417,1841
2026-06-11T05:59:44Z,euclid,101545697,ok,106.7,79.7,44.2,0.8,231.4,40843,5736,46579
2026-06-11T06:00:04Z,euclid,101545698,ok,100.2,69.2,45.8,1.0,216.2,42859,6273,49132
2026-06-11T06:01:13Z,euclid,101547134,ok,57.8,19.0,12.0,0.2,88.9,52,823,875
2026-06-11T06:01:18Z,euclid,101547133,ok,66.7,22.5,10.6,0.2,100.1,4287,11812,16099
2026-06-11T06:02:13Z,euclid,101545700,ok,126.7,67.0,38.6,2.5,234.9,42558,9602,52160
2026-06-11T06:03:42Z,euclid,101547138,ok,47.7,21.7,18.9,0.3,88.6,7600,9838,17438
2026-06-11T06:05:10Z,euclid,101547135,ok,199.7,56.7,48.3,0.6,305.3,38262,12029,50291
2026-06-11T06:05:39Z,euclid,101547137,ok,166.1,49.1,42.7,1.6,259.6,28508,8000,36508
2026-06-11T06:05:47Z,euclid,101547136,ok,160.9,65.8,45.7,0.7,273.3,39362,8423,47785
2026-06-11T06:06:34Z,euclid,101547140,ok,47.7,25.7,8.9,0.6,83.0,3216,724,3940
2026-06-11T06:07:05Z,euclid,101547139,ok,98.5,63.7,38.6,1.6,202.3,38970,8038,47008
2026-06-11T06:07:23Z,euclid,101548572,ok,71.2,16.5,14.4,0.6,102.8,928,3570,4498
2026-06-11T06:08:24Z,euclid,101548574,ok,81.4,19.7,7.7,0.2,109.0,727,2376,3103
2026-06-11T06:09:46Z,euclid,101548573,ok,142.3,57.1,38.3,0.7,238.4,39935,9407,49342
2026-06-11T06:10:37Z,euclid,101548577,ok,68.0,34.9,29.2,0.4,132.5,16048,6862,22910
2026-06-11T06:11:07Z,euclid,101548578,ok,50.2,16.0,13.8,0.7,80.7,2275,3740,6015
2026-06-11T06:11:40Z,euclid,101548576,ok,163.6,50.8,38.1,3.7,256.1,28361,6091,34452
2026-06-11T06:11:50Z,euclid,101548575,ok,167.7,73.9,42.0,0.8,284.5,37183,6788,43971
2026-06-11T06:12:35Z,euclid,101550012,ok,76.0,24.7,16.4,0.3,117.4,7056,22962,30018
2026-06-11T06:12:49Z,euclid,101550013,ok,59.5,23.2,17.7,0.2,100.6,10779,1925,12704
2026-06-11T06:12:53Z,euclid,101550014,ok,51.9,13.8,6.7,0.1,72.5,150,23,173
