utc,mission,tile,stage,status,secs,n_rows,n_is_star,n_pool
2026-06-11T15:30:41Z,hst,A1,53,ok,269.7,11456,,
2026-06-11T15:30:43Z,hst,A1,67,ok,1.4,11456,79,
2026-06-11T15:30:45Z,hst,A10,53,ok,273.0,11440,,
2026-06-11T15:30:46Z,hst,A10,67,ok,1.2,11440,84,
2026-06-11T15:30:52Z,hst,A2,53,ok,280.3,11435,,
2026-06-11T15:30:53Z,hst,A2,67,ok,1.2,11435,97,
2026-06-11T15:31:18Z,hst,A1,66,ok,35.2,11456,,8863
2026-06-11T15:31:22Z,hst,A2,66,ok,29.0,11435,,8561
2026-06-11T15:31:38Z,hst,A10,66,ok,52.2,11440,,9687
2026-06-11T15:35:28Z,hst,A3,53,ok,250.4,10459,,
2026-06-11T15:35:30Z,hst,A3,67,ok,1.4,10459,92,
2026-06-11T15:35:50Z,hst,A5,53,ok,267.9,12147,,
2026-06-11T15:35:51Z,hst,A5,67,ok,1.2,12147,76,
2026-06-11T15:36:01Z,hst,A6,53,ok,263.0,10745,,
2026-06-11T15:36:02Z,hst,A6,67,ok,1.1,10745,80,
2026-06-11T15:36:09Z,hst,A3,66,ok,38.9,10459,,7682
2026-06-11T15:36:26Z,hst,A5,66,ok,34.4,12147,,10095
2026-06-11T15:36:38Z,hst,A6,66,ok,36.2,10745,,9249
2026-06-11T15:40:13Z,hst,A7,53,ok,244.3,12322,,
2026-06-11T15:40:14Z,hst,A7,67,ok,1.3,12322,67,
2026-06-11T15:40:44Z,hst,A9,53,ok,245.7,10775,,
2026-06-11T15:40:45Z,hst,A9,67,ok,1.1,10775,76,
2026-06-11T15:41:01Z,hst,A7,66,ok,47.3,12322,,10336
2026-06-11T15:41:03Z,hst,A8,53,ok,277.5,10110,,
2026-06-11T15:41:05Z,hst,A8,67,ok,1.4,10110,73,
2026-06-11T15:41:18Z,hst,A9,66,ok,32.7,10775,,9454
2026-06-11T15:41:31Z,hst,A8,66,ok,26.2,10110,,7582
2026-06-11T15:45:03Z,hst,B1,53,ok,241.2,12339,,
2026-06-11T15:45:04Z,hst,B1,67,ok,1.1,12339,91,
2026-06-11T15:45:37Z,hst,B1,66,ok,33.0,12339,,9872
